,Unnamed: 0,idx,abb,abb_cn,book,book_cn,chapter,sec,no1,no,chinese,english
0,0,1,Gen,創,Genesis,創世記,1,1,1,1,起初，神創造天地。,At the first God made the heaven and the earth.
1,1,1,Gen,創,Genesis,創世記,1,2,2,2,地是空虛混沌，淵面黑暗；神的靈運行在水面上。,And the earth was waste and without form; and it was dark on the face of the deep: and the Spirit of God was moving on the face of the waters.
2,2,1,Gen,創,Genesis,創世記,1,3,3,3,神說：要有光，就有了光。,"And God said, Let there be light: and there was light."
3,3,1,Gen,創,Genesis,創世記,1,4,4,4,神看光是好的，就把光暗分開了。,"And God, looking on the light, saw that it was good: and God made a division between the light and the dark,"
4,4,1,Gen,創,Genesis,創世記,1,5,5,5,神稱光為晝，稱暗為夜。有晚上，有早晨，這是頭一日。,"Naming the light, Day, and the dark, Night. And there was evening and there was morning, the first day."
5,5,1,Gen,創,Genesis,創世記,1,6,6,6,神說：諸水之間要有空氣，將水分為上下。,"And God said, Let there be a solid arch stretching over the waters, parting the waters from the waters."
6,6,1,Gen,創,Genesis,創世記,1,7,7,7,神就造出空氣，將空氣以下的水、空氣以上的水分開了。事就這樣成了。,And God made the arch for a division between the waters which were under the arch and those which were over it: and it was so.
7,7,1,Gen,創,Genesis,創世記,1,8,8,8,神稱空氣為天。有晚上，有早晨，是第二日。,"And God gave the arch the name of Heaven. And there was evening and there was morning, the second day."
8,8,1,Gen,創,Genesis,創世記,1,9,9,9,神說：天下的水要聚在一處，使旱地露出來。事就這樣成了。,"And God said, Let the waters under the heaven come together in one place, and let the dry land be seen: and it was so."
9,9,1,Gen,創,Genesis,創世記,1,10,10,10,神稱旱地為地，稱水的聚處為海。神看著是好的。,And God gave the dry land the name of Earth; and the waters together in their place were named Seas: and God saw that it was good.
10,10,1,Gen,創,Genesis,創世記,1,11,11,11,神說：地要發生青草和結種子的菜蔬，並結果子的樹木，各從其類，果子都包著核。事就這樣成了。,"And God said, Let grass come up on the earth, and plants producing seed, and fruit-trees giving fruit, in which is their seed, after their sort: and it was so."
11,11,1,Gen,創,Genesis,創世記,1,12,12,12,於是地發生了青草和結種子的菜蔬，各從其類；並結果子的樹木，各從其類；果子都包著核。神看著是好的。,"And grass came up on the earth, and every plant producing seed of its sort, and every tree producing fruit, in which is its seed, of its sort: and God saw that it was good."
12,12,1,Gen,創,Genesis,創世記,1,13,13,13,有晚上，有早晨，是第三日。,"And there was evening and there was morning, the third day."
13,13,1,Gen,創,Genesis,創世記,1,14,14,14,神說：天上要有光體，可以分晝夜，作記號，定節令、日子、年歲，,"And God said, Let there be lights in the arch of heaven, for a division between the day and the night, and let them be for signs, and for marking the changes of the year, and for days and for years:"
14,14,1,Gen,創,Genesis,創世記,1,15,15,15,並要發光在天空，普照在地上。事就這樣成了。,And let them be for lights in the arch of heaven to give light on the earth: and it was so.
15,15,1,Gen,創,Genesis,創世記,1,16,16,16,於是神造了兩個大光，大的管晝，小的管夜，又造眾星，,"And God made the two great lights: the greater light to be the ruler of the day, and the smaller light to be the ruler of the night: and he made the stars."
16,16,1,Gen,創,Genesis,創世記,1,17,17,17,就把這些光擺列在天空，普照在地上，,"And God put them in the arch of heaven, to give light on the earth;"
17,17,1,Gen,創,Genesis,創世記,1,18,18,18,管理晝夜，分別明暗。神看著是好的。,"To have rule over the day and the night, and for a division between the light and the dark: and God saw that it was good."
18,18,1,Gen,創,Genesis,創世記,1,19,19,19,有晚上，有早晨，是第四日。,"And there was evening and there was morning, the fourth day."
19,19,1,Gen,創,Genesis,創世記,1,20,20,20,神說：水要多多滋生有生命的物；要有雀鳥飛在地面以上，天空之中。,"And God said, Let the waters be full of living things, and let birds be in flight over the earth under the arch of heaven."
20,20,1,Gen,創,Genesis,創世記,1,21,21,21,神就造出大魚和水中所滋生各樣有生命的動物，各從其類；又造出各樣飛鳥，各從其類。神看著是好的。,"And God made great sea-beasts, and every sort of living and moving thing with which the waters were full, and every sort of winged bird: and God saw that it was good."
21,21,1,Gen,創,Genesis,創世記,1,22,22,22,神就賜福給這一切，說：滋生繁多，充滿海中的水；雀鳥也要多生在地上。,"And God gave them his blessing, saying, Be fertile and have increase, making all the waters of the seas full, and let the birds be increased in the earth."
22,22,1,Gen,創,Genesis,創世記,1,23,23,23,有晚上，有早晨，是第五日。,"And there was evening and there was morning, the fifth day."
23,23,1,Gen,創,Genesis,創世記,1,24,24,24,神說：地要生出活物來，各從其類；牲畜、昆蟲、地上的野獸，各從其類。事就這樣成了。,"And God said, Let the earth give birth to all sorts of living things, cattle and all things moving on the earth, and beasts of the earth after their sort: and it was so."
24,24,1,Gen,創,Genesis,創世記,1,25,25,25,於是神造出野獸，各從其類；牲畜，各從其類；地上一切昆蟲，各從其類。　神看著是好的。,"And God made the beast of the earth after its sort, and the cattle after their sort, and everything moving on the face of the earth after its sort: and God saw that it was good."
25,25,1,Gen,創,Genesis,創世記,1,26,26,26,神說：我們要照著我們的形像、按著我們的樣式造人，使他們管理海裡的魚、空中的鳥、地上的牲畜，和全地，並地上所爬的一切昆蟲。,"And God said, Let us make man in our image, like us: and let him have rule over the fish of the sea and over the birds of the air and over the cattle and over all the earth and over every living thing which goes flat on the earth."
26,26,1,Gen,創,Genesis,創世記,1,27,27,27,神就照著自己的形像造人，乃是照著他的形像造男造女。,"And God made man in his image, in the image of God he made him: male and female he made them."
27,27,1,Gen,創,Genesis,創世記,1,28,28,28,神就賜福給他們，又對他們說：要生養眾多，遍滿地面，治理這地，也要管理海裡的魚、空中的鳥，和地上各樣行動的活物。,"And God gave them his blessing and said to them, Be fertile and have increase, and make the earth full and be masters of it; be rulers over the fish of the sea and over the birds of the air and over every living thing moving on the earth."
28,28,1,Gen,創,Genesis,創世記,1,29,29,29,神說：看哪，我將遍地上一切結種子的菜蔬和一切樹上所結有核的果子全賜給你們作食物。,"And God said, See, I have given you every plant producing seed, on the face of all the earth, and every tree which has fruit producing seed: they will be for your food:"
29,29,1,Gen,創,Genesis,創世記,1,30,30,30,至於地上的走獸和空中的飛鳥，並各樣爬在地上有生命的物，我將青草賜給他們作食物。事就這樣成了。,And to every beast of the earth and to every bird of the air and every living thing moving on the face of the earth I have given every green plant for food: and it was so.
30,30,1,Gen,創,Genesis,創世記,1,31,31,31,神看著一切所造的都甚好。有晚上，有早晨，是第六日。,"And God saw everything which he had made and it was very good. And there was evening and there was morning, the sixth day."
31,31,1,Gen,創,Genesis,創世記,2,1,1,1,天地萬物都造齊了。,And the heaven and the earth and all things in them were complete.
32,32,1,Gen,創,Genesis,創世記,2,2,2,2,到第七日，神造物的工已經完畢，就在第七日歇了他一切的工，安息了。,And on the seventh day God came to the end of all his work; and on the seventh day he took his rest from all the work which he had done.
33,33,1,Gen,創,Genesis,創世記,2,3,3,3,神賜福給第七日，定為聖日；因為在這日，神歇了他一切創造的工，就安息了。,And God gave his blessing to the seventh day and made it holy: because on that day he took his rest from all the work which he had made and done.
34,34,1,Gen,創,Genesis,創世記,2,4,4,4,創造天地的來歷，在耶和華神造天地的日子，乃是這樣，,These are the generations of the heaven and the earth when they were made.
35,35,1,Gen,創,Genesis,創世記,2,5,5,5,野地還沒有草木，田間的菜蔬還沒有長起來；因為耶和華神還沒有降雨在地上，也沒有人耕地，,"In the day when the Lord God made earth and heaven there were no plants of the field on the earth, and no grass had come up: for the Lord God had not sent rain on the earth and there was no man to do work on the land."
36,36,1,Gen,創,Genesis,創世記,2,6,6,6,但有霧氣從地上騰，滋潤遍地。,"But a mist went up from the earth, watering all the face of the land."
37,37,1,Gen,創,Genesis,創世記,2,7,7,7,耶和華神用地上的塵土造人，將生氣吹在他鼻孔裡，他就成了有靈的活人，名叫亞當。,"And the Lord God made man from the dust of the earth, breathing into him the breath of life: and man became a living soul."
38,38,1,Gen,創,Genesis,創世記,2,8,8,8,耶和華神在東方的伊甸立了一個園子，把所造的人安置在那裡。,"And the Lord God made a garden in the east, in Eden; and there he put the man whom he had made."
39,39,1,Gen,創,Genesis,創世記,2,9,9,9,耶和華神使各樣的樹從地裡長出來，可以悅人的眼目，其上的果子好作食物。園子當中又有生命樹和分別善惡的樹。,"And out of the earth the Lord made every tree to come, delighting the eye and good for food; and in the middle of the garden, the tree of life and the tree of the knowledge of good and evil."
40,40,1,Gen,創,Genesis,創世記,2,10,10,10,有河從伊甸流出來，滋潤那園子，從那裡分為四道：,And a river went out of Eden giving water to the garden; and from there it was parted and became four streams.
41,41,1,Gen,創,Genesis,創世記,2,11,11,11,第一道名叫比遜，就是環繞哈腓拉全地的。在那裡有金子，,"The name of the first is Pishon, which goes round about all the land of Havilah where there is gold."
42,42,1,Gen,創,Genesis,創世記,2,12,12,12,並且那地的金子是好的；在那裡又有珍珠和紅瑪瑙。,And the gold of that land is good: there is bdellium and the onyx stone.
43,43,1,Gen,創,Genesis,創世記,2,13,13,13,第二道河名叫基訓，就是環繞古實全地的。,And the name of the second river is Gihon: this river goes round all the land of Cush.
44,44,1,Gen,創,Genesis,創世記,2,14,14,14,第三道河名叫底格里斯，流在亞述的東邊。第四道河就是伯拉河。,"And the name of the third river is Tigris, which goes to the east of Assyria. And the fourth river is Euphrates."
45,45,1,Gen,創,Genesis,創世記,2,15,15,15,耶和華神將那人安置在伊甸園，使他修理，看守。,And the Lord God took the man and put him in the garden of Eden to do work in it and take care of it.
46,46,1,Gen,創,Genesis,創世記,2,16,16,16,耶和華神吩咐他說：園中各樣樹上的果子，你可以隨意吃，,"And the Lord God gave the man orders, saying, You may freely take of the fruit of every tree of the garden:"
47,47,1,Gen,創,Genesis,創世記,2,17,17,17,只是分別善惡樹上的果子，你不可吃，因為你吃的日子必定死！,"But of the fruit of the tree of the knowledge of good and evil you may not take; for on the day when you take of it, death will certainly come to you."
48,48,1,Gen,創,Genesis,創世記,2,18,18,18,耶和華神說：那人獨居不好，我要為他造一個配偶幫助他。,"And the Lord God said, It is not good for the man to be by himself: I will make one like himself as a help to him"
49,49,1,Gen,創,Genesis,創世記,2,19,19,19,耶和華神用土所造成的野地各樣走獸和空中各樣飛鳥都帶到那人面前，看他叫甚麼。那人怎樣叫各樣的活物，那就是他的名字。,"And from the earth the Lord God made every beast of the field and every bird of the air, and took them to the man to see what names he would give them: and whatever name he gave to any living thing, that was its name."
50,50,1,Gen,創,Genesis,創世記,2,20,20,20,那人便給一切牲畜和空中飛鳥、野地走獸都起了名；只是那人沒有遇見配偶幫助他。,And the man gave names to all cattle and to the birds of the air and to every beast of the field; but Adam had no one like himself as a help.
51,51,1,Gen,創,Genesis,創世記,2,21,21,21,耶和華神使他沉睡，他就睡了；於是取下他的一條肋骨，又把肉合起來。,"And the Lord God sent a deep sleep on the man, and took one of the bones from his side while he was sleeping, joining up the flesh again in its place:"
52,52,1,Gen,創,Genesis,創世記,2,22,22,22,耶和華神就用那人身上所取的肋骨造成一個女人，領他到那人跟前。,"And the bone which the Lord God had taken from the man he made into a woman, and took her to the man."
53,53,1,Gen,創,Genesis,創世記,2,23,23,23,那人說：這是我骨中的骨，肉中的肉，可以稱他為女人，因為他是從男人身上取出來的。,"And the man said, This is now bone of my bone and flesh of my flesh: let her name be Woman because she was taken out of Man."
54,54,1,Gen,創,Genesis,創世記,2,24,24,24,因此，人要離開父母，與妻子連合，二人成為一體。,For this cause will a man go away from his father and his mother and be joined to his wife; and they will be one flesh.
55,55,1,Gen,創,Genesis,創世記,2,25,25,25,當時夫妻二人赤身露體，並不羞恥。,"And the man and his wife were without clothing, and they had no sense of shame."
56,56,1,Gen,創,Genesis,創世記,3,1,1,1,耶和華神所造的，惟有蛇比田野一切的活物更狡猾。蛇對女人說：　神豈是真說不許你們吃園中所有樹上的果子麼？,"Now the snake was wiser than any beast of the field which the Lord God had made. And he said to the woman, Has God truly said that you may not take of the fruit of any tree in the garden?"
57,57,1,Gen,創,Genesis,創世記,3,2,2,2,女人對蛇說：園中樹上的果子，我們可以吃，,"And the woman said, We may take of the fruit of the trees in the garden:"
58,58,1,Gen,創,Genesis,創世記,3,3,3,3,惟有園當中那棵樹上的果子，神曾說：你們不可吃，也不可摸，免得你們死。,"But of the fruit of the tree in the middle of the garden, God has said, If you take of it or put your hands on it, death will come to you."
59,59,1,Gen,創,Genesis,創世記,3,4,4,4,蛇對女人說：你們不一定死；,"And the snake said, Death will not certainly come to you:"
60,60,1,Gen,創,Genesis,創世記,3,5,5,5,因為神知道，你們吃的日子眼睛就明亮了，你們便如神能知道善惡。,"For God sees that on the day when you take of its fruit, your eyes will be open, and you will be as gods, having knowledge of good and evil."
61,61,1,Gen,創,Genesis,創世記,3,6,6,6,於是女人見那棵樹的果子好作食物，也悅人的眼目，且是可喜愛的，能使人有智慧，就摘下果子來吃了，又給他丈夫，他丈夫也吃了。,"And when the woman saw that the tree was good for food, and a delight to the eyes, and to be desired to make one wise, she took of its fruit, and gave it to her husband."
62,62,1,Gen,創,Genesis,創世記,3,7,7,7,他們二人的眼睛就明亮了，才知道自己是赤身露體，便拿無花果樹的葉子為自己編作裙子。,And their eyes were open and they were conscious that they had no clothing and they made themselves coats of leaves stitched together.
63,63,1,Gen,創,Genesis,創世記,3,8,8,8,天起了涼風，耶和華神在園中行走。那人和他妻子聽見　神的聲音，就藏在園裡的樹木中，躲避耶和華　神的面。,"And there came to them the sound of the Lord God walking in the garden in the evening wind: and the man and his wife went to a secret place among the trees of the garden, away from the eyes of the Lord God."
64,64,1,Gen,創,Genesis,創世記,3,9,9,9,耶和華神呼喚那人，對他說：你在那裡？,"And the voice of the Lord God came to the man, saying, Where are you?"
65,65,1,Gen,創,Genesis,創世記,3,10,10,10,他說：我在園中聽見你的聲音，我就害怕；因為我赤身露體，我便藏了。,"And he said, Hearing your voice in the garden I was full of fear, because I was without clothing: and I kept myself from your eyes."
66,66,1,Gen,創,Genesis,創世記,3,11,11,11,耶和華說：誰告訴你赤身露體呢？莫非你吃了我吩咐你不可吃的那樹上的果子嗎？,"And he said, Who gave you the knowledge that you were without clothing? Have you taken of the fruit of the tree which I said you were not to take?"
67,67,1,Gen,創,Genesis,創世記,3,12,12,12,那人說：你所賜給我與我同居的女人，他把那樹上的果子給我，我就吃了。,"And the man said, The woman whom you gave to be with me, she gave me the fruit of the tree and I took it."
68,68,1,Gen,創,Genesis,創世記,3,13,13,13,耶和華神對女人說：你作的是甚麼事呢？女人說：那蛇引誘我，我就吃了。,"And the Lord God said to the woman, What have you done? And the woman said, I was tricked by the deceit of the snake and I took it."
69,69,1,Gen,創,Genesis,創世記,3,14,14,14,耶和華神對蛇說：你既作了這事，就必受咒詛，比一切的牲畜野獸更甚。你必用肚子行走，終身吃土。,"And the Lord God said to the snake, Because you have done this you are cursed more than all cattle and every beast of the field; you will go flat on the earth, and dust will be your food all the days of your life:"
70,70,1,Gen,創,Genesis,創世記,3,15,15,15,我又要叫你和女人彼此為仇；你的後裔和女人的後裔也彼此為仇。女人的後裔要傷你的頭；你要傷他的腳跟。,And there will be war between you and the woman and between your seed and her seed: by him will your head be crushed and by you his foot will be wounded.
