|chapter|sec|no|content|lang
0|1|1|1|猶大王約雅敬在位第三年，巴比倫王尼布甲尼撒來到耶路撒冷，將城圍困。|zh
1|1|1|1|In the third year of the rule of Jehoiakim, king of Judah, Nebuchadnezzar, king of Babylon, came to Jerusalem, shutting it in with his forces.|en
2|1|2|2|主將猶大王約雅敬，並神殿中器皿的幾分交付他手。他就把這器皿帶到示拿地，收入他　神的廟裡，放在他　神的庫中。|zh
3|1|2|2|And the Lord gave into his hands Jehoiakim, king of Judah, with some of the vessels of the house of God; and he took them away into the land of Shinar to the house of his god; and he put the vessels into the store-house of his god.|en
4|1|3|3|王吩咐太監長亞施毗拿，從以色列人的宗室和貴冑中帶進幾個人來，|zh
5|1|3|3|And the king gave orders to Ashpenaz, the captain of his unsexed servants, to take in some of the children of Israel, certain of the king's family, and those of high birth;|en
6|1|4|4|就是年少沒有殘疾、相貌俊美、通達各樣學問、知識聰明俱備、足能侍立在王宮裡的，要教他們迦勒底的文字言語。|zh
7|1|4|4|Young men who were strong and healthy, good-looking, and trained in all wisdom, having a good education and much knowledge, and able to take positions in the king's house; and to have them trained in the writing and language of the Chaldaeans.|en
8|1|5|5|王派定將自己所用的膳和所飲的酒，每日賜他們一分，養他們三年。滿了三年，好叫他們在王面前侍立。|zh
9|1|5|5|And a regular amount of food and wine every day from the king's table was ordered for them by the king; and they were to be cared for for three years so that at the end of that time they might take their places before the king.|en
10|1|6|6|他們中間有猶大族的人：但以理、哈拿尼雅、米沙利、亞撒利雅。|zh
11|1|6|6|And among these there were, of the children of Judah, Daniel, Hananiah, Mishael, and Azariah.|en
12|1|7|7|太監長給他們起名：稱但以理為伯提沙撒，稱哈拿尼雅為沙得拉，稱米沙利為米煞，稱亞撒利雅為亞伯尼歌。|zh
13|1|7|7|And the captain of the unsexed servants gave them names; to Daniel he gave the name of Belteshazzar, to Hananiah the name of Shadrach, to Mishael the name of Meshach, and to Azariah the name of Abed-nego.|en
14|1|8|8|但以理卻立志不以王的膳和王所飲的酒玷污自己，所以求太監長容他不玷污自己。|zh
15|1|8|8|And Daniel had come to the decision that he would not make himself unclean with the king's food or wine; so he made a request to the captain of the unsexed servants that he might not make himself unclean.|en
16|1|9|9|神使但以理在太監長眼前蒙恩惠，受憐憫。|zh
17|1|9|9|And God put into the heart of the captain of the unsexed servants kind feelings and pity for Daniel.|en
18|1|10|10|太監長對但以理說：我懼怕我主我王，他已經派定你們的飲食；倘若他見你們的面貌比你們同歲的少年人肌瘦，怎麼好呢？這樣，你們就使我的頭在王那裡難保。|zh
19|1|10|10|And the captain of the unsexed servants said to Daniel, I am in fear of my lord the king, who has given orders about your food and your drink; what if he sees you looking less happy than the other young men of your generation? then you would have put my head in danger from the king.|en
20|1|11|11|但以理對太監長所派管理但以理、哈拿尼雅、米沙利、亞撒利雅的委辦說：|zh
21|1|11|11|Then Daniel said to the keeper in whose care the captain of the unsexed servants had put Daniel, Hananiah, Mishael, and Azariah:|en
22|1|12|12|求你試試僕人們十天，給我們素菜吃，白水喝，|zh
23|1|12|12|Put your servants to the test for ten days; let them give us grain for our food and water for our drink.|en
24|1|13|13|然後看看我們的面貌和用王膳那少年人的面貌，就照你所看的待僕人罷！|zh
25|1|13|13|Then take a look at our faces and the faces of the young men who have food from the king's table; and, having seen them, do to your servants as it seems right to you.|en
26|1|14|14|委辦便允准他們這件事，試看他們十天。|zh
27|1|14|14|So he gave ear to them in this thing and put them to the test for ten days.|en
28|1|15|15|過了十天，見他們的面貌比用王膳的一切少年人更加俊美肥胖。|zh
29|1|15|15|And at the end of ten days their faces seemed fairer and they were fatter in flesh than all the young men who had their food from the king's table.|en
30|1|16|16|於是委辦撤去派他們用的膳，飲的酒，給他們素菜吃。|zh
31|1|16|16|So the keeper regularly took away their meat and the wine which was to have been their drink, and gave them grain.|en
32|1|17|17|這四個少年人，神在各樣文字學問（學問：原文是智慧）上賜給他們聰明知識；但以理又明白各樣的異象和夢兆。|zh
33|1|17|17|Now as for these four young men, God gave them knowledge and made them expert in all book-learning and wisdom: and Daniel was wise in all visions and dreams.|en
34|1|18|18|尼布甲尼撒王預定帶進少年人來的日期滿了，太監長就把他們帶到王面前。|zh
35|1|18|18|Now at the end of the time fixed by the king for them to go in, the captain of the unsexed servants took them in to Nebuchadnezzar.|en
36|1|19|19|王與他們談論，見少年人中無一人能比但以理、哈拿尼雅、米沙利、亞撒利雅，所以留他們在王面前侍立。|zh
37|1|19|19|And the king had talk with them; and among them all there was no one like Daniel, Hananiah, Mishael, and Azariah; so they were given places before the king.|en
38|1|20|20|王考問他們一切事，就見他們的智慧聰明比通國的術士和用法術的勝過十倍。|zh
39|1|20|20|And in any business needing wisdom and good sense, about which the king put questions to them, he saw that they were ten times better than all the wonder-workers and users of secret arts in all his kingdom.|en
40|1|21|21|到古列王元年，但以理還在。|zh
41|1|21|21|And Daniel went on till the first year of King Cyrus.|en
42|2|1|1|尼布甲尼撒在位第二年，他做了夢，心裡煩亂，不能睡覺。|zh
43|2|1|1|In the second year of the rule of Nebuchadnezzar, Nebuchadnezzar had dreams; and his spirit was troubled and his sleep went from him.|en
44|2|2|2|王吩咐人將術士、用法術的、行邪術的，和迦勒底人召來，要他們將王的夢告訴王，他們就來站在王前。|zh
45|2|2|2|Then the king gave orders that the wonder-workers, and the users of secret arts, and those who made use of evil powers, and the Chaldaeans, were to be sent for to make clear to the king his dreams. So they came and took their places before the king.|en
46|2|3|3|王對他們說：我做了一夢，心裡煩亂，要知道這是甚麼夢。|zh
47|2|3|3|And the king said to them, I have had a dream, and my spirit is troubled by the desire to have the dream made clear to me.|en
48|2|4|4|迦勒底人用亞蘭的言語對王說：願王萬歲！請將那夢告訴僕人，僕人就可以講解。|zh
49|2|4|4|Then the Chaldaeans said to the king in the Aramaean language, O King, have life for ever: give your servants an account of your dream, and we will make clear to you the sense of it.|en
50|2|5|5|王回答迦勒底人說：夢我已經忘了（或譯：我已定命；八節同），你們若不將夢和夢的講解告訴我，就必被凌遲，你們的房屋必成為糞堆；|zh
51|2|5|5|The king made answer and said to the Chaldaeans, This is my decision: if you do not make clear to me the dream and the sense of it, you will be cut in bits and your houses made waste.|en
52|2|6|6|你們若將夢和夢的講解告訴我，就必從我這裡得贈品和賞賜，並大尊榮。現在你們要將夢和夢的講解告訴我。|zh
53|2|6|6|But if you make clear the dream and the sense of it, you will have from me offerings and rewards and great honour: so make clear to me the dream and the sense of it.|en
54|2|7|7|他們第二次對王說：請王將夢告訴僕人，僕人就可以講解。|zh
55|2|7|7|A second time they said in answer, Let the king give his servants an account of his dream, and we will make clear the sense.|en
56|2|8|8|王回答說：我准知道你們是故意遲延，因為你們知道那夢我已經忘了。|zh
57|2|8|8|The king made answer and said, I am certain that you are attempting to get more time, because you see that my decision is fixed;|en
58|2|9|9|你們若不將夢告訴我，只有一法待你們；因為你們預備了謊言亂語向我說，要等候時勢改變。現在你們要將夢告訴我，因我知道你們能將夢的講解告訴我。|zh
59|2|9|9|That if you do not make my dream clear to me there is only one fate for you: for you have made ready false and evil words to say before me till the times are changed: so give me an account of the dream, and I will be certain that you are able to make the sense of it clear.|en
60|2|10|10|迦勒底人在王面前回答說：世上沒有人能將王所問的事說出來；因為沒有君王、大臣、掌權的向術士，或用法術的，或迦勒底人問過這樣的事。|zh
61|2|10|10|Then the Chaldaeans said to the king in answer, There is not a man on earth able to make clear the king's business; for no king, however great his power, has ever made such a request to any wonder-worker or user of secret arts or Chaldaean.|en
62|2|11|11|王所問的事甚難。除了不與世人同居的神明，沒有人在王面前能說出來。|zh
63|2|11|11|The king's request is a very hard one, and there is no other who is able to make it clear to the king, but the gods, whose living-place is not with flesh.|en
64|2|12|12|因此，王氣忿忿地大發烈怒，吩咐滅絕巴比倫所有的哲士。|zh
65|2|12|12|Because of this the king was angry and full of wrath, and gave orders for the destruction of all the wise men of Babylon.|en
66|2|13|13|於是命令發出，哲士將要見殺，人就尋找但以理和他的同伴，要殺他們。|zh
