|chapter|sec|no|content|lang
0|1|1|1|俄巴底亞得了耶和華的默示。論以東說：我從耶和華那裡聽見信息，並有使者被差往列國去，說：起來罷，一同起來與以東爭戰！|zh
1|1|1|1|The vision of Obadiah. This is what the Lord has said about Edom: We have had word from the Lord, and a representative has been sent among the nations, saying, Up! and let us make war against her.|en
2|1|2|2|我使你─以東在列國中為最小的，被人大大藐視。|zh
3|1|2|2|See, I have made you small among the nations: you are much looked down on.|en
4|1|3|3|住在山穴中、居所在高處的啊，你因狂傲自欺，心裡說：誰能將我拉下地去呢？|zh
5|1|3|3|You have been tricked by the pride of your heart, O you whose living-place is in the cracks of the rock, whose house is high up; who has said in his heart, Who will make me come down to earth?|en
6|1|4|4|你雖如大鷹高飛，在星宿之間搭窩，我必從那裡拉下你來。這是耶和華說的。|zh
7|1|4|4|Though you go up on high like an eagle, though your house is placed among the stars, I will make you come down from there, says the Lord.|en
8|1|5|5|盜賊若來在你那裡，或強盜夜間而來─你何竟被剪除─豈不偷竊直到夠了呢？摘葡萄的若來到你那裡，豈不剩下些葡萄呢？|zh
9|1|5|5|If thieves came, attacking you by night, (how are you cut off!) would they not go on taking till they had enough? if men came cutting your grapes would they take them all?|en
10|1|6|6|以掃的隱密處何竟被搜尋？他隱藏的寶物何竟被查出？|zh
11|1|6|6|How are the things of Esau searched out! how are his secret stores looked for!|en
12|1|7|7|與你結盟的都送你上路，直到交界；與你和好的欺騙你，且勝過你；與你一同吃飯的設下網羅陷害你；在你心裡毫無聰明。|zh
13|1|7|7|All the men who were united with you have been false to you, driving you out to the edge of the land: the men who were at peace with you have overcome you; they have taken their heritage in your place.|en
14|1|8|8|耶和華說：到那日，我豈不從以東除滅智慧人？從以掃山除滅聰明人？|zh
15|1|8|8|Will I not, in that day, says the Lord, take away the wise men out of Edom, and wisdom out of the mountain of Esau?|en
16|1|9|9|提幔哪，你的勇士必驚惶，甚至以掃山的人都被殺戮剪除。|zh
17|1|9|9|And your men of war, O Teman, will be overcome with fear, so that every one of them may be cut off from the mountain of Esau.|en
18|1|10|10|因你向兄弟雅各行強暴，羞愧必遮蓋你，你也必永遠斷絕。|zh
19|1|10|10|Because you were the cause of violent death and because of your cruel behaviour to your brother Jacob, you will be covered with shame and will be cut off for ever.|en
20|1|11|11|當外人擄掠雅各的財物，外邦人進入他的城門，為耶路撒冷拈鬮的日子，你竟站在一旁，像與他們同夥。|zh
21|1|11|11|Because you were there watching when men from other lands took away his goods, and strange men came into his doors, and put the fate of Jerusalem to the decision of chance; you were like one of them.|en
22|1|12|12|你兄弟遭難的日子，你不當瞪眼看著；猶大人被滅的日子，你不當因此歡樂；他們遭難的日子，你不當說狂傲的話。|zh
23|1|12|12|Do not see with pleasure your brother's evil day, the day of his fate, and do not be glad over the children of Judah on the day of their destruction, or make wide your mouth on the day of trouble.|en
24|1|13|13|我民遭災的日子，你不當進他們的城門；他們遭災的日子，你不當瞪眼看著他們受苦；他們遭災的日子，你不當伸手搶他們的財物；|zh
25|1|13|13|Do not go into the doors of my people on the day of their downfall; do not be looking on their trouble with pleasure on the day of their downfall, or put your hands on their goods on the day of their downfall.|en
26|1|14|14|你不當站在岔路口剪除他們中間逃脫的；他們遭難的日子，你不當將他們剩下的人交付仇敵。|zh
27|1|14|14|And do not take your place at the cross-roads, cutting off those of his people who get away; and do not give up to their haters those who are still there in the day of trouble.|en
28|1|15|15|耶和華降罰的日子臨近萬國。你怎樣行，他也必照樣向你行；你的報應必歸到你頭上。|zh
29|1|15|15|For the day of the Lord is coming quickly on all nations: as you have done it will be done to you; the reward of your acts will come on your head.|en
30|1|16|16|你們猶大人在我聖山怎樣喝了苦杯，萬國也必照樣常常地喝；且喝且咽，他們就歸於無有。|zh
31|1|16|16|For as you have been drinking on my holy mountain, so will all the nations go on drinking without end; they will go on drinking and the wine will go down their throats, and they will be as if they had never been.|en
32|1|17|17|在錫安山必有逃脫的人，那山也必成聖；雅各家必得原有的產業。|zh
33|1|17|17|But in Mount Zion some will be kept safe, and it will be holy; and the children of Jacob will take their heritage.|en
34|1|18|18|雅各家必成為大火；約瑟家必為火燄；以掃家必如碎秸；火必將他燒著吞滅。以掃家必無餘剩的。這是耶和華說的。|zh
35|1|18|18|And the children of Jacob will be a fire and those of Joseph a flame, and the children of Esau dry stems of grass, burned up by them till all is gone: and there will be no people living in Esau; for the Lord has said it.|en
36|1|19|19|南地的人必得以掃山；高原的人必得非利士地，也得以法蓮地和撒瑪利亞地；便雅憫人必得基列。|zh
37|1|19|19|And they will take the South, and the lowland, and the country of Ephraim, and Gilead, as their heritage.|en
38|1|20|20|在迦南人中被擄的以色列眾人必得地直到撒勒法；在西法拉中被擄的耶路撒冷人必得南地的城邑。|zh
39|1|20|20|And those of the children of Israel who were the first to be taken away as prisoners, will have their heritage among the Canaanites as far as Zarephath; and those who were taken away from Jerusalem, who are in Sepharad, will have the towns of the South.|en
40|1|21|21|必有拯救者上到錫安山，審判以掃山；國度就歸耶和華了。|zh
41|1|21|21|And those who have been kept safe will come up from Mount Zion to be judges of the mountain of Esau; and the kingdom will be the Lord's.|en
