|chapter|sec|no|content|lang
0|1|1|1|在耶路撒冷作王、大衛的兒子、傳道者的言語。|zh
1|1|1|1|The words of the Preacher, the son of David, king in Jerusalem.|en
2|1|2|2|傳道者說：虛空的虛空，虛空的虛空，凡事都是虛空。|zh
3|1|2|2|All is to no purpose, said the Preacher, all the ways of man are to no purpose.|en
4|1|3|3|人一切的勞碌，就是他在日光之下的勞碌，有甚麼益處呢？|zh
5|1|3|3|What is a man profited by all his work which he does under the sun?|en
6|1|4|4|一代過去，一代又來，地卻永遠長存。|zh
7|1|4|4|One generation goes and another comes; but the earth is for ever.|en
8|1|5|5|日頭出來，日頭落下，急歸所出之地。|zh
9|1|5|5|The sun comes up and the sun goes down, and goes quickly back to the place where he came up.|en
10|1|6|6|風往南颳，又向北轉，不住地旋轉，而且返回轉行原道。|zh
11|1|6|6|The wind goes to the south, turning back again to the north; circling round for ever.|en
12|1|7|7|江河都往海裡流，海卻不滿；江河從何處流，仍歸還何處。|zh
13|1|7|7|All the rivers go down to the sea, but the sea is not full; to the place where the rivers go, there they go again.|en
14|1|8|8|萬事令人厭煩（或譯：萬物滿有困乏），人不能說盡。眼看，看不飽；耳聽，聽不足。|zh
15|1|8|8|All things are full of weariness; man may not give their story: the eye has never enough of its seeing, or the ear of its hearing.|en
16|1|9|9|已有的事後必再有；已行的事後必再行。日光之下並無新事。|zh
17|1|9|9|That which has been, is that which is to be, and that which has been done, is that which will be done, and there is no new thing under the sun.|en
18|1|10|10|豈有一件事人能指著說這是新的？哪知，在我們以前的世代早已有了。|zh
19|1|10|10|Is there anything of which men say, See, this is new? It has been in the old time which was before us.|en
20|1|11|11|已過的世代，無人記念；將來的世代，後來的人也不記念。|zh
21|1|11|11|There is no memory of those who have gone before, and of those who come after there will be no memory for those who are still to come after them.|en
22|1|12|12|我傳道者在耶路撒冷作過以色列的王。|zh
23|1|12|12|I, the Preacher, was king over Israel in Jerusalem.|en
24|1|13|13|我專心用智慧尋求、查究天下所做的一切事，乃知神叫世人所經練的是極重的勞苦。|zh
25|1|13|13|And I gave my heart to searching out in wisdom all things which are done under heaven: it is a hard thing which God has put on the sons of men to do.|en
26|1|14|14|我見日光之下所做的一切事，都是虛空，都是捕風。|zh
27|1|14|14|I have seen all the works which are done under the sun; all is to no purpose, and desire for wind.|en
28|1|15|15|彎曲的，不能變直；缺少的，不能足數。|zh
29|1|15|15|That which is bent may not be made straight, and that which is not there may not be numbered.|en
30|1|16|16|我心裡議論說：我得了大智慧，勝過我以前在耶路撒冷的眾人，而且我心中多經歷智慧和知識的事。|zh
31|1|16|16|I said to my heart, See, I have become great and am increased in wisdom more than any who were before me in Jerusalem--yes, my heart has seen much wisdom and knowledge.|en
32|1|17|17|我又專心察明智慧、狂妄，和愚昧，乃知這也是捕風。|zh
33|1|17|17|And I gave my heart to getting knowledge of wisdom, and of the ways of the foolish. And I saw that this again was desire for wind.|en
34|1|18|18|因為多有智慧，就多有愁煩；加增知識的，就加增憂傷。|zh
35|1|18|18|Because in much wisdom is much grief, and increase of knowledge is increase of sorrow.|en
36|2|1|1|我心裡說：來罷，我以喜樂試試你，你好享福！誰知，這也是虛空。|zh
37|2|1|1|I said in my heart, I will give you joy for a test; so take your pleasure--but it was to no purpose.|en
38|2|2|2|我指嬉笑說：這是狂妄。論喜樂說：有何功效呢？|zh
39|2|2|2|Of laughing I said, It is foolish; and of joy--What use is it?|en
40|2|3|3|我心裡察究，如何用酒使我肉體舒暢，我心卻仍以智慧引導我；又如何持住愚昧，等我看明世人，在天下一生當行何事為美。|zh
41|2|3|3|I made a search with my heart to give pleasure to my flesh with wine, still guiding my heart with wisdom, and to go after foolish things, so that I might see what was good for the sons of men to do under the heavens all the days of their life.|en
42|2|4|4|我為自己動大工程，建造房屋，栽種葡萄園，|zh
43|2|4|4|I undertook great works, building myself houses and planting vine-gardens.|en
44|2|5|5|修造園囿，在其中栽種各樣果木樹；|zh
45|2|5|5|I made myself gardens and fruit gardens, planting in them fruit-trees of all sorts.|en
46|2|6|6|挖造水池，用以澆灌嫩小的樹木。|zh
47|2|6|6|I made pools to give water for the woods with their young trees.|en
48|2|7|7|我買了僕婢，也有生在家中的僕婢；又有許多牛群羊群，勝過以前在耶路撒冷眾人所有的。|zh
49|2|7|7|I got men-servants and women-servants, and they gave birth to sons and daughters in my house. I had great wealth of herds and flocks, more than all who were in Jerusalem before me.|en
50|2|8|8|我又為自己積蓄金銀和君王的財寶，並各省的財寶；又得唱歌的男女和世人所喜愛的物，並許多的妃嬪。|zh
51|2|8|8|I got together silver and gold and the wealth of kings and of countries. I got makers of song, male and female; and the delights of the sons of men--girls of all sorts to be my brides.|en
52|2|9|9|這樣，我就日見昌盛，勝過以前在耶路撒冷的眾人。我的智慧仍然存留。|zh
53|2|9|9|And I became great; increasing more than all who had been before me in Jerusalem, and my wisdom was still with me.|en
54|2|10|10|凡我眼所求的，我沒有留下不給他的；我心所樂的，我沒有禁止不享受的；因我的心為我一切所勞碌的快樂，這就是我從勞碌中所得的分。|zh
55|2|10|10|And nothing which was desired by my eyes did I keep from them; I did not keep any joy from my heart, because my heart took pleasure in all my work, and this was my reward.|en
56|2|11|11|後來，我察看我手所經營的一切事和我勞碌所成的功。誰知都是虛空，都是捕風；在日光之下毫無益處。|zh
57|2|11|11|Then I saw all the works which my hands had made, and everything I had been working to do; and I saw that all was to no purpose and desire for wind, and there was no profit under the sun.|en
58|2|12|12|我轉念觀看智慧、狂妄，和愚昧。在王以後而來的人還能做甚麼呢？也不過行早先所行的就是了。|zh
59|2|12|12|And I went again in search of wisdom and of foolish ways. What may the man do who comes after the king? The thing which he has done before.|en
