|chapter|sec|no|content|lang
0|1|1|1|耶和華從會幕中呼叫摩西，對他說：|zh
1|1|1|1|And the voice of the Lord came to Moses out of the Tent of meeting, saying,|en
2|1|2|2|你曉諭以色列人說：你們中間若有人獻供物給耶和華，要從牛群羊群中獻牲畜為供物。|zh
3|1|2|2|Give these orders to the children of Israel: When anyone of you makes an offering to the Lord, you are to take it from the cattle, from the herd or from the flock.|en
4|1|3|3|他的供物若以牛為燔祭，就要在會幕門口獻一隻沒有殘疾的公牛，可以在耶和華面前蒙悅納。|zh
5|1|3|3|If the offering is a burned offering of the herd, let him give a male without a mark: he is to give it at the door of the Tent of meeting so that he may be pleasing to the Lord.|en
6|1|4|4|他要按手在燔祭牲的頭上，燔祭便蒙悅納，為他贖罪。|zh
7|1|4|4|And he is to put his hand on the head of the burned offering and it will be taken for him, to take away his sin.|en
8|1|5|5|他要在耶和華面前宰公牛；亞倫子孫作祭司的，要奉上血，把血灑在會幕門口、壇的周圍。|zh
9|1|5|5|And the ox is to be put to death before the Lord: then Aaron's sons, the priests, are to take the blood and put some of it on and round the altar which is at the door of the Tent of meeting.|en
10|1|6|6|那人要剝去燔祭牲的皮，把燔祭牲切成塊子。|zh
11|1|6|6|And the burned offering is to be skinned and cut up into its parts.|en
12|1|7|7|祭司亞倫的子孫要把火放在壇上，把柴擺在火上。|zh
13|1|7|7|And Aaron's sons, the priests, are to put fire on the altar and put the wood in order on the fire:|en
14|1|8|8|亞倫子孫作祭司的，要把肉塊和頭並脂油擺在壇上火的柴上。|zh
15|1|8|8|And Aaron's sons, the priests, are to put the parts, the head and the fat, in order on the wood which is on the fire on the altar:|en
16|1|9|9|但燔祭的臟腑與腿要用水洗。祭司就要把一切全燒在壇上，當作燔祭，獻與耶和華為馨香的火祭。|zh
17|1|9|9|But its inside parts and its legs are to be washed with water, and it will all be burned on the altar by the priest for a burned offering, an offering made by fire, for a sweet smell to the Lord.|en
18|1|10|10|人的供物若以綿羊或山羊為燔祭，就要獻上沒有殘疾的公羊。|zh
19|1|10|10|And if his offering is of the flock, a burned offering of sheep or goats, let him give a male without a mark.|en
