|chapter|sec|no|content|lang
0|1|1|1|作使徒的保羅（不是由於人，也不是藉著人，乃是藉著耶穌基督，與叫他從死裡復活的父神）|zh
1|1|1|1|Paul, an Apostle (not from men, and not through man, but through Jesus Christ, and God the Father, who made him come back from the dead),|en
2|1|2|2|和一切與我同在的眾弟兄，寫信給加拉太的各教會。|zh
3|1|2|2|And all the brothers who are with me, to the churches of Galatia:|en
4|1|3|3|願恩惠、平安從父神與我們的主耶穌基督歸與你們！|zh
5|1|3|3|Grace to you and peace from God the Father and our Lord Jesus Christ,|en
6|1|4|4|基督照我們父神的旨意，為我們的罪捨己，要救我們脫離這罪惡的世代。|zh
7|1|4|4|Who gave himself for our sins, so that he might make us free from this present evil world, after the purpose of our God and Father:|en
8|1|5|5|但願榮耀歸於神，直到永永遠遠。阿們！|zh
9|1|5|5|To whom be the glory for ever and ever. So be it.|en
10|1|6|6|我希奇你們這麼快離開那藉著基督之恩召你們的，去從別的福音。|zh
11|1|6|6|I am surprised that you are being so quickly turned away from him whose word came to you in the grace of Christ, to good news of a different sort;|en
12|1|7|7|那並不是福音，不過有些人攪擾你們，要把基督的福音更改了。|zh
13|1|7|7|Which is not another sort: only there are some who give you trouble, desiring to make changes in the good news of Christ.|en
14|1|8|8|但無論是我們，是天上來的使者，若傳福音給你們，與我們所傳給你們的不同，他就應當被咒詛。|zh
15|1|8|8|But even if we, or an angel from heaven, were to be a preacher to you of good news other than that which we have given you, let there be a curse on him.|en
16|1|9|9|我們已經說了，現在又說，若有人傳福音給你們，與你們所領受的不同，他就應當被咒詛。|zh
17|1|9|9|As we have said before, so say I now again, If any man is a preacher to you of any good news other than that which has been given to you, let there be a curse on him.|en
18|1|10|10|我現在是要得人的心呢？還是要得神的心呢？我豈是討人的喜歡麼？若仍舊討人的喜歡，我就不是基督的僕人了。|zh
19|1|10|10|Am I now using arguments to men, or God? or is it my desire to give men pleasure? if I was still pleasing men, I would not be a servant of Christ.|en
20|1|11|11|弟兄們，我告訴你們，我素來所傳的福音不是出於人的意思。|zh
21|1|11|11|Because I say to you, my brothers, that the good news of which I was the preacher is not man's.|en
22|1|12|12|因為我不是從人領受的，也不是人教導我的，乃是從耶穌基督啟示來的。|zh
23|1|12|12|For I did not get it from man, and I was not given teaching in it, but it came to me through revelation of Jesus Christ.|en
24|1|13|13|你們聽見我從前在猶太教中所行的事，怎樣極力逼迫殘害神的教會。|zh
25|1|13|13|For news has come to you of my way of life in the past in the Jews' religion, how I was cruel without measure to the church of God, and did great damage to it:|en
26|1|14|14|我又在猶太教中，比我本國許多同歲的人更有長進，為我祖宗的遺傳更加熱心。|zh
27|1|14|14|And I went farther in the Jews' religion than a number of my generation among my countrymen, having a more burning interest in the beliefs handed down from my fathers.|en
28|1|15|15|然而，那把我從母腹裡分別出來、又施恩召我的神，|zh
29|1|15|15|But when it was the good pleasure of God, by whom I was marked out even from my mother's body, through his grace,|en
30|1|16|16|既然樂意將他兒子啟示在我心裡，叫我把他傳在外邦人中，我就沒有與屬血氣的人商量，|zh
31|1|16|16|To give the revelation of his Son in me, so that I might give the news of him to the Gentiles; then I did not take the opinion of flesh and blood,|en
32|1|17|17|也沒有上耶路撒冷去見那些比我先作使徒的，惟獨往亞拉伯去，後又回到大馬色。|zh
33|1|17|17|And I went not up to Jerusalem to those who were Apostles before me; but I went away into Arabia, and again I came back to Damascus.|en
34|1|18|18|過了三年，才上耶路撒冷去見磯法，和他同住了十五天。|zh
35|1|18|18|Then after three years I went up to Jerusalem to see Cephas, and was there with him fifteen days.|en
36|1|19|19|至於別的使徒，除了主的兄弟雅各，我都沒有看見。|zh
37|1|19|19|But of the other Apostles I saw only James, the Lord's brother.|en
38|1|20|20|我寫給你們的不是謊話，這是我在神面前說的。|zh
39|1|20|20|Now God is witness that the things which I am writing to you are true.|en
40|1|21|21|以後我到了敘利亞和基利家境內。|zh
41|1|21|21|Then I came to the parts of Syria and Cilicia.|en
42|1|22|22|那時，猶太信基督的各教會都沒有見過我的面。|zh
43|1|22|22|And the churches of Judaea which were in Christ still had no knowledge of my face or person:|en
44|1|23|23|不過聽說那從前逼迫我們的，現在傳揚他原先所殘害的真道。|zh
45|1|23|23|Only it came to their ears that he who at one time was cruel to us is now preaching the faith which before had been attacked by him;|en
46|1|24|24|他們就為我的緣故，歸榮耀給神。|zh
47|1|24|24|And they gave glory to God in me.|en
48|2|1|1|過了十四年，我同巴拿巴又上耶路撒冷去，並帶著提多同去。|zh
49|2|1|1|Then after the space of fourteen years I went up again to Jerusalem with Barnabas, taking Titus with me.|en
