|chapter|sec|no|content|lang
0|1|1|1|神的兒子，耶穌基督福音的起頭。|zh
1|1|1|1|The first words of the good news of Jesus Christ, the Son of God.|en
2|1|2|2|正如先知以賽亞（有古卷無以賽亞三個字）書上記著說：看哪，我要差遣我的使者在你前面，預備道路。|zh
3|1|2|2|Even as it is said in the book of Isaiah the prophet, See, I send my servant before your face, who will make ready your way;|en
4|1|3|3|在曠野有人聲喊著說：預備主的道，修直他的路。|zh
5|1|3|3|The voice of one crying in the waste land, Make ready the way of the Lord, make his roads straight;|en
6|1|4|4|照這話，約翰來了，在曠野施洗，傳悔改的洗禮，使罪得赦。|zh
7|1|4|4|John came, and gave baptism in the waste land, preaching baptism as a sign of forgiveness of sin for those whose hearts were changed.|en
8|1|5|5|猶太全地和耶路撒冷的人都出去到約翰那裡，承認他們的罪，在約但河裡受他的洗。|zh
9|1|5|5|And there went out to him all the people of Judaea, and all those of Jerusalem, and they were given baptism by him in the river Jordan, saying that they were sinners.|en
10|1|6|6|約翰穿駱駝毛的衣服，腰束皮帶，吃的是蝗蟲、野蜜。|zh
11|1|6|6|And John was clothed in camel's hair, with a leather band about him; and his food was locusts and honey.|en
12|1|7|7|他傳道說：有一位在我以後來的，能力比我更大，我就是彎腰給他解鞋帶也是不配的。|zh
13|1|7|7|And he said to them all, There is one coming after me who is greater than I, whose shoes I am not good enough to undo.|en
14|1|8|8|我是用水給你們施洗，他卻要用聖靈給你們施洗。|zh
15|1|8|8|I have given you baptism with water, but he will give you baptism with the Holy Spirit.|en
16|1|9|9|那時，耶穌從加利利的拿撒勒來，在約但河裡受了約翰的洗。|zh
17|1|9|9|And it came about in those days, that Jesus came from Nazareth of Galilee, and was given baptism by John in the Jordan.|en
18|1|10|10|他從水裡一上來，就看見天裂開了，聖靈彷彿鴿子，降在他身上。|zh
19|1|10|10|And straight away, coming up out of the water, he saw the heavens broken open and the Spirit coming down on him as a dove:|en
20|1|11|11|又有聲音從天上來，說：你是我的愛子，我喜悅你。|zh
21|1|11|11|And a voice came out of heaven, You are my dearly loved Son, with whom I am well pleased.|en
22|1|12|12|聖靈就把耶穌催到曠野裡去。|zh
23|1|12|12|And straight away the Spirit sent him out into the waste land.|en
24|1|13|13|他在曠野四十天，受撒但的試探，並與野獸同在一處，且有天使來伺候他。|zh
25|1|13|13|And he was in the waste land for forty days, being tested by Satan; and he was with the beasts; and the angels took care of him.|en
26|1|14|14|約翰下監以後，耶穌來到加利利，宣傳神的福音，|zh
27|1|14|14|Now after John had been put in prison, Jesus came into Galilee, preaching the good news of God,|en
28|1|15|15|說：日期滿了，神的國近了。你們當悔改，信福音！|zh
29|1|15|15|And saying, The time has come, and the kingdom of God is near: let your hearts be turned from sin and have faith in the good news.|en
30|1|16|16|耶穌順著加利利的海邊走，看見西門和西門的兄弟安得烈在海裡撒網；他們本是打魚的。|zh
31|1|16|16|And going by the sea of Galilee, he saw Simon, and Andrew, the brother of Simon, putting a net into the sea: for they were fishermen.|en
32|1|17|17|耶穌對他們說：來跟從我，我要叫你們得人如得魚一樣。|zh
33|1|17|17|And Jesus said to them, Come after me, and I will make you fishers of men.|en
34|1|18|18|他們就立刻捨了網，跟從了他。|zh
35|1|18|18|And they went straight from their nets, and came after him.|en
36|1|19|19|耶穌稍往前走，又見西庇太的兒子雅各和雅各的兄弟約翰在船上補網。|zh
37|1|19|19|And going on a little farther, he saw James, the son of Zebedee, and John his brother, who were in their boat stitching up their nets.|en
38|1|20|20|耶穌隨即招呼他們，他們就把父親西庇太和雇工人留在船上，跟從耶穌去了。|zh
39|1|20|20|And he said, Come after me: and they went away from their father Zebedee, who was in the boat with the servants, and came after him.|en
40|1|21|21|到了迦百農，耶穌就在安息日進了會堂教訓人。|zh
