|chapter|sec|no|content|lang
0|1|1|1|先前滿有人民的城，現在何竟獨坐！先前在列國中為大的，現在竟如寡婦；先前在諸省中為王后的，現在成為進貢的。|zh
1|1|1|1|See her seated by herself, the town which was full of people! She who was great among the nations has become like a widow! She who was a princess among the countries has come under the yoke of forced work!|en
2|1|2|2|她夜間痛哭，淚流滿腮；在一切所親愛的中間沒有一個安慰她的。她的朋友都以詭詐待她，成為她的仇敵。|zh
3|1|2|2|She is sorrowing bitterly in the night, and her face is wet with weeping; among all her lovers she has no comforter: all her friends have been false to her, they have become her haters.|en
4|1|3|3|猶大因遭遇苦難，又因多服勞苦就遷到外邦。她住在列國中，尋不著安息；追逼她的都在狹窄之地將她追上。|zh
5|1|3|3|Judah has been taken away as a prisoner because of trouble and hard work; her living-place is among the nations, there is no rest for her: all her attackers have overtaken her in a narrow place.|en
6|1|4|4|錫安的路徑因無人來守聖節就悲傷；她的城門淒涼；她的祭司歎息；她的處女受艱難，自己也愁苦。|zh
7|1|4|4|The ways of Zion are sad, because no one comes to the holy meeting; all her doorways are made waste, her priests are breathing out sorrow: her virgins are troubled, and it is bitter for her.|en
8|1|5|5|她的敵人為首；她的仇敵亨通；因耶和華為她許多的罪過使她受苦；她的孩童被敵人擄去。|zh
9|1|5|5|Those who are against her have become the head, everything goes well for her haters; for the Lord has sent sorrow on her because of the great number of her sins: her young children have gone away as prisoners before the attacker.|en
10|1|6|6|錫安城（原文是女子；下同）的威榮全都失去。她的首領像找不著草場的鹿；在追趕的人前無力行走。|zh
11|1|6|6|And all her glory has gone from the daughter of Zion: her rulers have become like harts with no place for food, and they have gone in flight without strength before the attacker.|en
12|1|7|7|耶路撒冷在困苦窘迫之時，就追想古時一切的樂境。她百姓落在敵人手中，無人救濟；敵人看見，就因她的荒涼嗤笑。|zh
13|1|7|7|Jerusalem keeps in mind, in the days of her sorrow and of her wanderings, all the desired things which were hers in days gone by; when her people came into the power of her hater and she had no helper, her attackers saw their desire effected on her and made sport of her destruction.|en
14|1|8|8|耶路撒冷大大犯罪，所以成為不潔之物；素來尊敬她的，見她赤露就都藐視她；她自己也歎息退後。|zh
15|1|8|8|Great is the sin of Jerusalem; for this cause she has become an unclean thing: all those who gave her honour are looking down on her, because they have seen her shame: now truly, breathing out grief, she is turned back.|en
16|1|9|9|她的污穢是在衣襟上；她不思想自己的結局，所以非常地敗落，無人安慰她。她說：耶和華啊，求你看我的苦難，因為仇敵誇大。|zh
17|1|9|9|In her skirts were her unclean ways; she gave no thought to her end; and her fall has been a wonder; she has no comforter: see her sorrow, O Lord; for the attacker is lifted up.|en
18|1|10|10|敵人伸手，奪取她的美物；她眼見外邦人進入她的聖所─論這外邦人，你曾吩咐不可入你的會中。|zh
19|1|10|10|The hand of her hater is stretched out over all her desired things; for she has seen that the nations have come into her holy place, about whom you gave orders that they were not to come into the meeting of your people.|en
20|1|11|11|她的民都歎息，尋求食物；他們用美物換糧食，要救性命。他們說：耶和華啊，求你觀看，因為我甚是卑賤。|zh
21|1|11|11|Breathing out grief all her people are looking for bread; they have given their desired things for food to give them life: see, O Lord, and take note; for she has become a thing of shame.|en
22|1|12|12|你們一切過路的人哪，這事你們不介意麼？你們要觀看：有像這臨到我的痛苦沒有─就是耶和華在他發烈怒的日子使我所受的苦？|zh
23|1|12|12|Come to me, all you who go by! Keep your eyes on me, and see if there is any pain like the pain of my wound, which the Lord has sent on me in the day of his burning wrath.|en
24|1|13|13|他從高天使火進入我的骨頭，剋制了我；他鋪下網羅，絆我的腳，使我轉回；他使我終日淒涼發昏。|zh
25|1|13|13|From on high he has sent fire into my bones, and it has overcome them: his net is stretched out for my feet, I am turned back by him; he has made me waste and feeble all the day.|en
26|1|14|14|我罪過的軛是他手所綁的，猶如軛繩縛在我頸項上；他使我的力量衰敗。主將我交在我所不能敵擋的人手中。|zh
27|1|14|14|A watch is kept on my sins; they are joined together by his hand, they have come on to my neck; he has made my strength give way: the Lord has given me up into the hands of those against whom I have no power.|en
28|1|15|15|主輕棄我中間的一切勇士，招聚多人（原文是大會）攻擊我，要壓碎我的少年人。主將猶大居民踹下，像在酒醡中一樣。|zh
29|1|15|15|The Lord has made sport of all my men of war in me, he has got men together against me to send destruction on my young men: the virgin daughter of Judah has been crushed like grapes under the feet of the Lord.|en
30|1|16|16|我因這些事哭泣；我眼淚汪汪；因為那當安慰我、救我性命的，離我甚遠。我的兒女孤苦，因為仇敵得了勝。|zh
31|1|16|16|For these things I am weeping; my eye is streaming with water; because the comforter who might give me new life is far from me: my children are made waste, because the hater is strong.|en
32|1|17|17|錫安舉手，無人安慰。耶和華論雅各已經出令，使四圍的人作他仇敵；耶路撒冷在他們中間像不潔之物。|zh
33|1|17|17|Zion's hands are outstretched; she has no comforter; the Lord has given orders to the attackers of Jacob round about him: Jerusalem has become like an unclean thing among them.|en
34|1|18|18|耶和華是公義的！他這樣待我，是因我違背他的命令。眾民哪，請聽我的話，看我的痛苦；我的處女和少年人都被擄去。|zh
35|1|18|18|The Lord is upright; for I have gone against his orders: give ear, now, all you peoples, and see my pain, my virgins and my young men have gone away as prisoners.|en
36|1|19|19|我招呼我所親愛的，他們卻愚弄我。我的祭司和長老正尋求食物、救性命的時候，就在城中絕氣。|zh
37|1|19|19|I sent for my lovers, but they were false to me: my priests and my responsible men were breathing their last breath in the town, while they were looking for food to give them new life.|en
38|1|20|20|耶和華啊，求你觀看，因為我在急難中。我心腸擾亂；我心在我裡面翻轉，因我大大悖逆。在外，刀劍使人喪子；在家，猶如死亡。|zh
39|1|20|20|See, O Lord, for I am in trouble; the inmost parts of my body are deeply moved; my heart is turned in me; for I have been uncontrolled: outside the children are put to the sword, and in the house there is death.|en
40|1|21|21|聽見我歎息的有人；安慰我的卻無人！我的仇敵都聽見我所遭的患難；因你做這事，他們都喜樂。你必使你報告的日子來到，他們就像我一樣。|zh
41|1|21|21|Give ear to the voice of my grief; I have no comforter; all my haters have news of my troubles, they are glad because you have done it: let the day of fate come when they will be like me.|en
42|1|22|22|願他們的惡行都呈在你面前；你怎樣因我的一切罪過待我，求你照樣待他們；因我歎息甚多，心中發昏。|zh
43|1|22|22|Let all their evil-doing come before you; do to them as you have done to me for all my sins: for loud is the sound of my grief, and the strength of my heart is gone.|en
44|2|1|1|主何竟發怒，使黑雲遮蔽錫安城！他將以色列的華美從天扔在地上；在他發怒的日子並不記念自己的腳凳。|zh
45|2|1|1|How has the daughter of Zion been covered with a cloud by the Lord in his wrath! he has sent down from heaven to earth the glory of Israel, and has not kept in memory the resting-place of his feet in the day of his wrath.|en
46|2|2|2|主吞滅雅各一切的住處，並不顧惜。他發怒傾覆猶大民的保障，使這保障坍倒在地；他辱沒這國和其中的首領。|zh
