|chapter|sec|no|content|lang
0|1|1|1|耶穌基督的啟示，就是神賜給他，叫他將必要快成的事指示他的眾僕人。他就差遣使者曉諭他的僕人約翰。|zh
1|1|1|1|The Revelation of Jesus Christ which God gave him so that his servants might have knowledge of the things which will quickly take place: and he sent and made it clear by his angel to his servant John;|en
2|1|2|2|約翰便將神的道和耶穌基督的見證，凡自己所看見的都證明出來。|zh
3|1|2|2|Who gave witness of the word of God, and of the witness of Jesus Christ, even of all the things which he saw.|en
4|1|3|3|念這書上預言的和那些聽見又遵守其中所記載的，都是有福的，因為日期近了。|zh
5|1|3|3|A blessing be on the reader, and on those who give ear to the prophet's words, and keep the things which he has put in the book: for the time is near.|en
6|1|4|4|約翰寫信給亞西亞的七個教會。但願從那昔在、今在、以後永在的神，和他寶座前的七靈，|zh
7|1|4|4|John to the seven churches which are in Asia: Grace to you and peace, from him who is and was and is to come; and from the seven Spirits which are before his high seat;|en
8|1|5|5|並那誠實作見證的、從死裡首先復活、為世上君王元首的耶穌基督，有恩惠、平安歸與你們！他愛我們，用自己的血使我們脫離（有古卷作：洗去）罪惡，|zh
9|1|5|5|And from Jesus Christ, the true witness, the first to come back from the dead, and the ruler of the kings of the earth. To him who had love for us and has made us clean from our sins by his blood;|en
10|1|6|6|又使我們成為國民，作他父神的祭司。但願榮耀、權能歸給他，直到永永遠遠。阿們！|zh
11|1|6|6|And has made us to be a kingdom and priests to his God and Father; to him let glory and power be given for ever and ever. So be it.|en
12|1|7|7|看哪，他駕雲降臨！眾目要看見他，連刺他的人也要看見他；地上的萬族都要因他哀哭。這話是真實的。阿們！|zh
13|1|7|7|See, he comes with the clouds, and every eye will see him, and those by whom he was wounded; and all the tribes of the earth will be sorrowing because of him. Yes, so be it.|en
14|1|8|8|主神說：我是阿拉法，我是俄梅戛，（阿拉法，俄梅戛：是希利尼字母首末二字），是昔在、今在、以後永在的全能者。|zh
15|1|8|8|I am the First and the Last, says the Lord God who is and was and is to come, the Ruler of all.|en
16|1|9|9|我─約翰就是你們的弟兄，和你們在耶穌的患難、國度、忍耐裡一同有分，為神的道，並為給耶穌作的見證，曾在那名叫拔摩的海島上。|zh
17|1|9|9|I, John, your brother, who have a part with you in the trouble and the kingdom and the quiet strength of Jesus, was in the island which is named Patmos, for the word of God and the witness of Jesus.|en
18|1|10|10|當主日，我被聖靈感動，聽見在我後面有大聲音如吹號，說：|zh
19|1|10|10|I was in the Spirit on the Lord's day, and a great voice at my back, as of a horn, came to my ears,|en
20|1|11|11|你所看見的當寫在書上，達與以弗所、士每拿、別迦摩、推雅推喇、撒狄、非拉鐵非、老底嘉、那七個教會。|zh
21|1|11|11|Saying, What you see, put in a book, and send it to the seven churches; to Ephesus and to Smyrna and to Pergamos and to Thyatira and to Sardis and to Philadelphia and to Laodicea.|en
22|1|12|12|我轉過身來，要看是誰發聲與我說話；既轉過來，就看見七個金燈臺。|zh
23|1|12|12|And turning to see the voice which said these words to me, I saw seven gold vessels with lights burning in them;|en
24|1|13|13|燈臺中間有一位好像人子，身穿長衣，直垂到腳，胸間束著金帶。|zh
25|1|13|13|And in the middle of them one like a son of man, clothed with a robe down to his feet, and with a band of gold round his breasts.|en
26|1|14|14|他的頭與髮皆白，如白羊毛，如雪；眼目如同火燄；|zh
27|1|14|14|And his head and his hair were white like wool, as white as snow; and his eyes were as a flame of fire;|en
28|1|15|15|腳好像在爐中煆煉光明的銅；聲音如同眾水的聲音。|zh
29|1|15|15|And his feet like polished brass, as if it had been burned in a fire; and his voice was as the sound of great waters.|en
30|1|16|16|他右手拿著七星，從他口中出來一把兩刃的利劍；面貌如同烈日放光。|zh
31|1|16|16|And he had in his right hand seven stars: and out of his mouth came a sharp two-edged sword: and his face was like the sun shining in its strength.|en
32|1|17|17|我一看見，就仆倒在他腳前，像死了一樣。他用右手按著我，說：不要懼怕！我是首先的，我是末後的，|zh
33|1|17|17|And when I saw him, I went down on my face at his feet as one dead. And he put his right hand on me, saying, Have no fear; I am the first and the last and the Living one;|en
34|1|18|18|又是那存活的；我曾死過，現在又活了，直活到永永遠遠；並且拿著死亡和陰間的鑰匙。|zh
35|1|18|18|And I was dead, and see, I am living for ever, and I have the keys of death and of Hell.|en
36|1|19|19|所以你要把所看見的，和現在的事，並將來必成的事，都寫出來。|zh
37|1|19|19|Put in writing, then, the things which you have seen, and the things which are, and the things which will be after these;|en
38|1|20|20|論到你所看見、在我右手中的七星和七個金燈臺的奧祕，那七星就是七個教會的使者，七燈臺就是七個教會。|zh
39|1|20|20|The secret of the seven stars which you saw in my right hand, and of the seven gold vessels with burning lights. The seven stars are the angels of the seven churches: and the seven lights are the seven churches.|en
40|2|1|1|你要寫信給以弗所教會的使者，說：那右手拿著七星、在七個金燈臺中間行走的，說：|zh
41|2|1|1|To the angel of the church in Ephesus say: These things says he who has the seven stars in his right hand, who is walking in the middle of the seven gold lights:|en
42|2|2|2|我知道你的行為、勞碌、忍耐，也知道你不能容忍惡人。你也曾試驗那自稱為使徒卻不是使徒的，看出他們是假的來。|zh
43|2|2|2|I have knowledge of your doings, and of your hard work and long waiting, and that you will not put up with evil men, and have put to the test those who say they are Apostles and are not, and have seen that they are false;|en
44|2|3|3|你也能忍耐，曾為我的名勞苦，並不乏倦。|zh
45|2|3|3|And you have the power of waiting, and have undergone trouble because of my name, without weariness.|en
46|2|4|4|然而有一件事我要責備你，就是你把起初的愛心離棄了。|zh
47|2|4|4|But I have this against you, that you are turned away from your first love.|en
48|2|5|5|所以，應當回想你是從那裡墜落的，並要悔改，行起初所行的事。你若不悔改，我就臨到你那裡，把你的燈臺從原處挪去。|zh
49|2|5|5|So keep in mind where you were at first, and be changed in heart and do the first works; or I will come to you, and will take away your light from its place, if your hearts are not changed.|en
50|2|6|6|然而你還有一件可取的事，就是你恨惡尼哥拉一黨人的行為，這也是我所恨惡的。|zh
51|2|6|6|But at least you have the credit of hating the works of the Nicolaitans, as I do.|en
52|2|7|7|聖靈向眾教會所說的話，凡有耳的，就應當聽！得勝的，我必將神樂園中生命樹的果子賜給他吃。|zh
53|2|7|7|He who has ears, let him give ear to what the Spirit says to the churches. To him who overcomes I will give of the fruit of the tree of life, which is in the Paradise of God.|en
54|2|8|8|你要寫信給士每拿教會的使者，說：那首先的、末後的、死過又活的，說：|zh
55|2|8|8|And to the angel of the church in Smyrna say: These things says the first and the last, who was dead and is living:|en
56|2|9|9|我知道你的患難，你的貧窮（你卻是富足的），也知道那自稱是猶太人所說的毀謗話，其實他們不是猶太人，乃是撒但一會的人。|zh
57|2|9|9|I have knowledge of your troubles and how poor you are (but you have true wealth), and the evil words of those who say they are Jews, and are not, but are a Synagogue of Satan.|en
58|2|10|10|你將要受的苦你不用怕。魔鬼要把你們中間幾個人下在監裡，叫你們被試煉，你們必受患難十日。你務要至死忠心，我就賜給你那生命的冠冕。|zh
59|2|10|10|Have no fear of the things which you will have to undergo: see, the Evil One will send some of you into prison, so that you may be put to the test; and you will have great trouble for ten days. Be true till death, and I will give you the crown of life.|en
60|2|11|11|聖靈向眾教會所說的話，凡有耳的，就應當聽！得勝的，必不受第二次死的害。|zh
61|2|11|11|He who has ears, let him give ear to what the Spirit says to the churches. He who overcomes will not come under the power of the second death.|en
