|chapter|sec|no|content|lang
0|1|1|1|神的僕人，耶穌基督的使徒保羅，憑著神選民的信心與敬虔真理的知識，|zh
1|1|1|1|Paul, a servant of God, and an Apostle of Jesus Christ, in agreement with the faith of the saints of God and the full knowledge of what is true in harmony with religion,|en
2|1|2|2|盼望那無謊言的神在萬古之先所應許的永生，|zh
3|1|2|2|In the hope of eternal life, which was made certain before eternal time, by the word of God who is ever true;|en
4|1|3|3|到了日期，藉著傳揚的工夫把他的道顯明了；這傳揚的責任是按著神我們救主的命令交託了我。|zh
5|1|3|3|Who, in his time, made clear his word in the good news, of which, by the order of God our Saviour, I became a preacher;|en
6|1|4|4|現在寫信給提多，就是照著我們共信之道作我真兒子的。願恩惠、平安從父神和我們的救主基督耶穌歸與你！|zh
7|1|4|4|To Titus, my true child in our common faith: Grace and peace from God the Father and Christ Jesus our Saviour.|en
8|1|5|5|我從前留你在革哩底，是要你將那沒有辦完的事都辦整齊了，又照我所吩咐你的，在各城設立長老。|zh
9|1|5|5|I did not take you with me when I went away from Crete, so that you might do what was necessary to put things in order there, placing men in authority over the churches in every town, as I said to you;|en
10|1|6|6|若有無可指責的人，只作一個婦人的丈夫，兒女也是信主的，沒有人告他們是放蕩不服約束的，就可以設立。|zh
11|1|6|6|Men having a good record, husbands of one wife, whose children are of the faith, children of whom it may not be said that they are given to loose living or are uncontrolled.|en
12|1|7|7|監督既是神的管家，必須無可指責，不任性，不暴躁，不因酒滋事，不打人，不貪無義之財；|zh
13|1|7|7|For it is necessary for a Bishop to be a man of virtue, as God's servant; not pushing himself forward, not quickly moved to wrath or blows, not desiring profit for himself;|en
14|1|8|8|樂意接待遠人，好善，莊重，公平，聖潔自持；|zh
15|1|8|8|But opening his house freely to guests; a lover of what is good, serious-minded, upright, holy, self-controlled;|en
16|1|9|9|堅守所教真實的道理，就能將純正的教訓勸化人，又能把爭辯的人駁倒了。|zh
17|1|9|9|Keeping to the true word of the teaching, so that he may be able to give comfort by right teaching and overcome the arguments of the doubters.|en
18|1|10|10|因為有許多人不服約束，說虛空話欺哄人；那奉割禮的更是這樣。|zh
19|1|10|10|For there are men who are not ruled by law; foolish talkers, false teachers, specially those of the circumcision,|en
20|1|11|11|這些人的口總要堵住。他們因貪不義之財，將不該教導的教導人，敗壞人的全家。|zh
