|chapter|sec|no|content|lang
0|1|1|1|亞伯拉罕的後裔，大衛的子孫（後裔子孫原文都作兒子下同），耶穌基督的家譜：|zh
1|1|1|1|The book of the generations of Jesus Christ, the son of David, the son of Abraham.|en
2|1|2|2|亞伯拉罕生以撒；以撒生雅各；雅各生猶大和他的弟兄；|zh
3|1|2|2|The son of Abraham was Isaac; and the son of Isaac was Jacob; and the sons of Jacob were Judah and his brothers;|en
4|1|3|3|猶大從他瑪氏生法勒斯和謝拉；法勒斯生希斯崙；希斯崙生亞蘭；|zh
5|1|3|3|And the sons of Judah were Perez and Zerah by Tamar; and the son of Perez was Hezron; and the son of Hezron was Ram;|en
6|1|4|4|亞蘭生亞米拿達；亞米拿達生拿順；拿順生撒門；|zh
7|1|4|4|And the son of Ram was Amminadab; and the son of Amminadab was Nahshon; and the son of Nahshon was Salmon;|en
8|1|5|5|撒門從喇合氏生波阿斯；波阿斯從路得氏生俄備得；俄備得生耶西；|zh
9|1|5|5|And the son of Salmon by Rahab was Boaz; and the son of Boaz by Ruth was Obed; and the son of Obed was Jesse;|en
10|1|6|6|耶西生大衛王。大衛從烏利亞的妻子生所羅門；|zh
11|1|6|6|And the son of Jesse was David the king; and the son of David was Solomon by her who had been the wife of Uriah;|en
12|1|7|7|所羅門生羅波安；羅波安生亞比雅；亞比雅生亞撒；|zh
13|1|7|7|And the son of Solomon was Rehoboam; and the son of Rehoboam was Abijah; and the son of Abijah was Asa;|en
14|1|8|8|亞撒生約沙法；約沙法生約蘭；約蘭生烏西亞；|zh
15|1|8|8|And the son of Asa was Jehoshaphat; and the son of Jehoshaphat was Joram; and the son of Joram was Uzziah;|en
16|1|9|9|烏西亞生約坦；約坦生亞哈斯；亞哈斯生希西家；|zh
17|1|9|9|And the son of Uzziah was Jotham; and the son of Jotham was Ahaz; and the son of Ahaz was Hezekiah;|en
18|1|10|10|希西家生瑪拿西；瑪拿西生亞們；亞們生約西亞；|zh
19|1|10|10|And the son of Hezekiah was Manasseh; and the son of Manasseh was Amon; and the son of Amon was Josiah;|en
20|1|11|11|百姓被遷到巴比倫的時候，約西亞生耶哥尼雅和他的弟兄。|zh
21|1|11|11|And the sons of Josiah were Jechoniah and his brothers, at the time of the taking away to Babylon.|en
22|1|12|12|遷到巴比倫之後，耶哥尼雅生撒拉鐵；撒拉鐵生所羅巴伯；|zh
23|1|12|12|And after the taking away to Babylon, Jechoniah had a son Shealtiel; and Shealtiel had Zerubbabel;|en
24|1|13|13|所羅巴伯生亞比玉；亞比玉生以利亞敬；以利亞敬生亞所；|zh
25|1|13|13|And Zerubbabel had Abiud; and Abiud had Eliakim; and Eliakim had Azor;|en
26|1|14|14|亞所生撒督；撒督生亞金；亞金生以律；|zh
27|1|14|14|And Azor had Zadok; and Zadok had Achim; and Achim had Eliud;|en
28|1|15|15|以律生以利亞撒；以利亞撒生馬但；馬但生雅各；|zh
29|1|15|15|And Eliud had Eleazar; and Eleazar had Matthan; and Matthan had Jacob;|en
30|1|16|16|雅各生約瑟，就是馬利亞的丈夫。那稱為基督的耶穌是從馬利亞生的。|zh
31|1|16|16|And the son of Jacob was Joseph the husband of Mary, who gave birth to Jesus, whose name is Christ.|en
32|1|17|17|這樣，從亞伯拉罕到大衛共有十四代；從大衛到遷至巴比倫的時候也有十四代；從遷至巴比倫的時候到基督又有十四代。|zh
33|1|17|17|So all the generations from Abraham to David are fourteen generations; and from David to the taking away to Babylon, fourteen generations; and from the taking away to Babylon to the coming of Christ, fourteen generations.|en
34|1|18|18|耶穌基督降生的事記在下面：他母親馬利亞已經許配了約瑟，還沒有迎娶，馬利亞就從聖靈懷了孕。|zh
