|chapter|sec|no|content|lang
0|1|1|1|哈迦利亞的兒子尼希米的言語如下：亞達薛西王二十年基斯流月，我在書珊城的宮中。|zh
1|1|1|1|The history of Nehemiah, the son of Hacaliah. Now it came about, in the month Chislev, in the twentieth year, when I was in Shushan, the king's town,|en
2|1|2|2|那時，有我一個弟兄哈拿尼，同著幾個人從猶大來。我問他們那些被擄歸回、剩下逃脫的猶大人和耶路撒冷的光景。|zh
3|1|2|2|That Hanani, one of my brothers, came with certain men from Judah; and in answer to my request for news of the Jews who had been prisoners and had got away, and of Jerusalem,|en
4|1|3|3|他們對我說：那些被擄歸回剩下的人在猶大省遭大難，受凌辱；並且耶路撒冷的城牆拆毀，城門被火焚燒。|zh
5|1|3|3|They said to me, The small band of Jews now living there in the land are in great trouble and shame: the wall of Jerusalem has been broken down, and its doorways burned with fire.|en
6|1|4|4|我聽見這話，就坐下哭泣，悲哀幾日，在天上的神面前禁食祈禱，說：|zh
7|1|4|4|Then, after hearing these words, for some days I gave myself up to weeping and sorrow, seated on the earth; and taking no food I made prayer to the God of heaven,|en
8|1|5|5|耶和華─天上的神，大而可畏的神啊，你向愛你、守你誡命的人守約施慈愛。|zh
9|1|5|5|And said, O Lord, the God of heaven, the great God, greatly to be feared, keeping faith and mercy with those who have love for him and are true to his laws:|en
10|1|6|6|願你睜眼看，側耳聽，你僕人晝夜在你面前為你眾僕人以色列民的祈禱，承認我們以色列人向你所犯的罪；我與我父家都有罪了。|zh
11|1|6|6|Let your ear now take note and let your eyes be open, so that you may give ear to the prayer of your servant, which I make before you at this time, day and night, for the children of Israel, your servants, while I put before you the sins of the children of Israel, which we have done against you: truly, I and my father's people are sinners.|en
12|1|7|7|我們向你所行的甚是邪惡，沒有遵守你藉著僕人摩西所吩咐的誡命、律例、典章。|zh
13|1|7|7|We have done great wrong against you, and have not kept the orders, the rules, and the decisions, which you gave to your servant Moses.|en
14|1|8|8|求你記念所吩咐你僕人摩西的話，說：你們若犯罪，我就把你們分散在萬民中；|zh
15|1|8|8|Keep in mind, O Lord, the order you gave your servant Moses, saying, If you do wrong I will send you wandering among the peoples:|en
16|1|9|9|但你們若歸向我，謹守遵行我的誡命，你們被趕散的人雖在天涯，我也必從那裡將他們招聚回來，帶到我所選擇立為我名的居所。|zh
17|1|9|9|But if you come back to me and keep my orders and do them, even if those of you who have been forced out are living in the farthest parts of heaven, I will get them from there, and take them back to the place marked out by me for the resting-place of my name.|en
18|1|10|10|這都是你的僕人、你的百姓，就是你用大力和大能的手所救贖的。|zh
19|1|10|10|Now these are your servants and your people, whom you have made yours by your great power and by your strong hand.|en
20|1|11|11|主啊，求你側耳聽你僕人的祈禱，和喜愛敬畏你名眾僕人的祈禱，使你僕人現今亨通，在王面前蒙恩。我是作王酒政的。|zh
21|1|11|11|O Lord, let your ear take note of the prayer of your servant, and of the prayers of your servants, who take delight in worshipping your name: give help, O Lord, to your servant this day, and let him have mercy in the eyes of this man. (Now I was the king's wine-servant.)|en
22|2|1|1|亞達薛西王二十年尼散月，在王面前擺酒，我拿起酒來奉給王。我素來在王面前沒有愁容。|zh
23|2|1|1|And it came about in the month Nisan, in the twentieth year of Artaxerxes the king, when wine was before him, that I took up the wine and gave it to the king. Now I had never before been sad when the king was present.|en
24|2|2|2|王對我說：你既沒有病，為甚麼面帶愁容呢？這不是別的，必是你心中愁煩。於是我甚懼怕。|zh
25|2|2|2|And the king said to me, Why is your face sad, seeing that you are not ill? this is nothing but sorrow of heart. Then I was full of fear;|en
26|2|3|3|我對王說：願王萬歲！我列祖墳墓所在的那城荒涼，城門被火焚燒，我豈能面無愁容麼？|zh
27|2|3|3|And said to the king, May the king be living for ever: is it not natural for my face to be sad, when the town, the place where the bodies of my fathers are at rest, has been made waste and its doorways burned with fire?|en
28|2|4|4|王問我說：你要求甚麼？於是我默禱天上的神。|zh
29|2|4|4|Then the king said to me, What is your desire? So I made prayer to the God of heaven.|en
30|2|5|5|我對王說：僕人若在王眼前蒙恩，王若喜歡，求王差遣我往猶大，到我列祖墳墓所在的那城去，我好重新建造。|zh
31|2|5|5|And I said to the king, If it is the king's pleasure, and if your servant has your approval, send me to Judah, to the town where the bodies of my fathers are at rest, so that I may take in hand the building of it.|en
32|2|6|6|那時王后坐在王的旁邊。王問我說：你去要多少日子？幾時回來？我就定了日期。於是王喜歡差遣我去。|zh
33|2|6|6|And the king said to me (the queen being seated by his side), How long will your journey take, and when will you come back? So the king was pleased to send me, and I gave him a fixed time.|en
34|2|7|7|我又對王說：王若喜歡，求王賜我詔書，通知大河西的省長准我經過，直到猶大；|zh
35|2|7|7|Further, I said to the king, If it is the king's pleasure, let letters be given to me for the rulers across the river, so that they may let me go through till I come to Judah;|en
36|2|8|8|又賜詔書，通知管理王園林的亞薩，使他給我木料，做屬殿營樓之門的橫梁和城牆，與我自己房屋使用的。王就允准我，因我神施恩的手幫助我。|zh
37|2|8|8|And a letter to Asaph, the keeper of the king's park, so that he may give me wood to make boards for the doors of the tower of the house, and for the wall of the town, and for the house which is to be mine. And the king gave me this, for the hand of my God was on me.|en
38|2|9|9|王派了軍長和馬兵護送我。我到了河西的省長那裡，將王的詔書交給他們。|zh
39|2|9|9|Then I came to the rulers of the lands across the river and gave them the king's letters. Now the king had sent with me captains of the army and horsemen.|en
40|2|10|10|和倫人參巴拉，並為奴的亞捫人多比雅，聽見有人來為以色列人求好處，就甚惱怒。|zh
41|2|10|10|And Sanballat the Horonite and Tobiah the servant, the Ammonite, hearing of it, were greatly troubled because a man had come to the help of the children of Israel.|en
42|2|11|11|我到了耶路撒冷，在那裡住了三日。|zh
43|2|11|11|So I came to Jerusalem and was there three days.|en
44|2|12|12|我夜間起來，有幾個人也一同起來；但神使我心裡要為耶路撒冷做甚麼事，我並沒有告訴人。除了我騎的牲口以外，也沒有別的牲口在我那裡。|zh
45|2|12|12|And in the night I got up, taking with me a small band of men; I said nothing to any man of what God had put into my heart to do for Jerusalem: and I had no beast with me but the one on which I was seated.|en
46|2|13|13|當夜我出了谷門，往野狗井去（野狗：或譯龍），到了糞廠門，察看耶路撒冷的城牆，見城牆拆毀，城門被火焚燒。|zh
