|chapter|sec|no|content|lang
0|1|1|1|保羅、西拉、提摩太寫信給帖撒羅尼迦在神我們的父與主耶穌基督裡的教會。|zh
1|1|1|1|Paul and Silvanus and Timothy, to the church of the Thessalonians in God our Father and the Lord Jesus Christ:|en
2|1|2|2|願恩惠、平安從父神和主耶穌基督歸與你們！|zh
3|1|2|2|Grace to you and peace from God the Father and the Lord Jesus Christ.|en
4|1|3|3|弟兄們，我們該為你們常常感謝神，這本是合宜的；因你們的信心格外增長，並且你們眾人彼此相愛的心也都充足。|zh
5|1|3|3|It is right for us to give praise to God at all times for you, brothers, because of the great increase of your faith, and the wealth of your love for one another;|en
6|1|4|4|甚至我們在神的各教會裡為你們誇口，都因你們在所受的一切逼迫患難中，仍舊存忍耐和信心。|zh
7|1|4|4|So that we ourselves take pride in you in the churches of God for your untroubled mind and your faith in all the troubles and sorrows which you are going through;|en
8|1|5|5|這正是神公義判斷的明證，叫你們可算配得神的國；你們就是為這國受苦。|zh
9|1|5|5|Which is a clear sign of the decision which God in his righteousness has made; to give you a part in his kingdom, for which you have undergone this pain;|en
10|1|6|6|神既是公義的，就必將患難報應那加患難給你們的人；|zh
11|1|6|6|For it is an act of righteousness on God's part to give trouble as their reward to those who are troubling you,|en
12|1|7|7|也必使你們這受患難的人與我們同得平安。那時，主耶穌同他有能力的天使從天上在火燄中顯現，|zh
13|1|7|7|And to you who are troubled, rest with us, when the Lord Jesus comes from heaven with the angels of his power in flames of fire,|en
14|1|8|8|要報應那不認識神和那不聽從我主耶穌福音的人。|zh
15|1|8|8|To give punishment to those who have no knowledge of God, and to those who do not give ear to the good news of our Lord Jesus:|en
16|1|9|9|他們要受刑罰，就是永遠沉淪，離開主的面和他權能的榮光。|zh
17|1|9|9|Whose reward will be eternal destruction from the face of the Lord and from the glory of his strength,|en
18|1|10|10|這正是主降臨、要在他聖徒的身上得榮耀，又在一切信的人身上顯為希奇的那日子。（我們對你們作的見證，你們也信了。）|zh
19|1|10|10|At his coming, when he will have glory in his saints, and will be a cause of wonder in all those who had faith (because our witness among you had effect) in that day.|en
20|1|11|11|因此，我們常為你們禱告，願我們的神看你們配得過所蒙的召，又用大能成就你們一切所羨慕的良善和一切因信心所做的工夫；|zh
21|1|11|11|For this reason, you are ever in our prayers, that you may seem to our God such as may have a part in his purpose and that by his power he will make all his good purpose, and the work of faith, complete;|en
22|1|12|12|叫我們主耶穌的名在你們身上得榮耀，你們也在他身上得榮耀，都照著我們的神並主耶穌基督的恩。|zh
23|1|12|12|So that glory may be given to the name of our Lord Jesus through you, and you may have glory in him, by the grace of our God and the Lord Jesus Christ.|en
24|2|1|1|弟兄們，論到我們主耶穌基督降臨和我們到他那裡聚集，|zh
25|2|1|1|Now as to the coming of the Lord Jesus Christ, and our meeting with him, it is our desire, my brothers,|en
26|2|2|2|我勸你們：無論有靈、有言語、有冒我名的書信，說主的日子現在（或作：就）到了，不要輕易動心，也不要驚慌。|zh
27|2|2|2|That you may not be moved in mind or troubled by a spirit, or by a word, or by a letter as from us, with the suggestion that the day of the Lord is even now come;|en
28|2|3|3|人不拘用甚麼法子，你們總不要被他誘惑；因為那日子以前，必有離道反教的事，並有那大罪人，就是沉淪之子，顯露出來。|zh
29|2|3|3|Give no belief to false words: because there will first be a falling away from the faith, and the revelation of the man of sin, the son of destruction,|en
30|2|4|4|他是抵擋主，高抬自己，超過一切稱為神的和一切受人敬拜的，甚至坐在神的殿裡，自稱是神。|zh
31|2|4|4|Who puts himself against all authority, lifting himself up over all which is named God or is given worship; so that he takes his seat in the Temple of God, putting himself forward as God.|en
32|2|5|5|我還在你們那裡的時候，曾把這些事告訴你們，你們不記得麼？|zh
33|2|5|5|Have you no memory of what I said when I was with you, giving you word of these things?|en
34|2|6|6|現在你們也知道，那攔阻他的是甚麼，是叫他到了的時候才可以顯露。|zh
35|2|6|6|And now it is clear to you what is keeping back his revelation till the time comes for him to be seen.|en
36|2|7|7|因為那不法的隱意已經發動，只是現在有一個攔阻的，等到那攔阻的被除去，|zh
37|2|7|7|For the secret of evil is even now at work: but there is one who is keeping back the evil till he is taken out of the way.|en
38|2|8|8|那時這不法的人必顯露出來。主耶穌要用口中的氣滅絕他，用降臨的榮光廢掉他。|zh
39|2|8|8|And then will come the revelation of that evil one, whom the Lord Jesus will put to death with the breath of his mouth, and give to destruction by the revelation of his coming;|en
40|2|9|9|這不法的人來，是照撒但的運動，行各樣的異能、神蹟，和一切虛假的奇事，|zh
41|2|9|9|Even the one whose coming is marked by the working of Satan, with all power and signs and false wonders,|en
42|2|10|10|並且在那沉淪的人身上行各樣出於不義的詭詐；因他們不領受愛真理的心，使他們得救。|zh
43|2|10|10|And with every deceit of wrongdoing among those whose fate is destruction; because they were quite without that love of the true faith by which they might have salvation.|en
44|2|11|11|故此，神就給他們一個生發錯誤的心，叫他們信從虛謊，|zh
45|2|11|11|And for this cause, God will give them up to the power of deceit and they will put their faith in what is false:|en
46|2|12|12|使一切不信真理、倒喜愛不義的人都被定罪。|zh
47|2|12|12|So that they all may be judged, who had no faith in what is true, but took pleasure in evil.|en
48|2|13|13|主所愛的弟兄們哪，我們本該常為你們感謝神；因為他從起初揀選了你們，叫你們因信真道，又被聖靈感動，成為聖潔，能以得救。|zh
49|2|13|13|But it is right for us to give praise to God at all times for you, brothers, loved by the Lord, because it was the purpose of God from the first that you might have salvation, being made holy by the Spirit and by faith in what is true:|en
50|2|14|14|神藉我們所傳的福音召你們到這地步，好得著我們主耶穌基督的榮光。|zh
51|2|14|14|And in this purpose he gave you a part through the good news of which we were the preachers, even that you might have part in the glory of our Lord Jesus Christ.|en
52|2|15|15|所以，弟兄們，你們要站立得穩，凡所領受的教訓，不拘是我們口傳的，是信上寫的，都要堅守。|zh
53|2|15|15|So then, brothers, be strong in purpose, and keep the teaching which has been given to you by word or by letter from us.|en
54|2|16|16|但願我們主耶穌基督和那愛我們、開恩將永遠的安慰並美好的盼望賜給我們的父神，|zh
55|2|16|16|Now our Lord Jesus Christ himself, and God our Father who had love for us and has given us eternal comfort and good hope through grace,|en
56|2|17|17|安慰你們的心，並且在一切善行善言上堅固你們。|zh
57|2|17|17|Give you comfort and strength in every good work and word.|en
58|3|1|1|弟兄們，我還有話說：請你們為我們禱告，好叫主的道理快快行開，得著榮耀，正如在你們中間一樣。|zh
59|3|1|1|For the rest, my brothers, let there be prayer for us that the word of the Lord may go forward with increasing glory, even as it does with you;|en
60|3|2|2|也叫我們脫離無理之惡人的手，因為人不都是有信心。|zh
61|3|2|2|And that we may be made free from foolish and evil men; for not all have faith.|en
