|chapter|sec|no|content|lang
0|1|1|1|當猶大王約坦、亞哈斯、希西家在位的時候，摩利沙人彌迦得耶和華的默示，論撒瑪利亞和耶路撒冷。|zh
1|1|1|1|The word of the Lord which came to Micah the Morashtite, in the days of Jotham, Ahaz, and Hezekiah, kings of Judah: his vision about Samaria and Jerusalem.|en
2|1|2|2|萬民哪，你們都要聽！地和其上所有的，也都要側耳而聽！主耶和華從他的聖殿要見證你們的不是。|zh
3|1|2|2|Give ear, you peoples, all of you; give attention, O earth and everything in it: let the Lord God be witness against you, the Lord from his holy Temple.|en
4|1|3|3|看哪，耶和華出了他的居所，降臨步行地的高處。|zh
5|1|3|3|For see, the Lord is coming out from his place, and will come down, stepping on the high places of the earth.|en
6|1|4|4|眾山在他以下必消化，諸谷必崩裂，如蠟化在火中，如水沖下山坡。|zh
7|1|4|4|And the mountains will be turned to water under him, and the deep valleys will be broken open, like wax before the fire, like waters flowing down a slope.|en
8|1|5|5|這都因雅各的罪過，以色列家的罪惡。雅各的罪過在哪裡呢？豈不是在撒瑪利亞麼？猶大的邱壇在哪裡呢？豈不是在耶路撒冷麼？|zh
9|1|5|5|All this is because of the wrongdoing of Jacob and the sins of the children of Israel. What is the wrongdoing of Jacob? is it not Samaria? and what are the high places of Judah? are they not Jerusalem?|en
10|1|6|6|所以我必使撒瑪利亞變為田野的亂堆，又作為種葡萄之處；也必將她的石頭倒在谷中，露出根基來。|zh
11|1|6|6|So I will make Samaria into a field and the plantings of a vine-garden: I will send its stones falling down into the valley, uncovering its bases.|en
12|1|7|7|她一切雕刻的偶像必被打碎；她所得的財物必被火燒；所有的偶像我必毀滅；因為是從妓女雇價所聚來的，後必歸為妓女的雇價。|zh
13|1|7|7|And all her pictured images will be hammered into bits, and all the payments for her loose ways will be burned with fire, and all the images of her gods I will make waste: for with the price of a loose woman she got them together, and as the price of a loose woman will they be given back.|en
14|1|8|8|先知說：因此我必大聲哀號，赤腳露體而行；又要呼號如野狗，哀鳴如鴕鳥。|zh
15|1|8|8|For this I will be full of sorrow and give cries of grief; I will go uncovered and unclothed: I will give cries of grief like the jackals and will be in sorrow like the ostriches.|en
16|1|9|9|因為撒瑪利亞的傷痕無法醫治，延及猶大和耶路撒冷我民的城門。|zh
17|1|9|9|For her wounds may not be made well: for it has come even to Judah, stretching up to the doorway of my people, even to Jerusalem.|en
18|1|10|10|不要在迦特報告這事，總不要哭泣；我在伯亞弗拉滾於灰塵之中。|zh
19|1|10|10|Give no word of it in Gath, let there be no weeping at all: at Beth-le-aphrah be rolling in the dust.|en
20|1|11|11|沙斐的居民哪，你們要赤身蒙羞過去。撒南的居民不敢出來。伯以薛人的哀哭使你們無處可站。|zh
21|1|11|11|Be uncovered and go away, you who are living in Shaphir: the one living in Zaanan has not come out of her town; Beth-ezel is taken away from its base, even from its resting-place.|en
22|1|12|12|瑪律的居民心甚憂急，切望得好處，因為災禍從耶和華那裡臨到耶路撒冷的城門。|zh
23|1|12|12|For the one living in Maroth is waiting for good: for evil has come down from the Lord to the doorways of Jerusalem.|en
24|1|13|13|拉吉的居民哪，要用快馬套車；錫安民（原文是女子）的罪由你而起；以色列人的罪過在你那裡顯出。|zh
25|1|13|13|Let the war-carriage be yoked to the quick-running horse, you who are living in Lachish: she was the first cause of sin to the daughter of Zion; for the wrongdoings of Israel were seen in you.|en
26|1|14|14|猶大啊，你要將禮物送給摩利設迦特。亞革悉的眾族必用詭詐待以色列諸王。|zh
27|1|14|14|For this cause give a parting offering to Moresheth-gath: the daughter of Achzib will be a deceit to the king of Israel.|en
28|1|15|15|瑪利沙的居民哪，我必使那奪取你的來到你這裡；以色列的尊貴人（原文是榮耀）必到亞杜蘭。|zh
29|1|15|15|Even now will the taker of your heritage come to you, you who are living in Mareshah: the glory of Israel will come to destruction for ever.|en
30|1|16|16|猶大啊，要為你所喜愛的兒女剪除你的頭髮，使頭光禿，要大大地光禿，如同禿鷹，因為他們都被擄去離開你。|zh
31|1|16|16|Let your head be uncovered and your hair cut off in sorrow for the children of your delight: let the hair be pulled from your head like an eagle's; for they have been taken away from you as prisoners.|en
32|2|1|1|禍哉，那些在床上圖謀罪孽、造作奸惡的！天一發亮，因手有能力就行出來了。|zh
33|2|1|1|A curse on the designers of evil, working on their beds! in the morning light they do it, because it is in their power.|en
34|2|2|2|他們貪圖田地就佔據，貪圖房屋便奪取；他們欺壓人，霸佔房屋和產業。|zh
35|2|2|2|They have a desire for fields and take them by force; and for houses and take them away: they are cruel to a man and his family, even to a man and his heritage.|en
36|2|3|3|所以耶和華如此說：我籌劃災禍降與這族；這禍在你們的頸項上不能解脫；你們也不能昂首而行，因為這時勢是惡的。|zh
37|2|3|3|For this cause the Lord has said, See, against this family I am purposing an evil from which you will not be able to take your necks away, and you will be weighted down by it; for it is an evil time.|en
38|2|4|4|到那日，必有人向你們提起悲慘的哀歌，譏刺說：我們全然敗落了！耶和華將我們的分轉歸別人，何竟使這分離開我們？他將我們的田地分給悖逆的人。|zh
39|2|4|4|In that day this saying will be said about you, and this song of grief will be made: The heritage of my people is measured out, and there is no one to give it back; those who have made us prisoners have taken our fields from us, and complete destruction has come to us.|en
40|2|5|5|所以在耶和華的會中，你必沒有人拈鬮拉準繩。|zh
41|2|5|5|For this cause you will have no one to make the decision by the measuring line in the meeting of the Lord.|en
42|2|6|6|他們（或譯：假先知）說：你們不可說預言；不可向這些人說預言，不住地羞辱我們。|zh
43|2|6|6|Let not words like these be dropped, they say: Shame and the curse will not come to the family of Jacob!|en
44|2|7|7|雅各家啊，豈可說耶和華的心不忍耐麼（或譯：心腸狹窄麼）？這些事是他所行的麼？我─耶和華的言語豈不是與行動正直的人有益麼？|zh
45|2|7|7|Is the Lord quickly made angry? are these his doings? do not his words do good to his people Israel?|en
46|2|8|8|然而，近來我的民興起如仇敵，從那些安然經過不願打仗之人身上剝去外衣。|zh
47|2|8|8|As for you, you have become haters of those who were at peace with you: you take the clothing of those who go by without fear, and make them prisoners of war.|en
48|2|9|9|你們將我民中的婦人從安樂家中趕出，又將我的榮耀從她們的小孩子盡行奪去。|zh
49|2|9|9|The women of my people you have been driving away from their dearly loved children; from their young ones you are taking my glory for ever.|en
50|2|10|10|你們起來去罷！這不是你們安息之所；因為污穢使人（或譯：地）毀滅，而且大大毀滅。|zh
51|2|10|10|Up! and go; for this is not your rest: because it has been made unclean, the destruction ordered will come on you.|en
52|2|11|11|若有人心存虛假，用謊言說：我要向你們預言得清酒和濃酒。那人就必作這民的先知。|zh
53|2|11|11|If a man came with a false spirit of deceit, saying, I will be a prophet to you of wine and strong drink: he would be the sort of prophet for this people.|en
54|2|12|12|雅各家啊，我必要聚集你們，必要招聚以色列剩下的人，安置在一處，如波斯拉的羊，又如草場上的羊群；因為人數眾多就必大大喧嘩。|zh
55|2|12|12|I will certainly make all of you, O Jacob, come together; I will get together the rest of Israel; I will put them together like the sheep in their circle: like a flock in their green field; they will be full of the noise of men.|en
56|2|13|13|開路的（或譯：破城的）在他們前面上去；他們直闖過城門，從城門出去。他們的王在前面行；耶和華引導他們。|zh
57|2|13|13|The opener of the way will go up before them: forcing their way out they will go on to the doorway and out through it: their king will go on before them, and the Lord at their head.|en
58|3|1|1|我說：雅各的首領，以色列家的官長啊，你們要聽！你們不當知道公平麼？|zh
59|3|1|1|And I said, Give ear, now, you heads of Jacob and rulers of the people of Israel: is it not for you to have knowledge of what is right?|en
60|3|2|2|你們惡善好惡，從人身上剝皮，從人骨頭上剔肉，|zh
61|3|2|2|You who are haters of good and lovers of evil, pulling off their skin from them and their flesh from their bones;|en
62|3|3|3|吃我民的肉，剝他們的皮，打折他們的骨頭，分成塊子像要下鍋，又像釜中的肉。|zh
63|3|3|3|Like meat they take the flesh of my people for their food, skinning them and crushing their bones, yes, cutting them up as if for the pot, like flesh inside the cooking-pot.|en
64|3|4|4|到了遭災的時候，這些人必哀求耶和華，他卻不應允他們。那時他必照他們所行的惡事向他們掩面。|zh
65|3|4|4|Then they will be crying to the Lord for help, but he will not give them an answer: yes, he will keep his face veiled from them at that time, because their acts have been evil.|en
66|3|5|5|論到使我民走差路的先知─他們牙齒有所嚼的，他們就呼喊說：平安了！凡不供給他們吃的，他們就預備攻擊他（預備攻擊他：或譯說必遭遇刀兵）─耶和華如此說：|zh
67|3|5|5|This is what the Lord has said about the prophets by whom my people have been turned from the right way; who, biting with their teeth, say, Peace; and if anyone puts nothing in their mouths they make ready for war against him.|en
68|3|6|6|你們必遭遇黑夜，以致不見異象；又必遭遇幽暗，以致不能占卜。日頭必向你們沉落，白晝變為黑暗。|zh
69|3|6|6|For this cause it will be night for you, without a vision; and it will be dark for you, without knowledge of the future; the sun will go down over the prophets, and the day will be black over them.|en
70|3|7|7|先見必抱愧，占卜的必蒙羞，都必摀著嘴唇，因為神不應允他們。|zh
71|3|7|7|And the seers will be shamed, and the readers of the future will be at a loss, all of them covering their lips; for there is no answer from God.|en
72|3|8|8|至於我，我藉耶和華的靈，滿有力量、公平、才能，可以向雅各說明他的過犯，向以色列指出他的罪惡。|zh
73|3|8|8|But I truly am full of the spirit of the Lord, with power of judging and with strength to make clear to Jacob his wrongdoing and to Israel his sin.|en
74|3|9|9|雅各家的首領、以色列家的官長啊，當聽我的話！你們厭惡公平，在一切事上屈枉正直；|zh
75|3|9|9|Then give ear to this, you heads of the children of Jacob, you rulers of the children of Israel, hating what is right, twisting what is straight.|en
76|3|10|10|以人血建立錫安，以罪孽建造耶路撒冷。|zh
77|3|10|10|They are building up Zion with blood, and Jerusalem with evil-doing.|en
78|3|11|11|首領為賄賂行審判；祭司為雇價施訓誨；先知為銀錢行占卜。他們卻倚賴耶和華，說：耶和華不是在我們中間麼？災禍必不臨到我們。|zh
79|3|11|11|Its heads take rewards for judging, and the priests take payment for teaching, and the prophets get silver for reading the future: but still, supporting themselves on the Lord, they say, Is not the Lord among us? no evil will overtake us.|en
80|3|12|12|所以因你們的緣故，錫安必被耕種像一塊田，耶路撒冷必變為亂堆；這殿的山必像叢林的高處。|zh
81|3|12|12|For this reason, Zion will be ploughed like a field because of you, and Jerusalem will become a mass of broken walls, and the mountain of the house like a high place in the woods.|en
82|4|1|1|末後的日子，耶和華殿的山必堅立，超乎諸山，高舉過於萬嶺；萬民都要流歸這山。|zh
83|4|1|1|But in the last days it will come about that the mountain of the Lord's house will be placed on the top of the mountains, and be lifted up over the hills; and peoples will be flowing to it.|en
84|4|2|2|必有許多國的民前往，說：來吧，我們登耶和華的山，奔雅各神的殿。主必將他的道教訓我們；我們也要行他的路。因為訓誨必出於錫安；耶和華的言語必出於耶路撒冷。|zh
85|4|2|2|And a number of nations will go and say, Come, and let us go up to the mountain of the Lord, and to the house of the God of Jacob; and he will give us knowledge of his ways and we will be guided by his word: for from Zion the law will go out, and the word of the Lord from Jerusalem.|en
86|4|3|3|他必在多國的民中施行審判，為遠方強盛的國斷定是非。他們要將刀打成犁頭，把槍打成鐮刀。這國不舉刀攻擊那國；他們也不再學習戰事。|zh
87|4|3|3|And he will be judge between great peoples, and strong nations far away will be ruled by his decisions; their swords will be hammered into plough-blades and their spears into vine-knives: nations will no longer be lifting up their swords against one another, and knowledge of war will have gone for ever.|en
88|4|4|4|人人都要坐在自己葡萄樹下和無花果樹下，無人驚嚇。這是萬軍之耶和華親口說的。|zh
89|4|4|4|But every man will be seated under his vine and under his fig-tree, and no one will be a cause of fear to them: for the mouth of the Lord of armies has said it.|en
90|4|5|5|萬民各奉己神的名而行；我們卻永永遠遠奉耶和華─我們　神的名而行。|zh
91|4|5|5|For all the peoples will be walking, every one in the name of his god, and we will be walking in the name of the Lord our God for ever and ever.|en
92|4|6|6|耶和華說：到那日，我必聚集瘸腿的，招聚被趕出的和我所懲治的。|zh
93|4|6|6|In that day, says the Lord, I will get together her who goes with uncertain steps, I will get together her who has been sent away, and her on whom I have sent evil;|en
94|4|7|7|我必使瘸腿的為餘剩之民，使趕到遠方的為強盛之民。耶和華要在錫安山作王治理他們，從今直到永遠。|zh
95|4|7|7|And I will make her whose steps were uncertain a small band, and her who was feeble a strong nation: and the Lord will be their King in Mount Zion from now and for ever.|en
96|4|8|8|你這羊群的高臺、錫安城（原文是女子）的山哪，，從前的權柄─就是耶路撒冷民（原文是女子）的國權─必歸與你。|zh
97|4|8|8|And you, O tower of the flock, Ophel of the daughter of Zion, to you it will come, even the earlier authority, the kingdom of the daughter of Jerusalem.|en
98|4|9|9|現在你為何大聲哭號呢？疼痛抓住你彷彿產難的婦人，是因你中間沒有君王麼？你的謀士滅亡了麼？|zh
99|4|9|9|Now why are you crying so loudly? is there no king in you? has destruction come on your wise helper? so that pains have taken you like the pains of a woman in childbirth:|en
100|4|10|10|錫安的民（原文是女子）哪，你要疼痛劬勞，彷彿產難的婦人；因為你必從城裡出來，住在田野，到巴比倫去。在那裡要蒙解救；在那裡耶和華必救贖你脫離仇敵的手。|zh
101|4|10|10|Be in pain, make sounds of grief, O daughter of Zion, like a woman in childbirth: for now you will go out of the town, living in the open country, and will come even to Babylon; there you will have salvation; there the Lord will make you free from the hands of your haters.|en
102|4|11|11|現在有許多國的民聚集攻擊你，說：願錫安被玷污！願我們親眼見他遭報！|zh
103|4|11|11|And now a number of nations have come together against you, and they say, Let her be made unclean and let our eyes see the fate of Zion.|en
104|4|12|12|他們卻不知道耶和華的意念，也不明白他的籌劃。他聚集他們，好像把禾捆聚到禾場一樣。|zh
105|4|12|12|But they have no knowledge of the thoughts of the Lord, their minds are not able to see his purpose: for he has got them together like stems of grain to the crushing-floor.|en
106|4|13|13|錫安的民（原文作女子）哪，起來踹穀罷！我必使你的角成為鐵，使你的蹄成為銅。你必打碎多國的民，將他們的財獻與耶和華，將他們的貨獻與普天下的主。|zh
107|4|13|13|Up! and let the grain be crushed, O daughter of Zion, for I will make your horn iron and your feet brass, and a number of peoples will be broken by you, and you will give up their increase to the Lord and their wealth to the Lord of all the earth.|en
108|5|1|1|成群的民（原文是女子）哪，現在你要聚集成隊；因為仇敵圍攻我們，要用杖擊打以色列審判者的臉。|zh
109|5|1|1|Now you will give yourselves deep wounds for grief; they will put up a wall round us: they will give the judge of Israel a blow on the face with a rod.|en
110|5|2|2|伯利恆、以法他啊，你在猶大諸城中為小，將來必有一位從你那裡出來，在以色列中為我作掌權的；他的根源從亙古，從太初就有。|zh
111|5|2|2|And you, Beth-lehem Ephrathah, the least among the families of Judah, out of you one will come to me who is to be ruler in Israel; whose going out has been purposed from time past, from the eternal days.|en
112|5|3|3|耶和華必將以色列人交付敵人，直等那生產的婦人生下子來。那時掌權者（原文是他）其餘的弟兄必歸到以色列人那裡。|zh
113|5|3|3|For this cause he will give them up till the time when she who is with child has given birth: then the rest of his brothers will come back to the children of Israel.|en
114|5|4|4|他必起來，倚靠耶和華的大能，並耶和華─他神之名的威嚴，牧養他的羊群。他們要安然居住；因為他必日見尊大，直到地極。|zh
115|5|4|4|And he will take his place and give food to his flock in the strength of the Lord, in the glory of the name of the Lord his God; and their resting-place will be safe: for now he will be great to the ends of the earth.|en
116|5|5|5|這位必作我們的平安。當亞述人進入我們的地境，踐踏宮殿的時候，我們就立起七個牧者，八個首領攻擊他。|zh
117|5|5|5|And this will be our peace: when the Assyrian comes into our country and his feet are in our land, then we will put up against him seven keepers of the flocks and eight chiefs among men.|en
118|5|6|6|他們必用刀劍毀壞亞述地和寧錄地的關口。亞述人進入我們的地境踐踏的時候，他必拯救我們。|zh
119|5|6|6|And they will make waste the land of Assyria with the sword, and the land of Nimrod with the edge of the sword: he will give us salvation from the Assyrian when he comes into our country, when his feet come inside the limit of our land.|en
120|5|7|7|雅各餘剩的人必在多國的民中，如從耶和華那裡降下的露水，又如甘霖降在草上；不仗賴人力，也不等候世人之功。|zh
121|5|7|7|And the rest of Jacob will be among the mass of peoples like dew from the Lord, like showers on the grass, which may not be kept back by man, or be waiting for the sons of men.|en
122|5|8|8|雅各餘剩的人必在多國多民中，如林間百獸中的獅子，又如少壯獅子在羊群中。他若經過就必踐踏撕裂，無人搭救。|zh
123|5|8|8|And the rest of Jacob will be among the nations, in the middle of the mass of peoples, like a lion among the beasts of the woods, like a young lion among the flocks of sheep: if he goes through, they will be crushed under foot and pulled to bits, and there will be no saviour.|en
124|5|9|9|願你的手舉起，高過敵人！願你的仇敵都被剪除！|zh
125|5|9|9|Your hand is lifted up against those who are against you, and all your haters will be cut off.|en
126|5|10|10|耶和華說：到那日，我必從你中間剪除馬匹，毀壞車輛，|zh
127|5|10|10|And it will come about in that day, says the Lord, that I will take away your horses from you, and will give your war-carriages to destruction:|en
128|5|11|11|也必從你國中除滅城邑，拆毀一切的保障，|zh
129|5|11|11|I will have the towns of your land cut off and all your strong places pulled down:|en
130|5|12|12|又必除掉你手中的邪術；你那裡也不再有占卜的。|zh
131|5|12|12|I will put an end to your use of secret arts, and you will have no more readers of signs:|en
132|5|13|13|我必從你中間除滅雕刻的偶像和柱像，你就不再跪拜自己手所造的。|zh
133|5|13|13|And I will have your images and your pillars cut off from you; and you will no longer give worship to the work of your hands.|en
134|5|14|14|我必從你中間拔出木偶，又毀滅你的城邑。|zh
135|5|14|14|I will have your Asherahs pulled up from among you: and I will send destruction on your images.|en
136|5|15|15|我也必在怒氣和忿怒中向那不聽從的列國施報。|zh
137|5|15|15|And my punishment will be effected on the nations with such burning wrath as they have not had word of.|en
138|6|1|1|以色列人哪，當聽耶和華的話！要起來向山嶺爭辯，使岡陵聽你的話。|zh
139|6|1|1|Give ear now to the words of the Lord: Up! put forward your cause before the mountains, let your voice be sounding among the hills.|en
140|6|2|2|山嶺和地永久的根基啊，要聽耶和華爭辯的話！因為耶和華要與他的百姓爭辯，與以色列爭論。|zh
