|chapter|sec|no|content|lang
0|1|1|1|作耶穌基督僕人和使徒的西門。彼得寫信給那因我們的神和（有古卷沒有和字）救主耶穌基督之義，與我們同得一樣寶貴信心的人。|zh
1|1|1|1|Simon Peter, a servant and Apostle of Jesus Christ, to those who with us have a part in the same holy faith in the righteousness of our God and Saviour Jesus Christ:|en
2|1|2|2|願恩惠、平安，因你們認識神和我們主耶穌，多多的加給你們。|zh
3|1|2|2|May grace and peace ever be increasing in you, in the knowledge of God and of Jesus our Lord;|en
4|1|3|3|神的神能已將一切關乎生命和虔敬的事賜給我們，皆因我們認識那用自己榮耀和美德召我們的主。|zh
5|1|3|3|Because by his power he has given us everything necessary for life and righteousness, through the knowledge of him who has been our guide by his glory and virtue;|en
6|1|4|4|因此，他已將又寶貴又極大的應許賜給我們，叫我們既脫離世上從情慾來的敗壞，就得與神的性情有分。|zh
7|1|4|4|And through this he has given us the hope of great rewards highly to be valued; so that by them we might have our part in God's being, and be made free from the destruction which is in the world through the desires of the flesh.|en
8|1|5|5|正因這緣故，你們要分外地殷勤；有了信心，又要加上德行；有了德行，又要加上知識；|zh
9|1|5|5|So, for this very cause, take every care; joining virtue to faith, and knowledge to virtue,|en
10|1|6|6|有了知識，又要加上節制；有了節制，又要加上忍耐；有了忍耐，又要加上虔敬；|zh
11|1|6|6|And self-control to knowledge, and a quiet mind to self-control, and fear of God to a quiet mind,|en
12|1|7|7|有了虔敬，又要加上愛弟兄的心；有了愛弟兄的心，又要加上愛眾人的心；|zh
13|1|7|7|And love of the brothers to fear of God, and to love of the brothers, love itself.|en
14|1|8|8|你們若充充足足的有這幾樣，就必使你們在認識我們的主耶穌基督上不至於閒懶不結果子了。|zh
15|1|8|8|For if you have these things in good measure, they will make you fertile and full of fruit in the knowledge of our Lord Jesus Christ.|en
16|1|9|9|人若沒有這幾樣，就是眼瞎，只看見近處的，忘了他舊日的罪已經得了潔淨。|zh
17|1|9|9|For the man who has not these things is blind, seeing only what is near, having no memory of how he was made clean from his old sins.|en
18|1|10|10|所以弟兄們，應當更加殷勤，使你們所蒙的恩召和揀選堅定不移。你們若行這幾樣，就永不失腳。|zh
19|1|10|10|For this reason, my brothers, take all the more care to make your selection and approval certain; for if you do these things you will never have a fall:|en
20|1|11|11|這樣，必叫你們豐豐富富的得以進入我們主─救主耶穌基督永遠的國。|zh
21|1|11|11|For so the way will be open to you into the eternal kingdom of our Lord and Saviour Jesus Christ.|en
22|1|12|12|你們雖然曉得這些事，並且在你們已有的真道上堅固，我卻要將這些事常常提醒你們。|zh
23|1|12|12|For this reason I will be ready at all times to keep your memory of these things awake, though you have the knowledge of them now and are well based in your present faith.|en
24|1|13|13|我以為應當趁我還在這帳棚的時候提醒你們，激發你們。|zh
25|1|13|13|And it seems right to me, as long as I am in this tent of flesh, to keep your minds awake by working on your memory;|en
26|1|14|14|因為知道我脫離這帳棚的時候快到了，正如我們主耶穌基督所指示我的。|zh
27|1|14|14|For I am conscious that in a short time I will have to put off this tent of flesh, as our Lord Jesus Christ has made clear to me.|en
28|1|15|15|並且，我要盡心竭力，使你們在我去世以後時常記念這些事。|zh
29|1|15|15|And I will take every care so that you may have a clear memory of these things after my death.|en
30|1|16|16|我們從前將我們主耶穌基督的大能和他降臨的事告訴你們，並不是隨從乖巧捏造的虛言，乃是親眼見過他的威榮。|zh
31|1|16|16|For when we gave you news of the power and the coming of our Lord Jesus Christ, our teaching was not based on stories put together by art, but we were eye-witnesses of his glory.|en
32|1|17|17|他從父神得尊貴榮耀的時候，從極大榮光之中有聲音出來，向他說：「這是我的愛子，我所喜悅的。」|zh
33|1|17|17|For God the Father gave him honour and glory, when such a voice came to him out of the great glory, saying, This is my dearly loved Son, with whom I am well pleased.|en
34|1|18|18|我們同他在聖山的時候，親自聽見這聲音從天上出來。|zh
35|1|18|18|And this voice came from heaven even to our ears, when we were with him on the holy mountain.|en
36|1|19|19|我們並有先知更確的預言，如同燈照在暗處。你們在這預言上留意，直等到天發亮，晨星在你們心裡出現的時候，才是好的。|zh
37|1|19|19|And so the words of the prophets are made more certain; and it is well for you to give attention to them as to a light shining in a dark place, till the dawn comes and the morning star is seen in your hearts;|en
38|1|20|20|第一要緊的，該知道經上所有的預言沒有可隨私意解說的；|zh
39|1|20|20|Being conscious in the first place that no man by himself may give a special sense to the words of the prophets.|en
40|1|21|21|因為預言從來沒有出於人意的，乃是人被聖靈感動，說出神的話來。|zh
