|chapter|sec|no|content|lang
0|1|1|1|提阿非羅阿，我已經作了前書，論到耶穌開頭一切所行所教訓的，|zh
1|1|1|1|I have given an earlier account, O Theophilus, of all the things which Jesus did, and of his teaching from the first,|en
2|1|2|2|直到他藉著聖靈吩咐所揀選的使徒，以後被接上升的日子為止。|zh
3|1|2|2|Till the day when he was taken up to heaven after he had given his orders, through the Holy Spirit, to the Apostles of whom he had made selection:|en
4|1|3|3|他受害之後，用許多的憑據將自己活活的顯給使徒看，四十天之久向他們顯現，講說神國的事。|zh
5|1|3|3|And to whom he gave clear and certain signs that he was living, after his death; for he was seen by them for forty days, and gave them teaching about the kingdom of God:|en
6|1|4|4|耶穌和他們聚集的時候，囑咐他們說：不要離開耶路撒冷，要等候父所應許的，就是你們聽見我說過的。|zh
7|1|4|4|And when they were all together, with him, he gave them orders not to go away from Jerusalem, but to keep there, waiting till the word of the Father was put into effect, of which, he said, I have given you knowledge:|en
8|1|5|5|約翰是用水施洗，但不多幾日，你們要受聖靈的洗。|zh
9|1|5|5|For the baptism of John was with water, but you will have baptism with the Holy Spirit, after a little time.|en
10|1|6|6|他們聚集的時候，問耶穌說：主阿，你復興以色列國就在這時候麼？|zh
11|1|6|6|So, when they were together, they said to him, Lord, will you at this time give back the kingdom to Israel?|en
12|1|7|7|耶穌對他們說：父憑著自己的權柄所定的時候、日期，不是你們可以知道的。|zh
13|1|7|7|And he said to them, It is not for you to have knowledge of the time and the order of events which the Father has kept in his control.|en
14|1|8|8|但聖靈降臨在你們身上，你們就必得著能力，並要在耶路撒冷、猶太全地，和撒瑪利亞，直到地極，作我的見證。|zh
15|1|8|8|But you will have power, when the Holy Spirit has come on you; and you will be my witnesses in Jerusalem and all Judaea and Samaria, and to the ends of the earth.|en
16|1|9|9|說了這話，他們正看的時候，他就被取上升，有一朵雲彩把他接去，便看不見他了。|zh
17|1|9|9|And when he had said these things, while they were looking, he was taken up, and went from their view into a cloud.|en
18|1|10|10|當他往上去，他們定睛望天的時候，忽然有兩個人身穿白衣，站在旁邊，說：|zh
19|1|10|10|And while they were looking up to heaven with great attention, two men came to them, in white clothing,|en
20|1|11|11|加利利人哪，你們為甚麼站著望天呢？這離開你們被接升天的耶穌，你們見他怎樣往天上去，他還要怎樣來。|zh
21|1|11|11|And said, O men of Galilee, why are you looking up into heaven? This Jesus, who was taken from you into heaven, will come again, in the same way as you saw him go into heaven.|en
22|1|12|12|有一座山，名叫橄欖山，離耶路撒冷不遠，約有安息日可走的路程。當下，門徒從那裡回耶路撒冷去，|zh
23|1|12|12|Then they went back to Jerusalem from the mountain named Olivet, which is near Jerusalem, a Sabbath day's journey away.|en
24|1|13|13|進了城，就上了所住的一間樓房；在那裡有彼得、約翰、雅各、安得烈、腓力、多馬、巴多羅買、馬太、亞勒腓的兒子雅各、奮銳黨的西門，和雅各的兒子（或作：兄弟）猶大。|zh
25|1|13|13|And when they came in, they went up into the room where they were living; Peter and John and James and Andrew, Philip and Thomas, Bartholomew and Matthew, James, the son of Alphaeus, and Simon the Zealot, and Judas, the son of James.|en
26|1|14|14|這些人同著幾個婦人和耶穌的母親馬利亞，並耶穌的弟兄，都同心合意的恆切禱告。|zh
27|1|14|14|And they all with one mind gave themselves up to prayer, with the women, and Mary the mother of Jesus, and his brothers.|en
28|1|15|15|那時，有許多人聚會，約有一百二十名，彼得就在弟兄中間站起來，說：|zh
29|1|15|15|And in those days Peter got up among the brothers (there were about one hundred and twenty of them), and said,|en
30|1|16|16|弟兄們！聖靈藉大衛的口，在聖經上預言領人捉拿耶穌的猶大，這話是必須應驗的。|zh
31|1|16|16|My brothers, the word of God had to be put into effect, which the Holy Spirit had said before, by the mouth of David, about Judas, who was guide to those who took Jesus,|en
32|1|17|17|他本來列在我們數中，並且在使徒的職任上得了一分。|zh
33|1|17|17|For he was numbered among us, and had his part in our work.|en
34|1|18|18|這人用他作惡的工價買了一塊田，以後身子仆倒，肚腹崩裂，腸子都流出來。|zh
35|1|18|18|(Now this man, with the reward of his evil-doing, got for himself a field, and falling head first, came to a sudden and violent end there.|en
