|chapter|sec|no|content|lang
0|1|1|1|波斯王古列元年，耶和華為要應驗藉耶利米口所說的話，就激動波斯王古列的心，使他下詔通告全國說：|zh
1|1|1|1|Now in the first year of Cyrus, king of Persia, in order that the word of the Lord given by the mouth of Jeremiah might come true, the spirit of Cyrus, king of Persia, was moved by the Lord, so that he made a public statement through all his kingdom, and put it in writing, saying,|en
2|1|2|2|「波斯王古列如此說：『耶和華天上的神已將天下萬國賜給我，又囑咐我在猶大.的耶路撒冷為他建造殿宇。|zh
3|1|2|2|These are the words of Cyrus, king of Persia: The Lord God of heaven has given me all the kingdoms of the earth; and he has made me responsible for building a house for him in Jerusalem, which is in Judah.|en
4|1|3|3|在你們中間凡作他子民的，可以上猶大的耶路撒冷，在耶路撒冷重建耶和華─以色列神的殿（只有他是　神）。願　神與這人同在。|zh
5|1|3|3|Whoever there is among you of his people, may his God be with him, and let him go up to Jerusalem, which is in Judah, and take in hand the building of the house of the Lord, the God of Israel; he is the God who is in Jerusalem.|en
6|1|4|4|凡剩下的人，無論寄居何處，那地的人要用金銀、財物、牲畜幫助他，另外也要為耶路撒冷神的殿甘心獻上禮物。』」|zh
7|1|4|4|And whoever there may be of the rest of Israel, living in any place, let the men of that place give him help with offerings of silver and gold and goods and beasts, in addition to the offering freely given for the house of God in Jerusalem.|en
8|1|5|5|於是，猶大和便雅憫的族長、祭司、利未人，就是一切被神激動他心的人，都起來要上耶路撒冷去建造耶和華的殿。|zh
9|1|5|5|Then the heads of families of Judah and Benjamin, with the priests and the Levites, got ready, even all those whose spirits were moved by God to go up and take in hand the building of the Lord's house in Jerusalem.|en
10|1|6|6|他們四圍的人就拿銀器、金子、財物、牲畜、珍寶幫助他們（原文是堅固他們的手），另外還有甘心獻的禮物。|zh
11|1|6|6|And all their neighbours gave them help with offerings of vessels of silver and gold and goods and beasts and things of great value, in addition to what was freely offered.|en
12|1|7|7|古列王也將耶和華殿的器皿拿出來，這器皿是尼布甲尼撒從耶路撒冷掠來、放在自己神之廟中的。|zh
13|1|7|7|And Cyrus the king got out the vessels of the house of the Lord which Nebuchadnezzar had taken from Jerusalem and put in the house of his gods;|en
14|1|8|8|波斯王古列派庫官米提利達將這器皿拿出來，按數交給猶大的首領設巴薩。|zh
15|1|8|8|Even these Cyrus made Mithredath, the keeper of his wealth, get out, and he gave them, after numbering them, to Sheshbazzar, the ruler of Judah.|en
16|1|9|9|器皿的數目記在下面：金盤三十個，銀盤一千個，刀二十九把，|zh
17|1|9|9|And this is the number of them: there were thirty gold plates, a thousand silver plates, twenty-nine knives,|en
18|1|10|10|金碗三十個，銀碗之次的四百一十個，別樣的器皿一千件。|zh
19|1|10|10|Thirty gold basins, four hundred and ten silver basins, and a thousand other vessels.|en
20|1|11|11|金銀器皿共有五千四百件。被擄的人從巴比倫上耶路撒冷的時候，設巴薩將這一切都帶上來。|zh
21|1|11|11|There were five thousand, four hundred gold and silver vessels. All these were taken back by Sheshbazzar, when those who had been taken prisoner went up from Babylon to Jerusalem.|en
22|2|1|1|巴比倫王尼布甲尼撒從前擄到巴比倫之猶大省的人，現在他們的子孫從被擄到之地回耶路撒冷和猶大，各歸本城|zh
23|2|1|1|Now these are the people of the divisions of the kingdom, among those who had been made prisoners by Nebuchadnezzar, king of Babylon, and taken away to Babylon, who went back to Jerusalem and Judah, everyone to his town;|en
24|2|2|2|他們是同著所羅巴伯、耶書亞、尼希米、西萊雅、利來雅、末底改、必珊、米斯拔、比革瓦伊、利宏、巴拿回來的。|zh
25|2|2|2|Who went with Zerubbabel, Jeshua, Nehemiah, Seraiah, Reelaiah, Mordecai, Bilshan, Mispar, Bigvai, Rehum, Baanah, The number of the men of the people of Israel:|en
26|2|3|3|以色列人民的數目記在下面：巴錄的子孫二千一百七十二名；|zh
27|2|3|3|The children of Parosh, two thousand, one hundred and seventy-two.|en
28|2|4|4|示法提雅的子孫三百七十二名；|zh
29|2|4|4|The children of Shephatiah, three hundred and seventy-two.|en
30|2|5|5|亞拉的子孫七百七十五名；|zh
31|2|5|5|The children of Arah, seven hundred and seventy-five.|en
32|2|6|6|巴哈•摩押的後裔，就是耶書亞和約押的子孫二千八百一十二名；|zh
33|2|6|6|The children of Pahath-moab, of the children of Jeshua and Joab, two thousand, eight hundred and twelve.|en
34|2|7|7|以攔的子孫一千二百五十四名；|zh
35|2|7|7|The children of Elam, a thousand, two hundred and fifty-four.|en
36|2|8|8|薩土的子孫九百四十五名；|zh
37|2|8|8|The children of Zattu, nine hundred and forty-five.|en
38|2|9|9|薩改的子孫七百六十名；|zh
39|2|9|9|The children of Zaccai, seven hundred and sixty.|en
40|2|10|10|巴尼的子孫六百四十二名；|zh
41|2|10|10|The children of Bani, six hundred and forty-two.|en
42|2|11|11|比拜的子孫六百二十三名；|zh
43|2|11|11|The children of Bebai, six hundred and twenty-three.|en
44|2|12|12|押甲的子孫一千二百二十二名；|zh
45|2|12|12|The children of Azgad, a thousand, two hundred and twenty-two.|en
46|2|13|13|亞多尼干的子孫六百六十六名；|zh
47|2|13|13|The children of Adonikam, six hundred and sixty-six.|en
