|chapter|sec|no|content|lang
0|1|1|1|耶和華的話臨到亞米太的兒子約拿，說：|zh
1|1|1|1|And the word of the Lord came to Jonah, the son of Amittai, saying,|en
2|1|2|2|你起來往尼尼微大城去，向其中的居民呼喊，因為他們的惡達到我面前。|zh
3|1|2|2|Up! go to Nineveh, that great town, and let your voice come to it; for their evil-doing has come up before me.|en
4|1|3|3|約拿卻起來，逃往他施去躲避耶和華；下到約帕，遇見一隻船，要往他施去。他就給了船價，上了船，要與船上的人同往他施去躲避耶和華。|zh
5|1|3|3|And Jonah got up to go in flight to Tarshish, away from the Lord; and he went down to Joppa, and saw there a ship going to Tarshish: so he gave them the price of the journey and went down into it to go with them to Tarshish, away from the Lord.|en
6|1|4|4|然而耶和華使海中起大風，海就狂風大作，甚至船幾乎破壞。|zh
7|1|4|4|And the Lord sent out a great wind on to the sea and there was a violent storm in the sea, so that the ship seemed in danger of being broken.|en
8|1|5|5|水手便懼怕，各人哀求自己的神。他們將船上的貨物拋在海中，為要使船輕些。約拿已下到底艙，躺臥沉睡。|zh
9|1|5|5|Then the sailors were full of fear, every man crying to his god; and the goods in the ship were dropped out into the sea to make the weight less. But Jonah had gone down into the inmost part of the ship where he was stretched out in a deep sleep.|en
10|1|6|6|船主到他那裡對他說：你這沉睡的人哪，為何這樣呢？起來，求告你的神，或者　神顧念我們，使我們不致滅亡。|zh
11|1|6|6|And the ship's captain came to him and said to him, What are you doing sleeping? Up! say a prayer to your God, if by chance God will give a thought to us, so that we may not come to destruction.|en
12|1|7|7|船上的人彼此說：來吧，我們掣籤，看看這災臨到我們是因誰的緣故。於是他們掣籤，掣出約拿來。|zh
13|1|7|7|And they said to one another, Come, let us put this to the decision of chance and see on whose account this evil has come on us. So they did so, and Jonah was seen to be the man.|en
14|1|8|8|眾人對他說：請你告訴我們，這災臨到我們是因誰的緣故？你以何事為業？你從哪裡來？你是哪一國？屬哪一族的人？|zh
15|1|8|8|Then they said to him, Now make clear to us what is your work, and where you come from? what is your country, and who are your people?|en
16|1|9|9|他說：我是希伯來人。我敬畏耶和華─那創造滄海旱地之天上的神。|zh
17|1|9|9|And he said to them, I am a Hebrew, a worshipper of the Lord, the God of heaven, who made the sea and the dry land.|en
18|1|10|10|他們就大大懼怕，對他說：你做的是甚麼事呢？他們已經知道他躲避耶和華，因為他告訴了他們。|zh
19|1|10|10|And the men were in great fear, and they said to him, What is this you have done? For the men had knowledge of his flight from the Lord because he had not kept it from them.|en
20|1|11|11|他們問他說：我們當向你怎樣行，使海浪平靜呢？這話是因海浪越發翻騰。|zh
21|1|11|11|And they said to him, What are we to do to you so that the sea may become calm for us? For the sea was getting rougher and rougher.|en
22|1|12|12|他對他們說：你們將我抬起來，拋在海中，海就平靜了；我知道你們遭這大風是因我的緣故。|zh
23|1|12|12|And he said to them, Take me up and put me into the sea, and the sea will become calm for you: for I am certain that because of me this great storm has come on you.|en
24|1|13|13|然而那些人竭力盪槳，要把船攏岸，卻是不能，因為海浪越發向他們翻騰。|zh
25|1|13|13|And the men were working hard to get back to the land, but they were not able to do so: for the sea got rougher and rougher against them.|en
26|1|14|14|他們便求告耶和華說：耶和華啊，我們懇求你，不要因這人的性命使我們死亡，不要使流無辜血的罪歸與我們；因為你─耶和華是隨自己的意旨行事。|zh
27|1|14|14|So, crying to the Lord, they said, Give ear to our prayer, O Lord, give ear, and do not let destruction overtake us because of this man's life; do not put on us the sin of taking life without cause: for you, O Lord, have done what seemed good to you.|en
28|1|15|15|他們遂將約拿抬起，拋在海中，海的狂浪就平息了。|zh
29|1|15|15|So they took Jonah up and put him into the sea: and the sea was no longer angry.|en
30|1|16|16|那些人便大大敬畏耶和華，向耶和華獻祭，並且許願。|zh
31|1|16|16|Then great was the men's fear of the Lord; and they made an offering to the Lord and took oaths to him.|en
32|1|17|17|耶和華安排一條大魚吞了約拿，他在魚腹中三日三夜。|zh
33|1|17|17|And the Lord made ready a great fish to take Jonah into its mouth; and Jonah was inside the fish for three days and three nights.|en
34|2|1|1|約拿在魚腹中禱告耶和華─他的神，|zh
35|2|1|1|Then Jonah made prayer to the Lord his God from the inside of the fish, and said,|en
36|2|2|2|說：我遭遇患難求告耶和華，你就應允我；從陰間的深處呼求，你就俯聽我的聲音。|zh
37|2|2|2|In my trouble I was crying to the Lord, and he gave me an answer; out of the deepest underworld I sent up a cry, and you gave ear to my voice.|en
38|2|3|3|你將我投下深淵，就是海的深處；大水環繞我，你的波浪洪濤都漫過我身。|zh
39|2|3|3|For you have put me down into the deep, into the heart of the sea; and the river was round about me; all your waves and your rolling waters went over me.|en
40|2|4|4|我說：我從你眼前雖被驅逐，我仍要仰望你的聖殿。|zh
41|2|4|4|And I said, I have been sent away from before your eyes; how may I ever again see your holy Temple?|en
42|2|5|5|諸水環繞我，幾乎淹沒我；深淵圍住我；海草纏繞我的頭。|zh
43|2|5|5|The waters were circling round me, even to the neck; the deep was about me; the sea-grass was twisted round my head.|en
44|2|6|6|我下到山根，地的門將我永遠關住。耶和華─我的神啊，你卻將我的性命從坑中救出來。|zh
45|2|6|6|I went down to the bases of the mountains; as for the earth, her walls were about me for ever: but you have taken up my life from the underworld, O Lord my God.|en
46|2|7|7|我心在我裡面發昏的時候，我就想念耶和華。我的禱告進入你的聖殿，達到你的面前。|zh
47|2|7|7|When my soul in me was overcome, I kept the memory of the Lord: and my prayer came in to you, into your holy Temple.|en
48|2|8|8|那信奉虛無之神的人，離棄憐愛他們的主；|zh
49|2|8|8|The worshippers of false gods have given up their only hope.|en
50|2|9|9|但我必用感謝的聲音獻祭與你。我所許的願，我必償還。救恩出於耶和華。|zh
51|2|9|9|But I will make an offering to you with the voice of praise; I will give effect to my oaths. Salvation is the Lord's.|en
52|2|10|10|耶和華吩咐魚，魚就把約拿吐在旱地上。|zh
53|2|10|10|And at the Lord's order, the fish sent Jonah out of its mouth on to the dry land.|en
54|3|1|1|耶和華的話二次臨到約拿說：|zh
55|3|1|1|And the word of the Lord came to Jonah a second time, saying,|en
56|3|2|2|你起來！往尼尼微大城去，向其中的居民宣告我所吩咐你的話。|zh
57|3|2|2|Up! go to Nineveh, that great town, and give it the word which I have given you.|en
58|3|3|3|約拿便照耶和華的話起來，往尼尼微去。這尼尼微是極大的城，有三日的路程。|zh
59|3|3|3|So Jonah got up and went to Nineveh as the Lord had said. Now Nineveh was a very great town, three days' journey from end to end.|en
60|3|4|4|約拿進城走了一日，宣告說：再等四十日，尼尼微必傾覆了！|zh
61|3|4|4|And Jonah first of all went a day's journey into the town, and crying out said, In forty days destruction will overtake Nineveh.|en
62|3|5|5|尼尼微人信服神，便宣告禁食，從最大的到至小的都穿麻衣（或譯：披上麻布）。|zh
63|3|5|5|And the people of Nineveh had belief in God; and a time was fixed for going without food, and they put on haircloth, from the greatest to the least.|en
