|chapter|sec|no|content|lang
0|1|1|1|亞哈隨魯作王，從印度直到古實，統管一百二十七省。|zh
1|1|1|1|Now it came about in the days of Ahasuerus, (that Ahasuerus who was ruler of a hundred and twenty-seven divisions of the kingdom, from India as far as Ethiopia:)|en
2|1|2|2|亞哈隨魯王在書珊城的宮登基；|zh
3|1|2|2|That in those days, when King Ahasuerus was ruling in Shushan, his strong town,|en
4|1|3|3|在位第三年，為他一切首領臣僕設擺筵席，有波斯和瑪代的權貴，就是各省的貴冑與首領，在他面前。|zh
5|1|3|3|In the third year of his rule he gave a feast to all his captains and his servants; and the captains of the army of Persia and Media, the great men and the rulers of the divisions of his kingdom, were present before him;|en
6|1|4|4|他把他榮耀之國的豐富和他美好威嚴的尊貴給他們看了許多日，就是一百八十日。|zh
7|1|4|4|And for a long time, even a hundred and eighty days, he let them see all the wealth and the glory of his kingdom and the great power and honour which were his.|en
8|1|5|5|這日子滿了，又為所有住書珊城的大小人民在御園的院子裡設擺筵席七日。|zh
9|1|5|5|And at the end of that time, the king gave a feast for all the people who were present in Shushan, the king's town, small as well as great, for seven days, in the outer square of the garden of the king's house.|en
10|1|6|6|有白色、綠色、藍色的帳子，用細麻繩、紫色繩從銀環內繫在白玉石柱上；有金銀的床榻擺在紅、白、黃、黑玉石鋪的石地上。|zh
11|1|6|6|There were fair hangings of white and green and blue, fixed with cords of purple and the best linen to silver rings and pillars of polished stone: the seats were of gold and silver on a floor of red and white and yellow and black stone.|en
12|1|7|7|用金器皿賜酒，器皿各有不同。御酒甚多，足顯王的厚意。|zh
13|1|7|7|And they gave them drink in gold vessels, every vessel being different, and wine of the kingdom, freely given by the king.|en
14|1|8|8|喝酒有例，不准勉強人，因王吩咐宮裡的一切臣宰，讓人各隨己意。|zh
15|1|8|8|And the drinking was in keeping with the law; no one was forced: for the king had given orders to all the chief servants of his house to do as was pleasing to every man.|en
16|1|9|9|王后瓦實提在亞哈隨魯王的宮內也為婦女設擺筵席。|zh
17|1|9|9|And Vashti the queen gave a feast for the women in the house of King Ahasuerus.|en
18|1|10|10|第七日，亞哈隨魯王飲酒，心中快樂，就吩咐在他面前侍立的七個太監米戶幔、比斯他、哈波拿、比革他、亞拔他、西達、甲迦，|zh
19|1|10|10|On the seventh day, when the heart of the king was glad with wine, he gave orders to Mehuman, Biztha, Harbona, Bigtha, and Abagtha, Zethar, and Carcas, the seven unsexed servants who were waiting before Ahasuerus the king,|en
20|1|11|11|請王后瓦實提頭戴王后的冠冕到王面前，使各等臣民看他的美貌，因為他容貌甚美。|zh
21|1|11|11|That Vashti the queen was to come before him, crowned with her crown, and let the people and the captains see her: for she was very beautiful.|en
22|1|12|12|王后瓦實提卻不肯遵太監所傳的王命而來，所以王甚發怒，心如火燒。|zh
23|1|12|12|But when the servants gave her the king's order, Vashti the queen said she would not come: then the king was very angry, and his heart was burning with wrath.|en
24|1|13|13,14 |那時，在王左右常見王面、國中坐高位的，有波斯和瑪代的七個大臣，就是甲示拿、示達、押瑪他、他施斯、米力、瑪西拿、米母干，都是達時務的明哲人。按王的常規，辦事必先詢問知例明法的人。王問他們說：|zh
25|1|13|13|And the king said to the wise men, who had knowledge of the times, (for this was the king's way with all who were expert in law and in the giving of decisions:|en
26|1|14|14|And second only to him were Carshena, Shethar, Admatha, Tarshish, Meres, Marsena, and Memucan, the seven rulers of Persia and Media, who were friends of the king, and had the first places in the kingdom:)|en
27|1|15|15|「王后瓦實提不遵太監所傳的王命，照例應當怎樣辦理呢？」|zh
28|1|15|15|What is to be done by law to Vashti the queen, because she has not done what King Ahasuerus, by his servants, gave her orders to do?|en
29|1|16|16|米母干在王和眾首領面前回答說：王后瓦實提這事，不但得罪王，並且有害於王各省的臣民；|zh
30|1|16|16|And before the king and the captains, Memucan gave his answer: Vashti the queen has done wrong, not only to the king, but to all the captains and to all the peoples in all the divisions of the kingdom of King Ahasuerus;|en
