|chapter|sec|no|content|lang
0|1|1|1|大衛的兒子所羅門國位堅固；耶和華─他的神與他同在，使他甚為尊大。|zh
1|1|1|1|And Solomon, the son of David, made himself strong in his kingdom, and the Lord his God was with him, and made him very great.|en
2|1|2|2|所羅門吩咐以色列眾人，就是千夫長、百夫長、審判官、首領與族長都來。|zh
3|1|2|2|And Solomon sent word to all Israel, to the captains of thousands and of hundreds and to the judges and to every chief in all Israel, heads of their families.|en
4|1|3|3|所羅門和會眾都往基遍的邱壇去，因那裡有神的會幕，就是耶和華僕人摩西在曠野所製造的。|zh
5|1|3|3|Then Solomon, and all the men of Israel with him, went to the high place at Gibeon, because the Tent of meeting of God, which Moses, the servant of the Lord, had made in the waste land, was there.|en
6|1|4|4|只是神的約櫃，大衛已經從基列耶琳搬到他所預備的地方，因他曾在耶路撒冷為約櫃支搭了帳幕，|zh
7|1|4|4|But the ark of God had been moved by David from Kiriath-jearim to the place which he had made ready for it, for he had put up a tent for it at Jerusalem.|en
8|1|5|5|並且戶珥的孫子、烏利的兒子比撒列所造的銅壇也在基遍耶和華的會幕前。所羅門和會眾都就近壇前。|zh
9|1|5|5|And the altar of brass which Bezalel, the son of Uri, the son of Hur, had made, was there before the Tent of the Lord; and Solomon and all the people went to give worship there.|en
10|1|6|6|所羅門上到耶和華面前會幕的銅壇那裡，獻一千犧牲為燔祭。|zh
11|1|6|6|And Solomon went up there to the brass altar before the Lord at the Tent of meeting, offering on it a thousand burned offerings.|en
12|1|7|7|當夜，神向所羅門顯現，對他說：你願我賜你甚麼，你可以求。|zh
13|1|7|7|In that night God came to Solomon in a vision, and said to him, Say what I am to give you.|en
14|1|8|8|所羅門對神說：你曾向我父大衛大施慈愛，使我接續他作王。|zh
15|1|8|8|And Solomon said to God, Great was your mercy to David my father, and you have made me king in his place.|en
16|1|9|9|耶和華神啊，現在求你成就向我父大衛所應許的話；因你立我作這民的王，他們如同地上塵沙那樣多。|zh
17|1|9|9|Now, O Lord God, let your word to David my father come true; for you have made me king over a people like the dust of the earth in number.|en
18|1|10|10|求你賜我智慧聰明，我好在這民前出入；不然，誰能判斷這眾多的民呢？|zh
19|1|10|10|Give me now wisdom and knowledge, so that I may go out and come in before this people: for who is able to be the judge of this great people of yours?|en
20|1|11|11|神對所羅門說：我已立你作我民的王。你既有這心意，並不求資財、豐富、尊榮，也不求滅絕那恨你之人的性命，又不求大壽數，只求智慧聰明好判斷我的民；|zh
21|1|11|11|And God said to Solomon, Because this was in your heart, and you did not make request for money, property, or honour, or for the destruction of your haters, or for long life; but you have made request for wisdom and knowledge for yourself, so that you may be the judge of my people over whom I have made you king:|en
22|1|12|12|我必賜你智慧聰明，也必賜你資財、豐富、尊榮。在你以前的列王都沒有這樣，在你以後也必沒有這樣的。|zh
23|1|12|12|Wisdom and knowledge are given to you; and I will give you wealth and honour, such as no king has had before you or ever will have after you.|en
24|1|13|13|於是，所羅門從基遍邱壇會幕前回到耶路撒冷，治理以色列人。|zh
25|1|13|13|So Solomon went back from the high place at Gibeon, from before the Tent of meeting, to Jerusalem; and he was king over Israel.|en
26|1|14|14|所羅門聚集戰車馬兵，有戰車一千四百輛，馬兵一萬二千名，安置在屯車的城邑和耶路撒冷，就是王那裡。|zh
27|1|14|14|And Solomon got together war-carriages and horsemen; he had one thousand, four hundred carriages and twelve thousand horsemen, which he kept, some in the carriage-towns and some with the king at Jerusalem.|en
28|1|15|15|王在耶路撒冷使金銀多如石頭，香柏木多如高原的桑樹。|zh
29|1|15|15|And the king made silver and gold as common as stones in Jerusalem, and cedar like the sycamore-trees of the lowland in number.|en
30|1|16|16|所羅門的馬是從埃及帶來的，是王的商人一群一群按著定價買來的。|zh
31|1|16|16|And Solomon's horses came out of Egypt; the king's traders got them from Kue at a price.|en
32|1|17|17|他們從埃及買來的車，每輛價銀六百舍客勒，馬每匹一百五十舍客勒。赫人諸王和亞蘭諸王所買的車馬，也是按這價值經他們手買來的。|zh
33|1|17|17|A war-carriage might be got from Egypt for six hundred shekels of silver, and a horse for a hundred and fifty: they got them at the same rate for all the kings of the Hittites and the kings of Aram.|en
34|2|1|1|所羅門定意要為耶和華的名建造殿宇，又為自己的國建造宮室。|zh
35|2|1|1|Now it was Solomon's purpose to put up a house for the name of the Lord and a house for himself as king.|en
36|2|2|2|所羅門就挑選七萬扛抬的，八萬在山上鑿石頭的，三千六百督工的。|zh
