|chapter|sec|no|content|lang
0|1|1|1|耶和華的僕人摩西死了以後，耶和華曉諭摩西的幫手，嫩的兒子約書亞，說：|zh
1|1|1|1|Now after the death of Moses, the servant of the Lord, the word of the Lord came to Joshua, the son of Nun, Moses' helper, saying,|en
2|1|2|2|我的僕人摩西死了。現在你要起來，和眾百姓過這約但河，往我所要賜給以色列人的地去。|zh
3|1|2|2|Moses my servant is dead; so now get up! Go over Jordan, you and all this people, into the land which I am giving to them, to the children of Israel.|en
4|1|3|3|凡你們腳掌所踏之地，我都照著我所應許摩西的話賜給你們了。|zh
5|1|3|3|Every place on which you put your foot I have given to you, as I said to Moses.|en
6|1|4|4|從曠野和這利巴嫩，直到伯拉大河，赫人的全地，又到大海日落之處，都要作你們的境界。|zh
7|1|4|4|From the waste land and this mountain Lebanon, as far as the great river, the river Euphrates, and all the land of the Hittites to the Great Sea, in the west, will be your country.|en
8|1|5|5|你平生的日子，必無一人能在你面前站立得住。我怎樣與摩西同在，也必照樣與你同在；我必不撇下你，也不丟棄你。|zh
9|1|5|5|While you are living, all will give way before you: as I was with Moses, so I will be with you; I will not take away my help from you or give you up.|en
10|1|6|6|你當剛強壯膽！因為你必使這百姓承受那地為業，就是我向他們列祖起誓應許賜給他們的地。|zh
11|1|6|6|Take heart and be strong; for you will give to this people for their heritage the land which I gave by an oath to their fathers.|en
12|1|7|7|只要剛強，大大壯膽，謹守遵行我僕人摩西所吩咐你的一切律法，不可偏離左右，使你無論往那裡去，都可以順利。|zh
13|1|7|7|Only take heart and be very strong; take care to do all the law which Moses my servant gave you, not turning from it to the right hand or to the left, so that you may do well in all your undertakings.|en
14|1|8|8|這律法書不可離開你的口，總要晝夜思想，好使你謹守遵行這書上所寫的一切話。如此，你的道路就可以亨通，凡事順利。|zh
15|1|8|8|Let this book of the law be ever on your lips and in your thoughts day and night, so that you may keep with care everything in it; then a blessing will be on all your way, and you will do well.|en
16|1|9|9|我豈沒有吩咐你麼？你當剛強壯膽！不要懼怕，也不要驚惶；因為你無論往那裡去，耶和華─你的神必與你同在。|zh
17|1|9|9|Have I not given you your orders? Take heart and be strong; have no fear and do not be troubled; for the Lord your God is with you wherever you go,|en
18|1|10|10|於是，約書亞吩咐百姓的官長說：|zh
19|1|10|10|Then Joshua gave their orders to those who were in authority over the people, saying,|en
20|1|11|11|你們要走遍營中，吩咐百姓說：當預備食物；因為三日之內你們要過這約但河，進去得耶和華─你們神賜你們為業之地。|zh
21|1|11|11|Go through the tents and give orders to the people, saying, Get ready a store of food; for in three days you are to go over this river Jordan and take for your heritage the land which the Lord your God is giving you.|en
22|1|12|12|約書亞對流便人、迦得人，和瑪拿西半支派的人說：|zh
23|1|12|12|And to the Reubenites and the Gadites and the half-tribe of Manasseh, Joshua said,|en
24|1|13|13|你們要追念耶和華的僕人摩西所吩咐你們的話說：耶和華─你們的神使你們得享平安，也必將這地賜給你們。|zh
25|1|13|13|Keep in mind what Moses, the servant of the Lord, said to you, The Lord your God is sending you rest and will give you this land.|en
26|1|14|14|你們的妻子、孩子，和牲畜都可以留在約但河東、摩西所給你們的地；但你們中間一切大能的勇士都要帶著兵器在你們的弟兄前面過去，幫助他們，|zh
27|1|14|14|Your wives, your little ones, and your cattle will be kept here in the land which Moses gave you on this side of Jordan; but you, the fighting-men, are to go over before your brothers, armed, to give them help;|en
28|1|15|15|等到耶和華使你們的弟兄像你們一樣得享平安，並且得著耶和華─你們神所賜他們為業之地，那時才可以回你們所得之地，承受為業，就是耶和華的僕人摩西在約但河東、向日出之地所給你們的。|zh
