|chapter|sec|no|content|lang
0|1|1|1|奉神旨意作基督耶穌使徒的保羅和兄弟提摩太，寫信給在哥林多神的教會，並亞該亞遍處的眾聖徒。|zh
1|1|1|1|Paul, an Apostle of Jesus Christ by the purpose of God, and Timothy the brother, to the church of God which is in Corinth, with all the saints who are in all Achaia:|en
2|1|2|2|願恩惠、平安從神我們的父和主耶穌基督歸與你們！|zh
3|1|2|2|Grace to you and peace from God our Father and the Lord Jesus Christ.|en
4|1|3|3|願頌讚歸與我們的主耶穌基督的父神，就是發慈悲的父，賜各樣安慰的神。|zh
5|1|3|3|Praise be to the God and Father of our Lord Jesus Christ, the Father of mercies and the God of all comfort;|en
6|1|4|4|我們在一切患難中，他就安慰我們，叫我們能用神所賜的安慰去安慰那遭各樣患難的人。|zh
7|1|4|4|Who gives us comfort in all our troubles, so that we may be able to give comfort to others who are in trouble, through the comfort with which we ourselves are comforted by God.|en
8|1|5|5|我們既多受基督的苦楚，就靠基督多得安慰。|zh
9|1|5|5|For as we undergo more of the pain which Christ underwent, so through Christ does our comfort become greater.|en
10|1|6|6|我們受患難呢，是為叫你們得安慰，得拯救；我們得安慰呢，也是為叫你們得安慰；這安慰能叫你們忍受我們所受的那樣苦楚。|zh
11|1|6|6|But if we are troubled, it is for your comfort and salvation; or if we are comforted, it is for your comfort, which takes effect through your quiet undergoing of the same troubles which we undergo:|en
12|1|7|7|我們為你們所存的盼望是確定的，因為知道你們既是同受苦楚，也必同得安慰。|zh
13|1|7|7|And our hope for you is certain; in the knowledge that as you take part in the troubles, so you will take part in the comfort.|en
14|1|8|8|弟兄們，我們不要你們不曉得，我們從前在亞西亞遭遇苦難，被壓太重，力不能勝，甚至連活命的指望都絕了；|zh
15|1|8|8|For it is our desire that you may not be without knowledge of our trouble which came on us in Asia, that the weight of it was very great, more than our power, so that it seemed that we had no hope even of life:|en
16|1|9|9|自己心裡也斷定是必死的，叫我們不靠自己，只靠叫死人復活的神。|zh
