|chapter|sec|no|content|lang
0|1|1|1|所羅門的歌，是歌中的雅歌。（新娘）|zh
1|1|1|1|The song of Songs, which is Solomon's.|en
2|1|2|2|願他用口與我親嘴；因你的愛情比酒更美。|zh
3|1|2|2|Let him give me the kisses of his mouth: for his love is better than wine.|en
4|1|3|3|你的膏油馨香；你的名如同倒出來的香膏，所以眾童女都愛你。|zh
5|1|3|3|Sweet is the smell of your perfumes; your name is as perfume running out; so the young girls give you their love.|en
6|1|4|4|願你吸引我，我們就快跑跟隨你。王帶我進了內室，我們必因你歡喜快樂。我們要稱讚你的愛情，勝似稱讚美酒。他們愛你是理所當然的。|zh
7|1|4|4|Take me to you, and we will go after you: the king has taken me into his house. We will be glad and full of joy in you, we will give more thought to your love than to wine: rightly are they your lovers.|en
8|1|5|5|耶路撒冷的眾女子啊，我雖然黑，卻是秀美，如同基達的帳棚，好像所羅門的幔子。|zh
9|1|5|5|I am dark, but fair of form, O daughters of Jerusalem, as the tents of Kedar, as the curtains of Solomon.|en
10|1|6|6|不要因日頭把我曬黑了就輕看我。我同母的弟兄向我發怒，他們使我看守葡萄園；我自己的葡萄園卻沒有看守。|zh
11|1|6|6|Let not your eyes be turned on me, because I am dark, because I was looked on by the sun; my mother's children were angry with me; they made me the keeper of the vine-gardens; but my vine-garden I have not kept.|en
12|1|7|7|我心所愛的啊，求你告訴我，你在何處牧羊？晌午在何處使羊歇臥？我何必在你同伴的羊群旁邊好像蒙著臉的人呢？（新郎）|zh
13|1|7|7|Say, O love of my soul, where you give food to your flock, and where you make them take their rest in the heat of the day; why have I to be as one wandering by the flocks of your friends?|en
14|1|8|8|你這女子中極美麗的，你若不知道，只管跟隨羊群的腳蹤去，把你的山羊羔牧放在牧人帳棚的旁邊。|zh
15|1|8|8|If you have not knowledge, O most beautiful among women, go on your way in the footsteps of the flock, and give your young goats food by the tents of the keepers.|en
16|1|9|9|我的佳偶，我將你比法老車上套的駿馬。|zh
17|1|9|9|I have made a comparison of you, O my love, to a horse in Pharaoh's carriages.|en
18|1|10|10|你的兩腮因髮辮而秀美；你的頸項因珠串而華麗。|zh
19|1|10|10|Your face is a delight with rings of hair, your neck with chains of jewels.|en
20|1|11|11|我們要為你編上金辮，鑲上銀釘。（新娘）|zh
21|1|11|11|We will make you chains of gold with ornaments of silver.|en
22|1|12|12|王正坐席的時候，我的哪噠香膏發出香味。|zh
23|1|12|12|While the king is seated at his table, my spices send out their perfume.|en
24|1|13|13|我以我的良人為一袋沒藥，常在我懷中。|zh
25|1|13|13|As a bag of myrrh is my well-loved one to me, when he is at rest all night between my breasts.|en
26|1|14|14|我以我的良人為一棵鳳仙花，在隱基底葡萄園中。（新郎）|zh
27|1|14|14|My love is to me as a branch of the cypress-tree in the vine-gardens of En-gedi.|en
28|1|15|15|我的佳偶，你甚美麗！你甚美麗！你的眼好像鴿子眼。（新娘）|zh
29|1|15|15|See, you are fair, my love, you are fair; you have the eyes of a dove.|en
30|1|16|16|我的良人哪，你甚美麗可愛！我們以青草為床榻，|zh
31|1|16|16|See, you are fair, my loved one, and a pleasure; our bed is green.|en
32|1|17|17|以香柏樹為房屋的棟梁，以松樹為椽子。|zh
33|1|17|17|Cedar-trees are the pillars of our house; and our boards are made of fir-trees.|en
34|2|1|1|我是沙崙的玫瑰花（或譯：水仙花），是谷中的百合花。（新郎）|zh
35|2|1|1|I am a rose of Sharon, a flower of the valleys.|en
36|2|2|2|我的佳偶在女子中，好像百合花在荊棘內。（新娘）|zh
37|2|2|2|As the lily-flower among the thorns of the waste, so is my love among the daughters.|en
38|2|3|3|我的良人在男子中，如同蘋果樹在樹林中。我歡歡喜喜坐在他的蔭下，嘗他果子的滋味，覺得甘甜。|zh
39|2|3|3|As the apple-tree among the trees of the wood, so is my loved one among the sons. I took my rest under his shade with great delight, and his fruit was sweet to my taste.|en
40|2|4|4|他帶我入筵宴所，以愛為旗在我以上。|zh
41|2|4|4|He took me to the house of wine, and his flag over me was love.|en
42|2|5|5|求你們給我葡萄乾增補我力，給我蘋果暢快我心，因我思愛成病。|zh
43|2|5|5|Make me strong with wine-cakes, let me be comforted with apples; I am overcome with love.|en
44|2|6|6|他的左手在我頭下；他的右手將我抱住。|zh
45|2|6|6|His left hand is under my head, and his right hand is round about me.|en
46|2|7|7|耶路撒冷的眾女子啊，我指著羚羊或田野的母鹿囑咐你們：不要驚動、不要叫醒我所親愛的，等他自己情願（不要叫醒……情願：或譯不要激動愛情，等他自發）。|zh
47|2|7|7|I say to you, O daughters of Jerusalem, by the roes of the field, do not let love be moved till it is ready.|en
48|2|8|8|聽啊！是我良人的聲音；看哪！他躥山越嶺而來。|zh
49|2|8|8|The voice of my loved one! See, he comes dancing on the mountains, stepping quickly on the hills.|en
50|2|9|9|我的良人好像羚羊，或像小鹿。他站在我們牆壁後，從窗戶往裡觀看，從窗櫺往裡窺探。|zh
51|2|9|9|My loved one is like a roe; see, he is on the other side of our wall, he is looking in at the windows, letting himself be seen through the spaces.|en
52|2|10|10|我良人對我說：（新郎）我的佳偶，我的美人，起來，與我同去！|zh
53|2|10|10|My loved one said to me, Get up, my love, my fair one, and come away.|en
54|2|11|11|因為冬天已往，雨水止住過去了。|zh
55|2|11|11|For, see, the winter is past, the rain is over and gone;|en
56|2|12|12|地上百花開放，百鳥鳴叫的時候（或譯：修理葡萄樹的時候）已經來到；斑鳩的聲音在我們境內也聽見了。|zh
57|2|12|12|The flowers are come on the earth; the time of cutting the vines is come, and the voice of the dove is sounding in our land;|en
58|2|13|13|無花果樹的果子漸漸成熟；葡萄樹開花放香。我的佳偶，我的美人，起來，與我同去！|zh
59|2|13|13|The fig-tree puts out her green fruit and the vines with their young fruit give a good smell. Get up from your bed, my beautiful one, and come away.|en
60|2|14|14|我的鴿子啊，你在磐石穴中，在陡巖的隱密處。求你容我得見你的面貌，得聽你的聲音；因為你的聲音柔和，你的面貌秀美。|zh
61|2|14|14|O my dove, you are in the holes of the mountain sides, in the cracks of the high hills; let me see your face, let your voice come to my ears; for sweet is your voice, and your face is fair.|en
62|2|15|15|要給我們擒拿狐狸，就是毀壞葡萄園的小狐狸，因為我們的葡萄正在開花。（新娘）|zh
63|2|15|15|Take for us the foxes, the little foxes, which do damage to the vines; our vines have young grapes.|en
64|2|16|16|良人屬我，我也屬他；他在百合花中牧放群羊。|zh
65|2|16|16|My loved one is mine, and I am his: he takes his food among the flowers.|en
66|2|17|17|我的良人哪，求你等到天起涼風、日影飛去的時候，你要轉回，好像羚羊，或像小鹿在比特山上。|zh
67|2|17|17|Till the evening comes, and the sky slowly becomes dark, come, my loved one, and be like a roe on the mountains of Bether.|en
68|3|1|1|我夜間躺臥在床上，尋找我心所愛的；我尋找他，卻尋不見。|zh
69|3|1|1|By night on my bed I was looking for him who is the love of my soul: I was looking for him, but I did not see him.|en
70|3|2|2|我說：我要起來，遊行城中，在街市上，在寬闊處，尋找我心所愛的。我尋找他，卻尋不見。|zh
71|3|2|2|I will get up now and go about the town, in the streets and in the wide ways I will go after him who is the love of my soul: I went after him, but I did not see him.|en
72|3|3|3|城中巡邏看守的人遇見我；我問他們：你們看見我心所愛的沒有？|zh
73|3|3|3|The watchmen who go about the town came by me; to them I said, Have you seen him who is my heart's desire?|en
74|3|4|4|我剛離開他們就遇見我心所愛的。我拉住他，不容他走，領他入我母家，到懷我者的內室。|zh
75|3|4|4|I was but a little way from them, when I came face to face with him who is the love of my soul. I took him by the hands, and did not let him go, till I had taken him into my mother's house, and into the room of her who gave me birth.|en
76|3|5|5|耶路撒冷的眾女子啊，我指著羚羊或田野的母鹿囑咐你們：不要驚動、不要叫醒我所親愛的，等他自己情願（不要叫醒……情願：或譯不要激動愛情，等他自發）。|zh
77|3|5|5|I say to you, O daughters of Jerusalem, by the roes of the field, let not love be moved till it is ready.|en
78|3|6|6|那從曠野上來、形狀如煙柱、以沒藥和乳香並商人各樣香粉薰的是誰呢？|zh
79|3|6|6|Who is this coming out of the waste places like pillars of smoke, perfumed with sweet spices, with all the spices of the trader?|en
80|3|7|7|看哪，是所羅門的轎；四圍有六十個勇士，都是以色列中的勇士；|zh
81|3|7|7|See, it is the bed of Solomon; sixty men of war are about it, of the army of Israel,|en
82|3|8|8|手都持刀，善於爭戰，腰間佩刀，防備夜間有驚慌。|zh
83|3|8|8|All of them armed with swords, trained in war; every man has his sword at his side, because of fear in the night.|en
84|3|9|9|所羅門王用利巴嫩木為自己製造一乘華轎。|zh
85|3|9|9|King Solomon made himself a bed of the wood of Lebanon.|en
86|3|10|10|轎柱是用銀做的，轎底是用金做的；坐墊是紫色的，其中所鋪的乃耶路撒冷眾女子的愛情。|zh
87|3|10|10|He made its pillars of silver, its base of gold, its seat of purple, the middle of it of ebony.|en
88|3|11|11|錫安的眾女子啊，你們出去觀看所羅門王！頭戴冠冕，就是在他婚筵的日子、心中喜樂的時候，他母親給他戴上的。|zh
89|3|11|11|Go out, O daughters of Jerusalem, and see King Solomon, with the crown which his mother put on his head on the day when he was married, and on the day of the joy of his heart.|en
90|4|1|1|我的佳偶，你甚美麗！你甚美麗！你的眼在帕子內好像鴿子眼。你的頭髮如同山羊群臥在基列山旁。|zh
91|4|1|1|See, you are fair, my love, you are fair; you have the eyes of a dove; your hair is as a flock of goats, which take their rest on the side of Gilead.|en
92|4|2|2|你的牙齒如新剪毛的一群母羊，洗淨上來，個個都有雙生，沒有一隻喪掉子的。|zh
93|4|2|2|Your teeth are like a flock of sheep whose wool is newly cut, which come up from the washing; every one has two lambs, and there is not one without young.|en
94|4|3|3|你的唇好像一條朱紅線；你的嘴也秀美。你的兩太陽在帕子內，如同一塊石榴。|zh
95|4|3|3|Your red lips are like a bright thread, and your mouth is fair of form; the sides of your head are like pomegranate fruit under your veil.|en
96|4|4|4|你的頸項好像大衛建造收藏軍器的高臺，其上懸掛一千盾牌，都是勇士的籐牌。|zh
97|4|4|4|Your neck is like the tower of David made for a store-house of arms, in which a thousand breastplates are hanging, breastplates for fighting-men.|en
98|4|5|5|你的兩乳好像百合花中吃草的一對小鹿，就是母鹿雙生的。|zh
99|4|5|5|Your two breasts are like two young roes of the same birth, which take their food among the lilies.|en
100|4|6|6|我要往沒藥山和乳香岡去，直等到天起涼風、日影飛去的時候回來。|zh
101|4|6|6|Till the evening comes, and the sky slowly becomes dark, I will go to the mountain of myrrh, and to the hill of frankincense.|en
102|4|7|7|我的佳偶，你全然美麗，毫無瑕疵！|zh
103|4|7|7|You are all fair, my love; there is no mark on you.|en
104|4|8|8|我的新婦，求你與我一同離開利巴嫩，與我一同離開利巴嫩。從亞瑪拿頂，從示尼珥與黑門頂，從有獅子的洞，從有豹子的山往下觀看。|zh
105|4|8|8|Come with me from Lebanon, my bride, with me from Lebanon; see from the top of Amana, from the top of Senir and Hermon, from the places of the lions, from the mountains of the leopards.|en
106|4|9|9|我妹子，我新婦，你奪了我的心。你用眼一看，用你項上的一條金鍊，奪了我的心！|zh
107|4|9|9|You have taken away my heart, my sister, my bride; you have taken away my heart, with one look you have taken it, with one chain of your neck!|en
108|4|10|10|我妹子，我新婦，你的愛情何其美！你的愛情比酒更美！你膏油的香氣勝過一切香品！|zh
109|4|10|10|How fair is your love, my sister! How much better is your love than wine, and the smell of your oils than any perfume!|en
110|4|11|11|我新婦，你的嘴唇滴蜜，好像蜂房滴蜜；你的舌下有蜜，有奶。你衣服的香氣如利巴嫩的香氣。|zh
111|4|11|11|Your lips are dropping honey; honey and milk are under your tongue; and the smell of your clothing is like the smell of Lebanon.|en
112|4|12|12|我妹子，我新婦，乃是關鎖的園，禁閉的井，封閉的泉源。|zh
113|4|12|12|A garden walled-in is my sister, my bride; a garden shut up, a spring of water stopped.|en
114|4|13|13|你園內所種的結了石榴，有佳美的果子，並鳳仙花與哪噠樹。|zh
115|4|13|13|The produce of the garden is pomegranates; with all the best fruits, henna and spikenard,|en
116|4|14|14|有哪噠和番紅花，菖蒲和桂樹，並各樣乳香木、沒藥、沉香，與一切上等的果品。|zh
117|4|14|14|Spikenard and safron; calamus and cinnamon, with all trees of frankincense; myrrh and aloes, with all the chief spices.|en
118|4|15|15|你是園中的泉，活水的井，從利巴嫩流下來的溪水。（新娘）|zh
119|4|15|15|You are a fountain of gardens, a spring of living waters, and flowing waters from Lebanon.|en
120|4|16|16|北風啊，興起！南風啊，吹來！吹在我的園內，使其中的香氣發出來。願我的良人進入自己園裡，吃他佳美的果子。|zh
121|4|16|16|Be awake, O north wind; and come, O south, blowing on my garden, so that its spices may come out. Let my loved one come into his garden, and take of his good fruits.|en
122|5|1|1|我妹子，我新婦，我進了我的園中，採了我的沒藥和香料，吃了我的蜜房和蜂蜜，喝了我的酒和奶。（耶路撒冷的眾女子）我的朋友們，請吃！我所親愛的，請喝，且多多地喝！|zh
123|5|1|1|I have come into my garden, my sister, my bride; to take my myrrh with my spice; my wax with my honey; my wine with my milk. Take meat, O friends; take wine, yes, be overcome with love.|en
124|5|2|2|我身睡臥，我心卻醒。這是我良人的聲音；他敲門說：（新郎）我的妹子，我的佳偶，我的鴿子，我的完全人，求你給我開門；因我的頭滿了露水，我的頭髮被夜露滴濕。（新娘）|zh
125|5|2|2|I am sleeping, but my heart is awake; it is the sound of my loved one at the door, saying, Be open to me, my sister, my love, my dove, my very beautiful one; my head is wet with dew, and my hair with the drops of the night.|en
126|5|3|3|我回答說：我脫了衣裳，怎能再穿上呢？我洗了腳，怎能再玷污呢？|zh
127|5|3|3|I have put off my coat; how may I put it on? My feet are washed; how may I make them unclean?|en
128|5|4|4|我的良人從門孔裡伸進手來，我便因他動了心。|zh
129|5|4|4|My loved one put his hand on the door, and my heart was moved for him.|en
130|5|5|5|我起來，要給我良人開門。我的兩手滴下沒藥；我的指頭有沒藥汁滴在門閂上。|zh
131|5|5|5|I got up to let my loved one in; and my hands were dropping with myrrh, and my fingers with liquid myrrh, on the lock of the door.|en
132|5|6|6|我給我的良人開了門；我的良人卻已轉身走了。他說話的時候，我神不守舍；我尋找他，竟尋不見；我呼叫他，他卻不回答。|zh
133|5|6|6|I made the door open to my loved one; but my loved one had taken himself away, and was gone, my soul was feeble when his back was turned on me; I went after him, but I did not come near him; I said his name, but he gave me no answer.|en
134|5|7|7|城中巡邏看守的人遇見我，打了我，傷了我；看守城牆的人奪去我的披肩。|zh
135|5|7|7|The keepers who go about the town overtook me; they gave me blows and wounds; the keepers of the walls took away my veil from me.|en
136|5|8|8|耶路撒冷的眾女子啊，我囑咐你們：若遇見我的良人，要告訴他，我因思愛成病。（耶路撒冷的眾女子）|zh
137|5|8|8|I say to you, O daughters of Jerusalem, if you see my loved one, what will you say to him? That I am overcome with love.|en
138|5|9|9|你這女子中極美麗的，你的良人比別人的良人有何強處？你的良人比別人的良人有何強處，你就這樣囑咐我們？（新娘）|zh
139|5|9|9|What is your loved one more than another, O fairest among women? What is your loved one more than another, that you say this to us?|en
140|5|10|10|我的良人白而且紅，超乎萬人之上。|zh
141|5|10|10|My loved one is white and red, the chief among ten thousand.|en
142|5|11|11|他的頭像至精的金子；他的頭髮厚密纍垂，黑如烏鴉。|zh
143|5|11|11|His head is as the most delicate gold; his hair is thick, and black as a raven.|en
144|5|12|12|他的眼如溪水旁的鴿子眼，用奶洗淨，安得合式。|zh
145|5|12|12|His eyes are as the eyes of doves by the water streams, washed with milk, and rightly placed.|en
146|5|13|13|他的兩腮如香花畦，如香草臺；他的嘴唇像百合花，且滴下沒藥汁。|zh
147|5|13|13|His face is as beds of spices, giving out perfumes of every sort; his lips like lilies, dropping liquid myrrh.|en
148|5|14|14|他的兩手好像金管，鑲嵌水蒼玉；他的身體如同雕刻的象牙，周圍鑲嵌藍寶石。|zh
149|5|14|14|His hands are as rings of gold ornamented with beryl-stones; his body is as a smooth plate of ivory covered with sapphires.|en
150|5|15|15|他的腿好像白玉石柱，安在精金座上；他的形狀如利巴嫩，且佳美如香柏樹。|zh
151|5|15|15|His legs are as pillars of stone on a base of delicate gold; his looks are as Lebanon, beautiful as the cedar-tree.|en
152|5|16|16|他的口極其甘甜；他全然可愛。耶路撒冷的眾女子啊，這是我的良人；這是我的朋友。|zh
153|5|16|16|His mouth is most sweet; yes, he is all beautiful. This is my loved one, and this is my friend, O daughters of Jerusalem.|en
154|6|1|1|你這女子中極美麗的，你的良人往何處去了？你的良人轉向何處去了，我們好與你同去尋找他。（新娘）|zh
155|6|1|1|Where is your loved one gone, O most fair among women? Where is your loved one turned away, that we may go looking for him with you?|en
156|6|2|2|我的良人下入自己園中，到香花畦，在園內牧放群羊，採百合花。|zh
157|6|2|2|My loved one is gone down into his garden, to the beds of spices, to take food in the gardens, and to get lilies.|en
158|6|3|3|我屬我的良人，我的良人也屬我；他在百合花中牧放群羊。|zh
159|6|3|3|I am for my loved one, and my loved one is for me; he takes food among the lilies.|en
160|6|4|4|我的佳偶啊，你美麗如得撒，秀美如耶路撒冷，威武如展開旌旗的軍隊。|zh
161|6|4|4|You are beautiful, O my love, as Tirzah, as fair as Jerusalem; you are to be feared like an army with flags.|en
162|6|5|5|求你掉轉眼目不看我，因你的眼目使我驚亂。你的頭髮如同山羊群臥在基列山旁。|zh
163|6|5|5|Let your eyes be turned away from me; see, they have overcome me; your hair is as a flock of goats which take their rest on the side of Gilead.|en
164|6|6|6|你的牙齒如一群母羊洗淨上來，個個都有雙生，沒有一隻喪掉子的。|zh
165|6|6|6|Your teeth are like a flock of sheep which come up from the washing; every one has two lambs, and there is not one without young.|en
166|6|7|7|你的兩太陽在帕子內，如同一塊石榴。|zh
167|6|7|7|Like pomegranate fruit are the sides of your head under your veil.|en
168|6|8|8|有六十王后八十妃嬪，並有無數的童女。|zh
169|6|8|8|There are sixty queens, and eighty servant-wives, and young girls without number.|en
170|6|9|9|我的鴿子，我的完全人，只有這一個是他母親獨生的，是生養他者所寶愛的。眾女子見了就稱他有福；王后妃嬪見了也讚美他。|zh
171|6|9|9|My dove, my very beautiful one, is but one; she is the only one of her mother, she is the dearest one of her who gave her birth. The daughters saw her, and gave her a blessing; yes, the queens and the servant-wives, and they gave her praises.|en
172|6|10|10|那向外觀看、如晨光發現、美麗如月亮、皎潔如日頭、威武如展開旌旗軍隊的是誰呢？|zh
173|6|10|10|Who is she, looking down as the morning light, fair as the moon, clear as the sun, who is to be feared like an army with flags?|en
174|6|11|11|我下入核桃園，要看谷中青綠的植物，要看葡萄發芽沒有，石榴開花沒有。|zh
175|6|11|11|I went down into the garden of nuts to see the green plants of the valley, and to see if the vine was in bud, and the pomegranate-trees were in flower.|en
176|6|12|12|不知不覺，我的心將我安置在我尊長的車中。（耶路撒冷的眾女子）|zh
