|chapter|sec|no|content|lang
0|1|1|1|亞當生塞特；塞特生以挪士；|zh
1|1|1|1|Adam, Seth, Enosh;|en
2|1|2|2|以挪士生該南；該南生瑪勒列；瑪勒列生雅列；|zh
3|1|2|2|Kenan, Mahalalel, Jared,|en
4|1|3|3|雅列生以諾；以諾生瑪土撒拉；瑪土撒拉生拉麥；|zh
5|1|3|3|Enoch, Methuselah, Lamech;|en
6|1|4|4|拉麥生挪亞；挪亞生閃、含、雅弗。|zh
7|1|4|4|Noah, Shem, Ham, and Japheth.|en
8|1|5|5|雅弗的兒子是歌篾、瑪各、瑪代、雅完、土巴、米設、提拉。|zh
9|1|5|5|The sons of Japheth: Gomer and Magog and Madai and Javan and Tubal and Meshech and Tiras.|en
10|1|6|6|歌篾的兒子是亞實基拿、低法(創十章三節作利法)、陀迦瑪。|zh
11|1|6|6|And the sons of Gomer: Ashkenaz and Diphath and Togarmah.|en
12|1|7|7|雅完的兒子是以利沙、他施、基提、多單(有作羅單的)。|zh
13|1|7|7|And the sons of Javan: Elishah and Tarshish, Kittim and Rodanim.|en
14|1|8|8|含的兒子是古實、麥西、弗、迦南。|zh
15|1|8|8|The sons of Ham: Cush and Egypt, Put and Canaan.|en
16|1|9|9|古實的兒子是西巴、哈腓拉、撒弗他、拉瑪、撒弗提迦。拉瑪的兒子是示巴、底但。|zh
17|1|9|9|And the sons of Cush: Seba and Havilah and Sabta and Raama and Sabteca. And the sons of Raamah: Sheba and Dedan.|en
18|1|10|10|古實生寧錄；他為世上英雄之首。|zh
19|1|10|10|And Cush was the father of Nimrod: he was the first to be a great man in the earth.|en
20|1|11|11|麥西生路低人、亞拿米人、利哈比人、拿弗土希人、|zh
21|1|11|11|And Egypt was the father of the Ludim and the Anamim and the Lehabim and the Naphtuhim|en
22|1|12|12|帕斯魯細人、迦斯路希人、迦斐託人；從迦斐託出來的有非利士人。|zh
23|1|12|12|And the Pathrusim and the Casluhim and the Caphtorim (from whom came the Philistines).|en
24|1|13|13|迦南生長子西頓，又生赫|zh
25|1|13|13|And Canaan was the father of Zidon, his oldest son, and Heth,|en
26|1|14|14|和耶布斯人、亞摩利人、革迦撒人、|zh
27|1|14|14|And the Jebusite and the Amorite and the Girgashite,|en
28|1|15|15|希未人、亞基人、西尼人、|zh
29|1|15|15|And the Hivite and the Arkite and the Sinite,|en
30|1|16|16|亞瓦底人、洗瑪利人，並哈馬人。|zh
31|1|16|16|And the Arvadite and the Zemarite and the Hamathite.|en
32|1|17|17|閃的兒子是以攔、亞述、亞法撒、路德、亞蘭、烏斯、戶勒、基帖、米設(創十23作瑪施)。|zh
33|1|17|17|The sons of Shem: Elam and Asshur and Arpachshad and Lud and Aram and Uz and Hul and Gether and Meshech.|en
34|1|18|18|亞法撒生沙拉；沙拉生希伯。|zh
35|1|18|18|And Arpachshad was the father of Shelah, and Shelah was the father of Eber.|en
36|1|19|19|希伯生了兩個兒子：一個名叫法勒(就是分的意思)，因為那時人就分地居住；法勒的兄弟名叫約坍。|zh
37|1|19|19|And Eber had two sons: the name of the one was Peleg, because in his days a division was made of the earth; and his brother's name was Joktan.|en
38|1|20|20|約坍生亞摩答、沙列、哈薩瑪非、耶拉、|zh
39|1|20|20|And Joktan was the father of Almodad and Sheleph and Hazarmaveth and Jerah|en
40|1|21|21|哈多蘭、烏薩、德拉、|zh
41|1|21|21|And Hadoram and Uzal and Diklah|en
42|1|22|22|以巴錄、亞比瑪利、示巴、|zh
43|1|22|22|And Ebal and Abimael and Sheba|en
44|1|23|23|阿斐、哈腓拉、約巴。這都是約坍的兒子。|zh
45|1|23|23|And Ophir and Havilah and Jobab. All these were the sons of Joktan.|en
46|1|24|24|閃生亞法撒；亞法撒生沙拉；|zh
47|1|24|24|Shem, Arpachshad, Shelah,|en
48|1|25|25|沙拉生希伯；希伯生法勒；法勒生拉吳；|zh
49|1|25|25|Eber, Peleg, Reu,|en
50|1|26|26|拉吳生西鹿；西鹿生拿鶴；拿鶴生他拉；|zh
51|1|26|26|Serug, Nahor, Terah,|en
52|1|27|27|他拉生亞伯蘭，亞伯蘭就是亞伯拉罕。|zh
53|1|27|27|Abram (that is Abraham).|en
54|1|28|28|亞伯拉罕的兒子是以撒、以實瑪利。|zh
55|1|28|28|The sons of Abraham: Isaac and Ishmael.|en
56|1|29|29|以實瑪利的兒子記在下面：以實瑪利的長子是尼拜約，其次是基達、押德別、米比衫、|zh
57|1|29|29|These are their generations: the oldest son of Ishmael, Nebaioth; then Kedar and Adbeel and Mibsam,|en
58|1|30|30|米施瑪、度瑪、瑪撒、哈達、提瑪、|zh
59|1|30|30|Mishma and Dumah, Massa, Hadad and Tema,|en
60|1|31|31|伊突、拿非施、基底瑪。這都是以實瑪利的兒子。|zh
61|1|31|31|Jetur, Naphish, and Kedemah. These are the sons of Ishmael.|en
62|1|32|32|亞伯拉罕的妾基土拉所生的兒子，就是心蘭、約珊、米但、米甸、伊施巴、書亞。約珊的兒子是示巴、底但。|zh
63|1|32|32|And the sons of Keturah, Abraham's servant-wife: she was the mother of Zimran and Jokshan and Medan and Midian and Ishbak and Shuah. And the sons of Jokshan: Sheba and Dedan.|en
64|1|33|33|米甸的兒子是以法、以弗、哈諾、亞比大、以勒大。這都是基土拉的子孫。|zh
65|1|33|33|And the sons of Midian: Ephah and Epher and Hanoch and Abida and Eldaah. All these were the sons of Keturah.|en
66|1|34|34|亞伯拉罕生以撒；以撒的兒子是以掃和以色列。|zh
67|1|34|34|And Abraham was the father of Isaac. The sons of Isaac: Esau and Israel.|en
68|1|35|35|以掃的兒子是以利法、流珥、耶烏施、雅蘭、可拉。|zh
69|1|35|35|The sons of Esau: Eliphaz, Reuel and Jeush and Jalam and Korah.|en
70|1|36|36|以利法的兒子是提幔、阿抹、洗玻、迦坦、基納斯、亭納、亞瑪力。|zh
71|1|36|36|The sons of Eliphaz: Teman and Omar, Zephi and Gatam, Kenaz and Timna and Amalek.|en
72|1|37|37|流珥的兒子是拿哈、謝拉、沙瑪、米撒。|zh
73|1|37|37|The sons of Reuel: Nahath, Zerah, Shammah and Mizzah.|en
74|1|38|38|西珥的兒子是羅坍、朔巴、祭便、亞拿、底順、以察、底珊。|zh
75|1|38|38|And the sons of Seir: Lotan and Shobal and Zibeon and Anah and Dishon and Ezer and Dishan.|en
76|1|39|39|羅坍的兒子是何利、荷幔；羅坍的妹子是亭納。|zh
77|1|39|39|And the sons of Lotan: Hori and Homam; and Timna was Lotan's sister.|en
78|1|40|40|朔巴的兒子是亞勒文、瑪拿轄、以巴錄、示非、阿南。祭便的兒子是亞雅、亞拿。|zh
79|1|40|40|The sons of Shobal: Alian and Manahath and Ebal, Shephi and Onam. And the sons of Zibeon: Aiah and Anah.|en
80|1|41|41|亞拿的兒子是底順。底順的兒子是哈默蘭、伊是班、益蘭、基蘭。|zh
81|1|41|41|The sons of Anah: Dishon. And the sons of Dishon: Hamran and Eshban and Ithran and Cheran.|en
82|1|42|42|以察的兒子是辟罕、撒番、亞干。底珊的兒子是烏斯、亞蘭。|zh
83|1|42|42|The sons of Ezer: Bilhan and Zaavan, Jaakan. The sons of Dishan: Uz and Aran.|en
84|1|43|43|以色列人未有君王治理之先，在以東地作王的記在下面：有比珥的兒子比拉，他的京城名叫亭哈巴。|zh
85|1|43|43|Now these are the kings who were ruling in the land of Edom, before there was any king over Israel: Bela, the son of Beor; his town was named Dinhabah.|en
86|1|44|44|比拉死了，波斯拉人謝拉的兒子約巴接續他作王。|zh
87|1|44|44|At his death, Jobab, the son of Zerah of Bozrah, became king in his place.|en
88|1|45|45|約巴死了，提幔地的人戶珊接續他作王。|zh
89|1|45|45|At the death of Jobab, Husham, from the land of the Temanites, became king in his place.|en
90|1|46|46|戶珊死了，比達的兒子哈達接續他作王。這哈達就是在摩押地殺敗米甸人的，他的京城名叫亞未得。|zh
91|1|46|46|And at the death of Husham, Hadad, the son of Bedad, who overcame Midian in the field of Moab, became king; his town was named Avith.|en
92|1|47|47|哈達死了，瑪士利加人桑拉接續他作王。|zh
93|1|47|47|And at the death of Hadad, Samlah of Masrekah became king in his place.|en
94|1|48|48|桑拉死了，大河邊的利河伯人掃羅接續他作王。|zh
95|1|48|48|And at the death of Samlah, Shaul of Rehoboth by the river became king in his place,|en
96|1|49|49|掃羅死了，亞革波的兒子巴勒哈南接續他作王。|zh
97|1|49|49|And at the death of Shaul, Baal-hanan, the son of Achbor, became king in his place.|en
98|1|50|50|巴勒哈南死了，哈達接續他作王。他的京城名叫巴伊，他的妻子名叫米希他別，是米薩合的孫女，瑪特列的女兒。|zh
99|1|50|50|And at the death of Baal-hanan, Hadad became king in his place; his town was named Pai, and his wife's name was Mehetabel, the daughter of Matred, the daughter of Me-zahab.|en
100|1|51|51|哈達死了，以東人的族長有亭納族長、亞勒瓦族長、耶帖族長、|zh
