|chapter|sec|no|content|lang
0|1|1|1|以色列人出埃及地後，第二年二月初一日，耶和華在西乃的曠野、會幕中曉諭摩西說：|zh
1|1|1|1|And the Lord said to Moses in the waste land of Sinai, in the Tent of meeting, on the first day of the second month, in the second year after they came out of the land of Egypt,|en
2|1|2|2|你要按以色列全會眾的家室、宗族、人名的數目計算所有的男丁。|zh
3|1|2|2|Take the full number of the children of Israel, by their families, and by their fathers' houses, every male by name;|en
4|1|3|3|凡以色列中，從二十歲以外，能出去打仗的，你和亞倫要照他們的軍隊數點。|zh
5|1|3|3|All those of twenty years old and over, who are able to go to war in Israel, are to be numbered by you and Aaron.|en
6|1|4|4|每支派中必有一人作本支派的族長，幫助你們。|zh
7|1|4|4|And to give you help, take one man from every tribe, the head of his father's house.|en
8|1|5|5|他們的名字：屬流便的，有示丟珥的兒子以利蓿；|zh
9|1|5|5|These are the names of those who are to be your helpers: from Reuben, Elizur, the son of Shedeur;|en
10|1|6|6|屬西緬的，有蘇利沙代的兒子示路蔑；|zh
11|1|6|6|From Simeon, Shelumiel, the son of Zurishaddai;|en
12|1|7|7|屬猶大的，有亞米拿達的兒子拿順；|zh
13|1|7|7|From Judah, Nahshon, the son of Amminadab;|en
14|1|8|8|屬以薩迦的，有蘇押的兒子拿坦業；|zh
15|1|8|8|From Issachar, Nethanel, the son of Zuar;|en
16|1|9|9|屬西布倫的，有希倫的兒子以利押；|zh
17|1|9|9|From Zebulun, Eliab, the son of Helon;|en
18|1|10|10|約瑟子孫、屬以法蓮的，有亞米忽的兒子以利沙瑪；屬瑪拿西的，有比大蓿的兒子迦瑪列；|zh
19|1|10|10|Of the children of Joseph: from Ephraim, Elishama, the son of Ammihud; from Manasseh, Gamaliel, the son of Pedahzur,|en
20|1|11|11|屬便雅憫的，有基多尼的兒子亞比但；|zh
21|1|11|11|From Benjamin, Abidan, the son of Gideoni;|en
22|1|12|12|屬但的，有亞米沙代的兒子亞希以謝；|zh
23|1|12|12|From Dan, Ahiezer, the son of Ammi-shaddai;|en
24|1|13|13|屬亞設的，有俄蘭的兒子帕結；|zh
25|1|13|13|From Asher, Pagiel, the son of Ochran;|en
26|1|14|14|屬迦得的，有丟珥的兒子以利雅薩；|zh
27|1|14|14|From Gad, Eliasaph, the son of Reuel;|en
28|1|15|15|屬拿弗他利的，有以南的兒子亞希拉。|zh
29|1|15|15|From Naphtali, Ahira, the son of Enan.|en
30|1|16|16|這都是從會中選召的，各作本支派的首領，都是以色列軍中的統領。|zh
31|1|16|16|These are the men named out of all the people, chiefs of their fathers' houses, heads of the tribes of Israel.|en
32|1|17|17|於是，摩西、亞倫帶著這些按名指定的人，|zh
33|1|17|17|And Moses and Aaron took these men, marked out by name;|en
34|1|18|18|當二月初一日招聚全會眾。會眾就照他們的家室、宗族、人名的數目，從二十歲以外的，都述說自己的家譜。|zh
35|1|18|18|And they got together all the people on the first day of the second month; and everyone made clear his family and his father's house, by the number of the names, from twenty years old and over.|en
36|1|19|19|耶和華怎樣吩咐摩西，他就怎樣在西乃的曠野數點他們。|zh
37|1|19|19|As the Lord had given orders to Moses, so they were numbered by him in the waste place of Sinai.|en
38|1|20|20,21 |以色列的長子，流便子孫的後代，照著家室、宗族、人名的數目，從二十歲以外，凡能出去打仗、被數的男丁，共有四萬六千五百名。|zh
39|1|20|20|The generations of the sons of Reuben, the oldest son of Israel, were numbered by their families and their fathers' houses, every male of twenty years old and over, who was able to go to war;|en
40|1|21|21|Forty-six thousand, five hundred of the tribe of Reuben were numbered.|en
41|1|22|22,23 |西緬子孫的後代，照著家室、宗族、人名的數目，從二十歲以外，凡能出去打仗、被數的男丁，共有五萬九千三百名。|zh
42|1|22|22|The generations of the sons of Simeon were numbered by their families and their fathers' houses, every male of twenty years old and over, who was able to go to war;|en
43|1|23|23|Fifty-nine thousand, three hundred of the tribe of Simeon were numbered.|en
