|chapter|sec|no|content|lang
0|1|1|1|耶穌基督的僕人，雅各的弟兄猶大，寫信給那被召、在父神裡蒙愛、為耶穌基督保守的人。|zh
1|1|1|1|Jude, a servant of Jesus Christ and the brother of James, to those of God's selection who have been made holy by God the Father and are kept safe for Jesus Christ:|en
2|1|2|2|願憐恤、平安、慈愛多多的加給你們。|zh
3|1|2|2|May mercy and peace and love be increased in you.|en
4|1|3|3|親愛的弟兄阿，我想盡心寫信給你們，論我們同得救恩的時候，就不得不寫信勸你們，要為從前一次交付聖徒的真道竭力的爭辯。|zh
5|1|3|3|My loved ones, while my thoughts were full of a letter which I was going to send you about our common salvation, it was necessary for me to send you one requesting you with all my heart to go on fighting strongly for the faith which has been given to the saints once and for ever.|en
6|1|4|4|因為有些人偷著進來，就是自古被定受刑罰的，是不虔誠的，將我們神的恩變放縱情慾的機會，並且不認獨一的主宰─我們（或作和我們）主耶穌基督。|zh
7|1|4|4|For certain men have come among you secretly, marked out before in the holy Writings for this evil fate, men without the fear of God, turning his grace into an unclean thing, and false to our only Master and Lord, Jesus Christ.|en
8|1|5|5|從前主救了他的百姓出埃及地，後來就把那些不信的滅絕了。這一切的事，你們雖然都知道，我卻仍要提醒你們。|zh
9|1|5|5|Now it is my purpose to put you in mind, though you once had knowledge of all these things, of how the Lord, having taken a people safely out of Egypt, later sent destruction on those who had no faith;|en
10|1|6|6|又有不守本位、離開自己住處的天使，主用鎖鍊把他們永遠拘留在黑暗裡，等候大日的審判。|zh
11|1|6|6|And the angels who did not keep to their kingdom but went out from the place which was theirs, he has put in eternal chains and in dark night till the great day of the judging.|en
12|1|7|7|又如所多瑪、蛾摩拉和周圍城邑的人也照他們一味的行淫，隨從逆性的情慾，就受永火的刑罰，作為鑑戒。|zh
13|1|7|7|Even as Sodom and Gomorrah, and the towns near them, having like these, given themselves up to unclean desires and gone after strange flesh, have been made an example, undergoing the punishment of eternal fire.|en
14|1|8|8|這些做夢的人也像他們污穢身體，輕慢主治的，毀謗在尊位的。|zh
15|1|8|8|In the same way these dreamers make the flesh unclean, having no respect for authorities, and say evil of rulers.|en
16|1|9|9|天使長米迦勒{為摩西的屍首與魔鬼爭辯的時候，尚且不敢用毀謗的話罪責他，只說：主責備你罷！|zh
17|1|9|9|Now when Michael, one of the chief angels, was fighting against the Evil One for the body of Moses, fearing to make use of violent words against him, he only said, May the Lord be your judge.|en
18|1|10|10|但這些人毀謗他們所不知道的。他們本性所知道的事與那沒有靈性的畜類一樣，在這事上竟敗壞了自己。|zh
19|1|10|10|But these men say evil about such things as they have no knowledge of; and the things of which they have natural knowledge, like beasts without reason, are the cause of their destruction.|en
20|1|11|11|他們有禍了！因為走了該隱的道路，又為利往巴蘭的錯謬裡直奔，並在可拉的背叛中滅亡了。|zh
21|1|11|11|A curse on them! They have gone in the way of Cain, running uncontrolled into the error of Balaam for reward, and have come to destruction by saying evil against the Lord, like Korah.|en
22|1|12|12|這樣的人在你們的愛席上與你們同吃的時候，正是礁石（或作：玷污）。他們作牧人，只知餧養自己，無所懼怕；是沒有雨的雲彩，被風飄蕩；是秋天沒有果子的樹，死而又死，連根被拔出來；|zh
23|1|12|12|These men are unseen rocks at your love-feasts, when they take part in them with you, keepers of sheep who without fear take the food of the sheep; clouds without water rushing before the wind, wasted trees without fruit, twice dead, pulled up by the roots,|en
24|1|13|13|是海裡的狂浪，湧出自己可恥的沫子來；是流蕩的星，有墨黑的幽暗為他們永遠存留。|zh
25|1|13|13|Violent waves of the sea, streaming with their shame, wandering stars for whom the darkest night is kept in store for ever.|en
26|1|14|14|亞當的七世孫以諾，曾預言這些人說：看哪，主帶著他的千萬聖者降臨，|zh
27|1|14|14|The prophet Enoch, who was the seventh after Adam, said of these men, The Lord came with tens of thousands of his saints,|en
28|1|15|15|要在眾人身上行審判，證實那一切不敬虔的人，所妄行一切不敬虔的事，又證實不敬虔之罪人所說頂撞他的剛愎話。|zh
29|1|15|15|To be the judge of all, and to give a decision against all those whose lives are unpleasing to him, because of the evil acts which they have done, and because of all the hard things which sinners without fear of God have said against him.|en
30|1|16|16|這些人是私下議論，常發怨言的，隨從自己的情慾而行，口中說誇大的話，為得便宜諂媚人。|zh
31|1|16|16|These are the men who make trouble, ever desiring change, going after evil pleasures, using high-sounding words, respecting men's position in the hope of reward.|en
32|1|17|17|親愛的弟兄阿，你們要記念我們主耶穌基督之使徒從前所說的話。|zh
33|1|17|17|But you, my loved ones, keep in memory the words which were said before by the Apostles of our Lord Jesus Christ,|en
34|1|18|18|他們曾對你們說過，末世必有好譏誚的人隨從自己不敬虔的私慾而行。|zh
