|chapter|sec|no|content|lang
0|1|1|1|大衛王年紀老邁，雖用被遮蓋，仍不覺暖。|zh
1|1|1|1|Now King David was old and far on in years; and though they put covers over him, his body was cold.|en
2|1|2|2|所以臣僕對他說：不如為我主我王尋找一個處女，使他伺候王，奉養王，睡在王的懷中，好叫我主我王得暖。|zh
3|1|2|2|So his servants said to him, Let search be made for a young virgin for my lord the king, to take care of him and be waiting on him; and you may take her in your arms, and so my lord the king will be warm.|en
4|1|3|3|於是在以色列全境尋找美貌的童女，尋得書念的一個童女亞比煞，就帶到王那裡。|zh
5|1|3|3|So after searching through all the land of Israel for a fair young girl, they saw Abishag the Shunammite, and took her to the king.|en
6|1|4|4|這童女極其美貌，他奉養王，伺候王，王卻沒有與他親近。|zh
7|1|4|4|Now she was very beautiful; and she took care of the king, waiting on him at all times; but the king had no connection with her.|en
8|1|5|5|那時，哈及的兒子亞多尼雅自尊，說：我必作王，就為自己預備車輛、馬兵，又派五十人在他前頭奔走。|zh
9|1|5|5|Then Adonijah, the son of Haggith, lifting himself up in pride, said, I will become king; and he made ready his carriages of war and his horsemen, with fifty runners to go before him.|en
10|1|6|6|他父親素來沒有使他憂悶，說：你是做甚麼呢？他甚俊美，生在押沙龍之後。|zh
11|1|6|6|Now all his life his father had never gone against him or said to him, Why have you done so? and he was a very good-looking man, and younger than Absalom.|en
12|1|7|7|亞多尼雅與洗魯雅的兒子約押，和祭司亞比亞他商議；二人就順從他，幫助他。|zh
13|1|7|7|And he had talk with Joab, the son of Zeruiah, and with Abiathar the priest; and they were on his side and gave him their support.|en
14|1|8|8|但祭司撒督、耶何耶大的兒子比拿雅、先知拿單、示每、利以，並大衛的勇士都不順從亞多尼雅。|zh
15|1|8|8|But Zadok the priest, and Benaiah, the son of Jehoiada, and Nathan the prophet and Shimei and Rei, and David's men of war did not take the side of Adonijah.|en
16|1|9|9|一日，亞多尼雅在隱羅結旁、瑣希列磐石那裡宰了牛羊、肥犢，請他的諸弟兄，就是王的眾子，並所有作王臣僕的猶大人；|zh
17|1|9|9|Then Adonijah put to death sheep and oxen and fat beasts by the stone of Zoheleth, by En-rogel; and he sent for all his brothers, the king's sons, and all the men of Judah, the king's servants, to come to him:|en
18|1|10|10|惟獨先知拿單和比拿雅並勇士，與他的兄弟所羅門，他都沒有請。|zh
19|1|10|10|But he did not send for Nathan the prophet and Benaiah and the other men of war and Solomon his brother.|en
20|1|11|11|拿單對所羅門的母親拔示巴說：哈及的兒子亞多尼雅作王了，你沒有聽見麼？我們的主大衛卻不知道。|zh
21|1|11|11|Then Nathan said to Bath-sheba, the mother of Solomon, Has it not come to your ears that Adonijah, the son of Haggith, has made himself king without the knowledge of David our lord?|en
22|1|12|12|現在我可以給你出個主意，好保全你和你兒子所羅門的性命。|zh
23|1|12|12|So now, let me make a suggestion, so that you may keep your life safe and the life of your son Solomon.|en
24|1|13|13|你進去見大衛王，對他說：我主我王啊，你不曾向婢女起誓說：你兒子所羅門必接續我作王，坐在我的位上麼？現在亞多尼雅怎麼作了王呢？|zh
25|1|13|13|Come now, go to King David and say to him, Did you not, O my lord, take an oath to me, your servant, saying, Truly Solomon your son will be king after me, seated on the seat of my kingdom? why then is Adonijah acting as king?|en
26|1|14|14|你還與王說話的時候，我也隨後進去，證實你的話。|zh
27|1|14|14|And while you are still talking there with the king, see, I will come in after you and say that your story is true.|en
28|1|15|15|拔示巴進入內室見王，王甚老邁，書念的童女亞比煞正伺候王。|zh
29|1|15|15|Then Bath-sheba went into the king's room; now the king was very old, and Abishag the Shunammite was waiting on him.|en
30|1|16|16|拔示巴向王屈身下拜；王說：你要甚麼？|zh
31|1|16|16|And Bath-sheba went down on her face on the earth before the king giving him honour. And he said, What is your desire?|en
32|1|17|17|他說：我主啊，你曾向婢女指著耶和華─你的神起誓說：你兒子所羅門必接續我作王，坐在我的位上。|zh
33|1|17|17|And she said to him, My lord, you took an oath by the Lord your God and gave your word to your servant, saying, Truly, Solomon your son will be king after me, seated on the seat of my kingdom.|en
34|1|18|18|現在亞多尼雅作王了，我主我王卻不知道。|zh
35|1|18|18|And now, see, Adonijah has made himself king without my lord's knowledge;|en
36|1|19|19|他宰了許多牛羊、肥犢，請了王的眾子和祭司亞比亞他，並元帥約押；惟獨王的僕人所羅門，他沒有請。|zh
37|1|19|19|And has put to death oxen and fat beasts and sheep in great numbers, and has sent for all the sons of the king, and Abiathar the priest, and Joab, the captain of the army; but he has not sent for Solomon your servant.|en
38|1|20|20|我主我王啊，以色列眾人的眼目都仰望你，等你曉諭他們，在我主我王之後誰坐你的位。|zh
39|1|20|20|And now, my lord the king, the eyes of all Israel are on you, waiting for you to say who is to take the place of my lord the king after him.|en
40|1|21|21|若不然，到我主我王與列祖同睡以後，我和我兒子所羅門必算為罪人了。|zh
41|1|21|21|For as things are, it will come about, when my lord the king is sleeping with his fathers, that I and Solomon my son will be made outlaws.|en
42|1|22|22|拔示巴還與王說話的時候，先知拿單也進來了。|zh
43|1|22|22|And while she was still talking with the king, Nathan the prophet came in.|en
44|1|23|23|有人奏告王說：先知拿單來了。拿單進到王前，臉伏於地。|zh
45|1|23|23|And they said to the king, Here is Nathan the prophet. And when he came in before the king, he went down on his face on the earth.|en
46|1|24|24|拿單說：我主我王果然應許亞多尼雅說你必接續我作王，坐在我的位上麼？|zh
47|1|24|24|And Nathan said, O my lord king, have you said, Adonijah is to be king after me, seated on the seat of my kingdom?|en
48|1|25|25|他今日下去，宰了許多牛羊、肥犢，請了王的眾子和軍長，並祭司亞比亞他；他們正在亞多尼雅面前吃喝，說：願亞多尼雅王萬歲！|zh
49|1|25|25|Because today he has gone down and has put to death oxen and fat beasts and sheep in great numbers, and has sent for all the king's sons to come to him, with the captains of the army and Abiathar the priest; and they are feasting before him and crying, Long life to King Adonijah!|en
50|1|26|26|惟獨我，就是你的僕人和祭司撒督，耶何耶大的兒子比拿雅，並王的僕人所羅門，他都沒有請。|zh
51|1|26|26|But me, your servant, and Zadok the priest, and Benaiah, the son of Jehoiada, and your servant Solomon, he has not sent for.|en
52|1|27|27|這事果然出乎我主我王麼？王卻沒有告訴僕人們，在我主我王之後誰坐你的位。|zh
53|1|27|27|Has this thing been done by my lord the king, without giving word to your servants who was to be placed on my lord the king's seat after him?|en
54|1|28|28|大衛王吩咐說：叫拔示巴來。拔示巴就進來，站在王面前。|zh
55|1|28|28|Then King David in answer said, Send for Bath-sheba to come to me. And she came in and took her place before the king.|en
56|1|29|29|王起誓說：我指著救我性命脫離一切苦難、永生的耶和華起誓。|zh
57|1|29|29|And the king took an oath, and said, By the living Lord, who has been my saviour from all my troubles,|en
58|1|30|30|我既然指著耶和華─以色列的神向你起誓說：你兒子所羅門必接續我作王，坐在我的位上。我今日就必照這話而行。|zh
59|1|30|30|As I took an oath to you by the Lord, the God of Israel, saying, Certainly Solomon your son will become king after me, seated on my seat in my place; so will I do this day.|en
60|1|31|31|於是，拔示巴臉伏於地，向王下拜，說：願我主大衛王萬歲！|zh
61|1|31|31|Then Bath-sheba went down on her face on the earth before the king giving him honour, and said, May my lord King David go on living for ever.|en
62|1|32|32|大衛王又吩咐說：將祭司撒督、先知拿單、耶何耶大的兒子比拿雅召來！他們就都來到王面前。|zh
63|1|32|32|And King David said, Send for Zadok the priest, and Nathan the prophet, and Benaiah, the son of Jehoiada. And they came before the king.|en
64|1|33|33|王對他們說：要帶領你們主的僕人，使我兒子所羅門騎我的騾子，送他下到基訓；|zh
65|1|33|33|And the king said to them, Take with you the servants of your lord, and put Solomon my son on my beast, yes, mine, and take him down to Gihon;|en
66|1|34|34|在那裡，祭司撒督和先知拿單要膏他作以色列的王；你們也要吹角，說：願所羅門王萬歲！|zh
67|1|34|34|And there let Zadok the priest and Nathan the prophet put the holy oil on him to make him king over Israel; and sounding the horn say, Long life to King Solomon!|en
68|1|35|35|然後要跟隨他上來，使他坐在我的位上，接續我作王。我已立他作以色列和猶大的君。|zh
69|1|35|35|Then come up after him and he will come in and take his place on the seat of my kingdom; for he is to be king in my place, and I have given orders that he is to be ruler over Israel and over Judah.|en
70|1|36|36|耶何耶大的兒子比拿雅對王說：阿們！願耶和華─我主我王的神也這樣命定。|zh
71|1|36|36|And Benaiah, the son of Jehoiada, answering the king, said, So be it: and may the Lord, the God of my lord the king, say so.|en
72|1|37|37|耶和華怎樣與我主我王同在，願他照樣與所羅門同在，使他的國位比我主大衛王的國位更大。|zh
73|1|37|37|As the Lord has been with my lord the king, even so may he be with Solomon and make the seat of his authority greater than that of my lord King David.|en
74|1|38|38|於是，祭司撒督、先知拿單、耶何耶大的兒子比拿雅，和基利提人、比利提人都下去使所羅門騎大衛王的騾子，將他送到基訓。|zh
75|1|38|38|So Zadok the priest, and Nathan the prophet, and Benaiah, the son of Jehoiada, and the Cherethites and the Pelethites, went down and put Solomon on King David's beast and took him to Gihon.|en
76|1|39|39|祭司撒督就從帳幕中取了盛膏油的角來，用膏膏所羅門。人就吹角，眾民都說：願所羅門王萬歲！|zh
77|1|39|39|And Zadok the priest took the vessel of oil out of the Tent, and put the holy oil on Solomon. And when the horn was sounded, all the people said, Long life to King Solomon!|en
78|1|40|40|眾民跟隨他上來，且吹笛，大大歡呼，聲音震地。|zh
79|1|40|40|And all the people came up after him, piping with pipes, and they were glad with great joy, so that the earth was shaking with the sound.|en
80|1|41|41|亞多尼雅和所請的眾客筵宴方畢，聽見這聲音；約押聽見角聲就說：城中為何有這響呢？|zh
81|1|41|41|And it came to the ears of Adonijah and all the guests who were with him, when their meal was ended. And Joab, hearing the sound of the horn, said, What is the reason of this noise as if the town was worked up?|en
82|1|42|42|他正說話的時候，祭司亞比亞他的兒子約拿單來了。亞多尼雅對他說：進來罷！你是個忠義的人，必是報好信息。|zh
83|1|42|42|And while the words were on his lips, Jonathan, the son of Abiathar the priest, came; and Adonijah said, Come in; for you are a man of good faith and the news which you have for us will be good.|en
84|1|43|43|約拿單對亞多尼雅說：我們的主大衛王誠然立所羅門為王了。|zh
85|1|43|43|And Jonathan, answering, said to Adonijah, Not so, but our lord King David has made Solomon king:|en
86|1|44|44|王差遣祭司撒督、先知拿單、耶何耶大的兒子比拿雅，和基利提人、比利提人都去使所羅門騎王的騾子。|zh
87|1|44|44|And he sent with him Zadok the priest, and Nathan the prophet, and Benaiah, the son of Jehoiada, and the Cherethites and the Pelethites; and they put him on the king's beast:|en
88|1|45|45|祭司撒督和先知拿單在基訓已經膏他作王。眾人都從那裡歡呼著上來，聲音使城震動，這就是你們所聽見的聲音；|zh
89|1|45|45|And Zadok the priest and Nathan the prophet put the holy oil on him and made him king in Gihon; and they came back from there with joy, and the town was all worked up. This is the noise which has come to your ears.|en
90|1|46|46|並且所羅門登了國位。|zh
91|1|46|46|And now Solomon is seated on the seat of the kingdom.|en
92|1|47|47|王的臣僕也來為我們的主大衛王祝福，說：願王的神使所羅門的名比王的名更尊榮；使他的國位比王的國位更大。王就在床上屈身下拜。|zh
93|1|47|47|And the king's servants came to our lord King David, blessing him and saying, May God make the name of Solomon better than your name, and the seat of his authority greater than your seat; and the king was bent low in worship on his bed.|en
94|1|48|48|王又說：耶和華─以色列的神是應當稱頌的；因他賜我一人今日坐在我的位上，我也親眼看見了。|zh
95|1|48|48|Then the king said, May the God of Israel be praised, who has given one of my seed to be king in my place this day and has let my eyes see it.|en
96|1|49|49|亞多尼雅的眾客聽見這話就都驚懼，起來四散。|zh
97|1|49|49|And all the guests of Adonijah got up in fear and went away, every man to his place.|en
98|1|50|50|亞多尼雅懼怕所羅門，就起來，去抓住祭壇的角。|zh
99|1|50|50|And Adonijah himself was full of fear because of Solomon; and he got up and went to the altar, and put his hands on its horns.|en
100|1|51|51|有人告訴所羅門說：亞多尼雅懼怕所羅門王，現在抓住祭壇的角，說：願所羅門王今日向我起誓，必不用刀殺僕人。|zh
101|1|51|51|And they gave Solomon word of it, saying, See, Adonijah goes in such fear of King Solomon, that he has put his hands on the horns of the altar, saying, Let King Solomon first give me his oath that he will not put his servant to death with the sword.|en
102|1|52|52|所羅門說：他若作忠義的人，連一根頭髮也不致落在地上；他若行惡，必要死亡。|zh
