|chapter|sec|no|content|lang
0|1|1|1|耶和華藉瑪拉基傳給以色列的默示。|zh
1|1|1|1|The word of the Lord to Israel by Malachi.|en
2|1|2|2|耶和華說：我曾愛你們。你們卻說：你在何事上愛我們呢？耶和華說：以掃不是雅各的哥哥麼？我卻愛雅各，|zh
3|1|2|2|You have been loved by me, says the Lord. But you say, Where was your love for us? Was not Esau Jacob's brother? says the Lord: but Jacob was loved by me,|en
4|1|3|3|惡以掃，使他的山嶺荒涼，把他的地業交給曠野的野狗。|zh
5|1|3|3|And Esau was hated, and I sent destruction on his mountains, and gave his heritage to the beasts of the waste land.|en
6|1|4|4|以東人說：我們現在雖被毀壞，卻要重建荒廢之處。萬軍之耶和華如此說：任他們建造，我必拆毀；人必稱他們的地為罪惡之境；稱他們的民為耶和華永遠惱怒之民。|zh
7|1|4|4|Though Edom says, We are crushed down but we will come back, building up the waste places; this is what the Lord of armies has said: They may put up buildings, but I will have them pulled down; and they will be named The land of evil-doing, and The people against whom the Lord keeps his wrath for ever.|en
8|1|5|5|你們必親眼看見，也必說：願耶和華在以色列境界之外被尊為大！|zh
9|1|5|5|And your eyes will see it; and you will say, The Lord is great even outside the limits of Israel.|en
10|1|6|6|藐視我名的祭司啊，萬軍之耶和華對你們說：兒子尊敬父親，僕人敬畏主人；我既為父親，尊敬我的在哪裡呢？我既為主人，敬畏我的在哪裡呢？你們卻說：我們在何事上藐視你的名呢？|zh
11|1|6|6|A son gives honour to his father, and a servant has fear of his master: if then I am a father, where is my honour? and if I am a master, where is the fear of me? says the Lord of armies to you, O priests, who give no value to my name. And you say, How have we not given value to your name?|en
12|1|7|7|你們將污穢的食物獻在我的壇上，且說：我們在何事上污穢你呢？因你們說，耶和華的桌子是可藐視的。|zh
13|1|7|7|You put unclean bread on my altar. And you say, How have we made it unclean? By your saying, The table of the Lord is of no value.|en
14|1|8|8|你們將瞎眼的獻為祭物，這不為惡麼？將瘸腿的、有病的獻上，這不為惡麼？你獻給你的省長，他豈喜悅你，豈能看你的情面麼？這是萬軍之耶和華說的。|zh
15|1|8|8|And when you give what is blind for an offering, it is no evil! and when you give what is damaged and ill, it is no evil! Give it now to your ruler; will he be pleased with you, or will you have his approval? says the Lord of armies.|en
16|1|9|9|現在我勸你們懇求神，他好施恩與我們。這妄獻的事，既由你們經手，他豈能看你們的情面麼？這是萬軍之耶和華說的。|zh
17|1|9|9|And now, make request for the grace of God so that he may have mercy on us: this has been your doing: will he give his approval to any of you? says the Lord of armies.|en
18|1|10|10|甚願你們中間有一人關上殿門，免得你們徒然在我壇上燒火。萬軍之耶和華說：我不喜悅你們，也不從你們手中收納供物。|zh
19|1|10|10|If only there was one among you who would see that the doors were shut, so that you might not put a light to the fire on my altar for nothing! I have no pleasure in you, says the Lord of armies, and I will not take an offering from your hands.|en
20|1|11|11|萬軍之耶和華說：從日出之地到日落之處，我的名在外邦中必尊為大。在各處，人必奉我的名燒香，獻潔淨的供物，因為我的名在外邦中必尊為大。|zh
21|1|11|11|For, from the coming up of the sun till its going down, my name is great among the Gentiles; and in every place the smell of burning flesh is offered to my name, and a clean offering: for my name is great among the Gentiles, says the Lord of armies.|en
22|1|12|12|你們卻褻瀆我的名，說：耶和華的桌子是污穢的，其上的食物是可藐視的。|zh
23|1|12|12|But you make it unholy by saying, The Lord's table has become unclean, and his food is of no value.|en
24|1|13|13|你們又說：這些事何等煩瑣！並嗤之以鼻。這是萬軍之耶和華說的。你們把搶奪的、瘸腿的、有病的拿來獻上為祭。我豈能從你們手中收納呢？這是耶和華說的。|zh
25|1|13|13|And you say, See, what a weariness it is! and you let out your breath at it, says the Lord of armies; and you have given what has been cut about by beasts, and what is damaged in its feet and ill; this is the offering you give: will this be pleasing to me from your hands? says the Lord.|en
26|1|14|14|行詭詐的在群中有公羊，他許願卻用有殘疾的獻給主，這人是可咒詛的。因為我是大君王，我的名在外邦中是可畏的。這是萬軍之耶和華說的。|zh
27|1|14|14|A curse on the false man who has a male in his flock, and takes his oath, and gives to the Lord a damaged thing: for I am a great King, says the Lord of armies, and my name is to be feared among the Gentiles.|en
28|2|1|1|眾祭司啊，這誡命是傳給你們的。|zh
29|2|1|1|And now, O you priests, this order is for you.|en
30|2|2|2|萬軍之耶和華說：你們若不聽從，也不放在心上，將榮耀歸與我的名，我就使咒詛臨到你們，使你們的福分變為咒詛；因你們不把誡命放在心上，我已經咒詛你們了。|zh
31|2|2|2|If you will not give ear and take it to heart, to give glory to my name, says the Lord of armies, then I will send the curse on you and will put a curse on your blessing: truly, even now I have put a curse on it, because you do not take it to heart.|en
32|2|3|3|我必斥責你們的種子，又把你們犧牲的糞抹你們的臉上；你們要與糞一同除掉。|zh
33|2|3|3|See, I will have your arm cut off, and will put waste on your faces, even the waste from your feasts; and you will be taken away with it.|en
34|2|4|4|你們就知道我傳這誡命給你們，使我與利未（或譯：利未人）所立的約可以常存。這是萬軍之耶和華說的。|zh
35|2|4|4|And you will be certain that I have sent this order to you, so that it might be my agreement with Levi, says the Lord of armies.|en
36|2|5|5|我曾與他立生命和平安的約。我將這兩樣賜給他，使他存敬畏的心，他就敬畏我，懼怕我的名。|zh
37|2|5|5|My agreement with him was on my side life and peace, and I gave them to him; on his side fear, and he had fear of me and gave honour to my name.|en
38|2|6|6|真實的律法在他口中，他嘴裡沒有不義的話。他以平安和正直與我同行，使多人回頭離開罪孽。|zh
39|2|6|6|True teaching was in his mouth, and no evil was seen on his lips: he was walking with me in peace and righteousness, turning numbers of people away from evil-doing.|en
40|2|7|7|祭司的嘴裡當存知識，人也當由他口中尋求律法，因為他是萬軍之耶和華的使者。|zh
41|2|7|7|For it is right for the priest's lips to keep knowledge, and for men to be waiting for the law from his mouth: for he is the servant sent from the Lord of armies.|en
42|2|8|8|你們卻偏離正道，使許多人在律法上跌倒。你們廢棄我與利未所立的約。這是萬軍之耶和華說的。|zh
43|2|8|8|But you are turned out of the way; you have made the law hard for numbers of people; you have made the agreement of Levi of no value, says the Lord of armies.|en
44|2|9|9|所以我使你們被眾人藐視，看為下賤；因你們不守我的道，竟在律法上瞻徇情面。|zh
45|2|9|9|And so I have taken away your honour and made you low before all the people, even as you have not kept my ways, and have given no thought to me in using the law.|en
