|chapter|sec|no|content|lang
0|1|1|1|當猶大王亞們的兒子約西亞在位的時候，耶和華的話臨到希西家的玄孫，亞瑪利雅的曾孫，基大利的孫子，古示的兒子西番雅。|zh
1|1|1|1|The word of the Lord which came to Zephaniah, the son of Cushi, the son of Gedaliah, the son of Amariah, the son of Hezekiah, in the days of Josiah, the son of Amon, king of Judah.|en
2|1|2|2|耶和華說：我必從地上除滅萬類。|zh
3|1|2|2|I will take away everything from the face of the earth, says the Lord.|en
4|1|3|3|我必除滅人和牲畜，與空中的鳥、海裡的魚，以及絆腳石和惡人；我必將人從地上剪除。這是耶和華說的。|zh
5|1|3|3|I will take away man and beast; I will take away the birds of the heaven and the fishes of the sea; causing the downfall of the evil-doers, and cutting man off from the face of the earth, says the Lord.|en
6|1|4|4|我必伸手攻擊猶大和耶路撒冷的一切居民，也必從這地方剪除所剩下的巴力，並基瑪林的名和祭司，|zh
7|1|4|4|And my hand will be stretched out on Judah and on all the people of Jerusalem, cutting off the name of the Baal from this place, and the name of the false priests,|en
8|1|5|5|與那些在房頂上敬拜天上萬象的，並那些敬拜耶和華指著他起誓，又指著瑪勒堪起誓的，|zh
9|1|5|5|And the worshippers of the army of heaven on the house-tops, and the Lord's worshippers who take oaths by Milcom,|en
10|1|6|6|與那些轉去不跟從耶和華的，和不尋求耶和華也不訪問他的。|zh
11|1|6|6|And those who are turned back from going after the Lord, and those who have not made prayer to the Lord or got directions from him.|en
12|1|7|7|你要在主耶和華面前靜默無聲，因為耶和華的日子快到。耶和華已經預備祭物，將他的客分別為聖。|zh
13|1|7|7|Let there be no sound before the Lord God: for the day of the Lord is near: for the Lord has made ready an offering, he has made his guests holy.|en
14|1|8|8|到了我─耶和華獻祭的日子，必懲罰首領和王子，並一切穿外邦衣服的。|zh
15|1|8|8|And it will come about in the day of the Lord's offering, that I will send punishment on the rulers and the king's sons and all who are clothed in robes from strange lands.|en
16|1|9|9|到那日，我必懲罰一切跳過門檻、將強暴和詭詐得來之物充滿主人房屋的。|zh
17|1|9|9|And in that day I will send punishment on all those who come jumping over the doorstep and make their master's house full of violent behaviour and deceit.|en
18|1|10|10|耶和華說：當那日，從魚門必發出悲哀的聲音，從二城發出哀號的聲音，從山間發出大破裂的響聲。|zh
19|1|10|10|And in that day, says the Lord, there will be the sound of a cry from the fish doorway, and an outcry from the new town, and a great thundering from the hills, and cries of grief from the people of the Hollow;|en
20|1|11|11|瑪革提施的居民哪，你們要哀號，因為迦南的商民都滅亡了！凡搬運銀子的都被剪除。|zh
21|1|11|11|Because of the downfall of all the people of Canaan: all those who were weighted down with silver have been cut off.|en
22|1|12|12|那時，我必用燈巡查耶路撒冷；我必懲罰那些如酒在渣滓上澄清的；他們心裡說：耶和華必不降福，也不降禍。|zh
23|1|12|12|And it will come about at that time, that I will go searching through Jerusalem with lights; and I will send punishment on the men who have become like wine stored over-long, who say to themselves, The Lord will not do good and will not do evil.|en
24|1|13|13|他們的財寶必成為掠物；他們的房屋必變為荒場。他們必建造房屋，卻不得住在其內；栽種葡萄園，卻不得喝所出的酒。|zh
25|1|13|13|And their wealth will be violently taken away, and their houses will be made waste: they will go on building houses and never living in them, and planting vine-gardens but not drinking the wine from them.|en
26|1|14|14|耶和華的大日臨近，臨近而且甚快，乃是耶和華日子的風聲；勇士必痛痛地哭號。|zh
27|1|14|14|The great day of the Lord is near, it is near and coming very quickly; the bitter day of the Lord is near, coming on more quickly than a man of war.|en
28|1|15|15|那日是忿怒的日子，是急難困苦的日子，是荒廢淒涼的日子，是黑暗幽冥、密雲烏黑的日子，|zh
29|1|15|15|That day is a day of wrath, a day of trouble and sorrow, a day of wasting and destruction, a day of dark night and deep shade, a day of cloud and thick dark.|en
30|1|16|16|是吹角吶喊的日子，要攻擊堅固城和高大的城樓。|zh
31|1|16|16|A day of sounding the horn and the war-cry against the walled towns and the high towers.|en
32|1|17|17|我必使災禍臨到人身上，使他們行走如同瞎眼的，因為得罪了我。他們的血必倒出如灰塵；他們的肉必拋棄如糞土。|zh
33|1|17|17|And I will send trouble on men so that they will go about like the blind, because they have done evil against the Lord: and their blood will be drained out like dust, and their strength like waste.|en
34|1|18|18|當耶和華發怒的日子，他們的金銀不能救他們；他的忿怒如火必燒滅全地，毀滅這地的一切居民，而且大大毀滅。|zh
35|1|18|18|Even their silver and their gold will not be able to keep them safe in the day of the Lord's wrath; but all the land will be burned up in the fire of his bitter wrath: for he will put an end, even suddenly, to all who are living in the land.|en
36|2|1|1,2 |不知羞恥的國民哪，你們應當聚集！趁命令沒有發出，日子過去如風前的糠，耶和華的烈怒未臨到你們，他發怒的日子未到以先，你們應當聚集前來。|zh
37|2|1|1|Come together, make everyone come together, O nation without shame;|en
