|chapter|sec|no|content|lang
0|1|1|1|以色列王大衛兒子所羅門的箴言：|zh
1|1|1|1|The wise sayings of Solomon, the son of David, king of Israel.|en
2|1|2|2|要使人曉得智慧和訓誨，分辨通達的言語，|zh
3|1|2|2|To have knowledge of wise teaching; to be clear about the words of reason:|en
4|1|3|3|使人處事領受智慧、仁義、公平、正直的訓誨，|zh
5|1|3|3|To be trained in the ways of wisdom, in righteousness and judging truly and straight behaviour:|en
6|1|4|4|使愚人靈明，使少年人有知識和謀略，|zh
7|1|4|4|To make the simple-minded sharp, and to give the young man knowledge, and serious purpose:|en
8|1|5|5|使智慧人聽見，增長學問，使聰明人得著智謀|zh
9|1|5|5|(The wise man, hearing, will get greater learning, and the acts of the man of good sense will be wisely guided:)|en
10|1|6|6|使人明白箴言和譬喻，懂得智慧人的言詞和謎語。|zh
11|1|6|6|To get the sense of wise sayings and secrets, and of the words of the wise and their dark sayings.|en
12|1|7|7|敬畏耶和華是知識的開端；愚妄人藐視智慧和訓誨。|zh
13|1|7|7|The fear of the Lord is the start of knowledge: but the foolish have no use for wisdom and teaching.|en
14|1|8|8|我兒，要聽你父親的訓誨，不可離棄你母親的法則（或譯：指教）；|zh
15|1|8|8|My son, give ear to the training of your father, and do not give up the teaching of your mother:|en
16|1|9|9|因為這要作你頭上的華冠，你項上的金鍊。|zh
17|1|9|9|For they will be a crown of grace for your head, and chain-ornaments about your neck.|en
18|1|10|10|我兒，惡人若引誘你，你不可隨從。|zh
19|1|10|10|My son, if sinners would take you out of the right way, do not go with them.|en
20|1|11|11|他們若說：你與我們同去，我們要埋伏流人之血，要蹲伏害無罪之人；|zh
21|1|11|11|If they say, Come with us; let us make designs against the good, waiting secretly for the upright, without cause;|en
22|1|12|12|我們好像陰間，把他們活活吞下；他們如同下坑的人，被我們囫圇吞了；|zh
23|1|12|12|Let us overcome them living, like the underworld, and in their strength, as those who go down to death;|en
24|1|13|13|我們必得各樣寶物，將所擄來的，裝滿房屋；|zh
25|1|13|13|Goods of great price will be ours, our houses will be full of wealth;|en
