|chapter|sec|no|content|lang
0|1|1|1|作長老的寫信給親愛的該猶，就是我誠心所愛的。|zh
1|1|1|1|I, a ruler in the church, send word to the well loved Gaius, for whom I have true love.|en
2|1|2|2|親愛的兄弟阿，我願你凡事興盛，身體健壯，正如你的靈魂興盛一樣。|zh
3|1|2|2|My loved one, it is my prayer that you may do well in all things, and be healthy in body, even as your soul does well.|en
4|1|3|3|有弟兄來證明你心裡存的真理，正如你按真理而行，我就甚喜樂。|zh
5|1|3|3|For it gave me great joy when some of the brothers came and gave witness that you had the true faith and were walking in the true way.|en
6|1|4|4|我聽見我的兒女們按真理而行，我的喜樂就沒有比這個大的。|zh
7|1|4|4|I have no greater joy than to have news that my children are walking in the true way.|en
8|1|5|5|親愛的兄弟阿，凡你向作客旅之弟兄所行的都是忠心的。|zh
9|1|5|5|My loved one, you are doing a good work in being kind to those brothers who come from other places;|en
10|1|6|6|他們在教會面前證明了你的愛；你若配得過神，幫助他們往前行，這就好了。|zh
11|1|6|6|Who have given witness to the church of your love for them: and you will do well to send them on their way well cared for, as is right for servants of God:|en
12|1|7|7|因他們是為主的名（原文是那名）出外，對於外邦人一無所取。|zh
13|1|7|7|For they went out for love of the Name, taking nothing from the Gentiles.|en
14|1|8|8|所以我們應該接待這樣的人，叫我們與他們一同為真理做工。|zh
15|1|8|8|So it is right for us to take in such men as guests, so that we may take our part in the work of the true faith.|en
16|1|9|9|我曾略略的寫信給教會，但那在教會中好為首的丟特腓不接待我們。|zh
17|1|9|9|I sent a letter to the church, but Diotrephes, whose desire is ever to have the first place among them, will not have us there.|en
18|1|10|10|所以我若去，必要提說他所行的事，就是他用惡言妄論我們。還不以此為足，他自己不接待弟兄，有人願意接待，他也禁止，並且將接待弟兄的人趕出教會。|zh
19|1|10|10|So if I come, I will keep in mind the things he does, talking against us with evil words: and as if this was not enough, he does not take the brothers into his house, and those who are ready to take them in, he keeps from doing so, putting them out of the church if they do.|en
20|1|11|11|親愛的兄弟阿，不要效法惡，只要效法善。行善的屬乎神；行惡的未曾見過神。|zh
21|1|11|11|My loved one, do not be copying what is evil, but what is good. He who does good is of God: he who does evil has not seen God.|en
22|1|12|12|低米丟行善，有眾人給他作見證，又有真理給他作見證；就是我們也給他作見證。你也知道我們的見證是真的。|zh
23|1|12|12|Demetrius has the approval of all men and of what is true: and we give the same witness, and you are certain that our witness is true.|en
24|1|13|13|我原有許多事要寫給你，卻不願意用筆墨寫給你，|zh
25|1|13|13|I had much to say to you, but it is not my purpose to put it all down with ink and pen:|en
26|1|14|14|但盼望快快的見你，我們就當面談論。[(IIIJohn1:15)願你平安。眾位朋友都問你安。請你替我按著姓名問眾位朋友安。]|zh
27|1|14|14|But I am hoping to see you in a short time, and to have talk with you face to face.|en
