|chapter|sec|no|content|lang
0|1|1|1|基督耶穌的僕人保羅和提摩太寫信給凡住腓立比、在基督耶穌裡的眾聖徒，和諸位監督，諸位執事。|zh
1|1|1|1|Paul and Timothy, servants of Jesus Christ, to all the saints in Christ Jesus at Philippi, with the Bishops and Deacons of the church:|en
2|1|2|2|願恩惠、平安從神我們的父並主耶穌基督歸與你們！|zh
3|1|2|2|Grace to you and peace from God our Father and the Lord Jesus Christ.|en
4|1|3|3|我每逢想念你們，就感謝我的神；|zh
5|1|3|3|I give praise to my God at every memory of you,|en
6|1|4|4|每逢為你們眾人祈求的時候，常是歡歡喜喜的祈求。|zh
7|1|4|4|And in all my prayers for you all, making my request with joy,|en
8|1|5|5|因為從頭一天直到如今，你們是同心合意的興旺福音。|zh
9|1|5|5|Because of your help in giving the good news from the first day till now;|en
10|1|6|6|我深信那在你們心裡動了善工的，必成全這工，直到耶穌基督的日子。|zh
11|1|6|6|For I am certain of this very thing, that he by whom the good work was started in you will make it complete till the day of Jesus Christ:|en
12|1|7|7|我為你們眾人有這樣的意念，原是應當的；因你們常在我心裡，無論我是在捆鎖之中，是辯明證實福音的時候，你們都與我一同得恩。|zh
13|1|7|7|So it is right for me to take thought for you all in this way, because I have you in my heart; for in my chains, and in my arguments before the judges in support of the good news, making clear that it is true, you all have your part with me in grace.|en
14|1|8|8|我體會基督耶穌的心腸，切切的想念你們眾人；這是神可以給我作見證的。|zh
15|1|8|8|For God is my witness, how my love goes out to you all in the loving mercies of Christ Jesus.|en
16|1|9|9|我所禱告的，就是要你們的愛心在知識和各樣見識上多而又多，|zh
17|1|9|9|And my prayer is that you may be increased more and more in knowledge and experience;|en
18|1|10|10|使你們能分別是非（或作：喜愛那美好的事），作誠實無過的人，直到基督的日子；|zh
19|1|10|10|So that you may give your approval to the best things; that you may be true and without wrongdoing till the day of Christ;|en
20|1|11|11|並靠著耶穌基督結滿了仁義的果子，叫榮耀稱讚歸與神。|zh
21|1|11|11|Being full of the fruits of righteousness, which are through Jesus Christ, to the glory and praise of God.|en
22|1|12|12|弟兄們，我願意你們知道，我所遭遇的事更是叫福音興旺，|zh
23|1|12|12|Now it is my purpose to make clear to you, brothers, that the cause of the good news has been helped by my experiences;|en
24|1|13|13|以致我受的捆鎖在御營全軍和其餘的人中，已經顯明是為基督的緣故。|zh
25|1|13|13|So that it became clear through all the Praetorium, and to all the rest, that I was a prisoner on account of Christ;|en
26|1|14|14|並且那在主裡的弟兄多半因我受的捆鎖就篤信不疑，越發放膽傳神的道，無所懼怕。|zh
27|1|14|14|And most of the brothers in the Lord, taking heart because of my chains, are all the stronger to give the word of God without fear.|en
28|1|15|15|有的傳基督是出於嫉妒紛爭，也有的是出於好意。|zh
29|1|15|15|Though some are preaching Christ out of envy and competition, others do it out of a good heart:|en
30|1|16|16|這一等是出於愛心，知道我是為辯明福音設立的；|zh
31|1|16|16|These do it from love, conscious that I am responsible for the cause of the good news:|en
32|1|17|17|那一等傳基督是出於結黨，並不誠實，意思要加增我捆鎖的苦楚。|zh
33|1|17|17|But those are preaching Christ in a spirit of competition, not from their hearts, but with the purpose of giving me pain in my prison.|en
34|1|18|18|這有何妨呢？或是假意，或是真心，無論怎樣，基督究竟被傳開了。為此，我就歡喜，並且還要歡喜；|zh
35|1|18|18|What then? only that in every way, falsely or truly, the preaching of Christ goes on; and in this I am glad, and will be glad.|en
36|1|19|19|因為我知道，這事藉著你們的祈禱和耶穌基督之靈的幫助，終必叫我得救。|zh
37|1|19|19|For I am conscious that this will be for my salvation, through your prayer and the giving out of the stored wealth of the Spirit of Jesus Christ,|en
38|1|20|20|照著我所切慕、所盼望的，沒有一事叫我羞愧。只要凡事放膽，無論是生是死，總叫基督在我身上照常顯大。|zh
39|1|20|20|In the measure of my strong hope and belief that in nothing will I be put to shame, but that without fear, as at all times, so now will Christ have glory in my body, by life or by death.|en
40|1|21|21|因我活著就是基督，我死了就有益處。|zh
41|1|21|21|For to me life is Christ and death is profit.|en
42|1|22|22|但我在肉身活著，若成就我工夫的果子，我就不知道該挑選甚麼。|zh
43|1|22|22|But if I go on living in the flesh--if this is the fruit of my work--then I do not see what decision to make.|en
44|1|23|23|我正在兩難之間，情願離世與基督同在，因為這是好得無比的。|zh
45|1|23|23|I am in a hard position between the two, having a desire to go away and be with Christ, which is very much better:|en
46|1|24|24|然而，我在肉身活著，為你們更是要緊的。|zh
47|1|24|24|Still, to go on in the flesh is more necessary because of you.|en
48|1|25|25|我既然這樣深信，就知道仍要住在世間，且與你們眾人同住，使你們在所信的道上又長進又喜樂，|zh
49|1|25|25|And being certain of this, I am conscious that I will go on, yes, and go on with you all, for your growth and joy in the faith;|en
50|1|26|26|叫你們在基督耶穌裡的歡樂，因我再到你們那裡去，就越發加增。|zh
51|1|26|26|So that your pride in me may be increased in Christ Jesus through my being present with you again.|en
52|1|27|27|只要你們行事為人與基督的福音相稱，叫我或來見你們，或不在你們那裡，可以聽見你們的景況，知道你們同有一個心志，站立得穩，為所信的福音齊心努力。|zh
53|1|27|27|Only let your behaviour do credit to the good news of Christ, so that if I come and see you or if I am away from you, I may have news of you that you are strong in one spirit, working together with one soul for the faith of the good news;|en
54|1|28|28|凡事不怕敵人的驚嚇，這是證明他們沉淪，你們得救都是出於神。|zh
55|1|28|28|Having no fear of those who are against you; which is a clear sign of their destruction, but of your salvation, and that from God;|en
56|1|29|29|因為你們蒙恩，不但得以信服基督，並要為他受苦。|zh
57|1|29|29|Because to you it has been given in the cause of Christ not only to have faith in him, but to undergo pain on his account:|en
58|1|30|30|你們的爭戰，就與你們在我身上從前所看見、現在所聽見的一樣。|zh
59|1|30|30|Fighting the same fight which you saw in me, and now have word of in me.|en
60|2|1|1|所以，在基督裡若有甚麼勸勉，愛心有甚麼安慰，聖靈有甚麼交通，心中有甚麼慈悲憐憫，|zh
61|2|1|1|If then there is any comfort in Christ, any help given by love, any uniting of hearts in the Spirit, any loving mercies and pity,|en
62|2|2|2|你們就要意念相同，愛心相同，有一樣的心思，有一樣的意念，使我的喜樂可以滿足。|zh
63|2|2|2|Make my joy complete by being of the same mind, having the same love, being in harmony and of one mind;|en
64|2|3|3|凡事不可結黨，不可貪圖虛浮的榮耀；只要存心謙卑，各人看別人比自己強。|zh
65|2|3|3|Doing nothing through envy or through pride, but with low thoughts of self let everyone take others to be better than himself;|en
66|2|4|4|各人不要單顧自己的事，也要顧別人的事。|zh
67|2|4|4|Not looking everyone to his private good, but keeping in mind the things of others.|en
68|2|5|5|你們當以基督耶穌的心為心：|zh
69|2|5|5|Let this mind be in you which was in Christ Jesus,|en
70|2|6|6|他本有神的形像，不以自己與神同等為強奪的；|zh
71|2|6|6|To whom, though himself in the form of God, it did not seem that to take for oneself was to be like God;|en
72|2|7|7|反倒虛己，取了奴僕的形像，成為人的樣式；|zh
73|2|7|7|But he made himself as nothing, taking the form of a servant, being made like men;|en
74|2|8|8|既有人的樣子，就自己卑微，存心順服，以至於死，且死在十字架上。|zh
75|2|8|8|And being seen in form as a man, he took the lowest place, and let himself be put to death, even the death of the cross.|en
76|2|9|9|所以，神將他升為至高，又賜給他那超乎萬名之上的名，|zh
77|2|9|9|For this reason God has put him in the highest place and has given to him the name which is greater than every name;|en
78|2|10|10|叫一切在天上的、地上的，和地底下的，因耶穌的名無不屈膝，|zh
79|2|10|10|So that at the name of Jesus every knee may be bent, of those in heaven and those on earth and those in the underworld,|en
80|2|11|11|無不口稱耶穌基督為主，使榮耀歸與父神。|zh
81|2|11|11|And that every tongue may give witness that Jesus Christ is Lord, to the glory of God the Father.|en
82|2|12|12|這樣看來，我親愛的弟兄，你們既是常順服的，不但我在你們那裡，就是我如今不在你們那裡，更是順服的，就當恐懼戰兢做成你們得救的工夫。|zh
83|2|12|12|So then, my loved ones, as you have at all times done what I say, not only when I am present, but now much more when I am not with you, give yourselves to working out your salvation with fear in your hearts;|en
84|2|13|13|因為你們立志行事都是神在你們心裡運行，為要成就他的美意。|zh
85|2|13|13|For it is God who is the cause of your desires and of your acts, for his good pleasure.|en
86|2|14|14|凡所行的，都不要發怨言，起爭論，|zh
87|2|14|14|Do all things without protests and arguments;|en
88|2|15|15|使你們無可指摘，誠實無偽，在這彎曲悖謬的世代作神無瑕疵的兒女。你們顯在這世代中，好像明光照耀，|zh
89|2|15|15|So that you may be holy and gentle, children of God without sin in a twisted and foolish generation, among whom you are seen as lights in the world,|en
90|2|16|16|將生命的道表明出來，叫我在基督的日子好誇我沒有空跑，也沒有徒勞。|zh
91|2|16|16|Offering the word of life; so that I may have glory in you in the day of Christ, because my running was not for nothing and my work was not without effect.|en
92|2|17|17|我以你們的信心為供獻的祭物，我若被澆奠在其上，也是喜樂，並且與你們眾人一同喜樂。|zh
93|2|17|17|And even if I am offered like a drink offering, giving myself for the cause and work of your faith, I am glad and have joy with you all:|en
94|2|18|18|你們也要照樣喜樂，並且與我一同喜樂。|zh
95|2|18|18|And in the same way do you be glad and have a part in my joy.|en
96|2|19|19|我靠主耶穌指望快打發提摩太去見你們，叫我知道你們的事，心裡就得著安慰。|zh
97|2|19|19|But I am hoping in the Lord Jesus to send Timothy to you before long, so that I may be comforted when I have news of you.|en
98|2|20|20|因為我沒有別人與我同心，實在罣念你們的事。|zh
99|2|20|20|For I have no man of like mind who will truly have care for you.|en
100|2|21|21|別人都求自己的事，並不求耶穌基督的事。|zh
101|2|21|21|For they all go after what is theirs, not after the things of Christ.|en
