|chapter|sec|no|content|lang
0|1|1|1|奉神旨意，作基督耶穌使徒的保羅和兄弟提摩太|zh
1|1|1|1|Paul, an Apostle of Jesus Christ, by the purpose of God, and Timothy our brother,|en
2|1|2|2|寫信給歌羅西的聖徒，在基督裡有忠心的弟兄。願恩惠、平安從神我們的父歸與你們！|zh
3|1|2|2|To the saints and true brothers in Christ at Colossae: Grace to you and peace from God our Father.|en
4|1|3|3|我們感謝神、我們主耶穌基督的父，常常為你們禱告；|zh
5|1|3|3|We give praise to God the Father of our Lord Jesus Christ, making prayer for you at all times,|en
6|1|4|4|因聽見你們在基督耶穌裡的信心，並向眾聖徒的愛心，|zh
7|1|4|4|After hearing of your faith in Christ Jesus, and of the love which you have for all the saints,|en
8|1|5|5|是為那給你們存在天上的盼望；這盼望就是你們從前在福音真理的道上所聽見的。|zh
9|1|5|5|Through the hope which is in store for you in heaven; knowledge of which was given to you before in the true word of the good news,|en
10|1|6|6|這福音傳到你們那裡，也傳到普天之下，並且結果，增長，如同在你們中間，自從你們聽見福音，真知道神恩惠的日子一樣。|zh
11|1|6|6|Which has come to you; and which in all the world is giving fruit and increase, as it has done in you from the day when it came to your ears and you had true knowledge of the grace of God;|en
12|1|7|7|正如你們從我們所親愛、一同作僕人的以巴弗所學的。他為我們（有古卷：你們）作了基督忠心的執事，|zh
13|1|7|7|As it was given to you by Epaphras, our well-loved helper, who is a true servant of Christ for us,|en
14|1|8|8|也把你們因聖靈所存的愛心告訴了我們。|zh
15|1|8|8|And who, himself, made clear to us your love in the Spirit.|en
16|1|9|9|因此，我們自從聽見的日子，也就為你們不住的禱告祈求，願你們在一切屬靈的智慧悟性上，滿心知道神的旨意；|zh
17|1|9|9|For this reason, we, from the day when we had word of it, keep on in prayer for you, that you may be full of the knowledge of his purpose, with all wisdom and experience of the Spirit,|en
18|1|10|10|好叫你們行事為人對得起主，凡事蒙他喜悅，在一切善事上結果子，漸漸的多知道神；|zh
19|1|10|10|Living uprightly in the approval of the Lord, giving fruit in every good work, and increasing in the knowledge of God;|en
20|1|11|11|照他榮耀的權能，得以在各樣的力上加力，好叫你們凡事歡歡喜喜的忍耐寬容；|zh
21|1|11|11|Full of strength in the measure of the great power of his glory, so that you may undergo all troubles with joy;|en
22|1|12|12|又感謝父，叫我們能與眾聖徒在光明中同得基業。|zh
23|1|12|12|Giving praise to the Father who has given us a part in the heritage of the saints in light;|en
24|1|13|13|他救了我們脫離黑暗的權勢，把我們遷到他愛子的國裡；|zh
25|1|13|13|Who has made us free from the power of evil and given us a place in the kingdom of the Son of his love;|en
26|1|14|14|我們在愛子裡得蒙救贖，罪過得以赦免。|zh
27|1|14|14|In whom we have our salvation, the forgiveness of sins:|en
28|1|15|15|愛子是那不能看見之神的像，是首生的，在一切被造的以先。|zh
29|1|15|15|Who is the image of the unseen God coming into existence before all living things;|en
30|1|16|16|因為萬有都是靠他造的，無論是天上的，地上的；能看見的，不能看見的；或是有位的，主治的，執政的，掌權的；一概都是藉著他造的，又是為他造的。|zh
31|1|16|16|For by him all things were made, in heaven and on earth, things seen and things unseen, authorities, lords, rulers, and powers; all things were made by him and for him;|en
32|1|17|17|他在萬有之先；萬有也靠他而立。|zh
33|1|17|17|He is before all things, and in him all things have being.|en
34|1|18|18|他也是教會全體之首。他是元始，是從死裡首先復生的，使他可以在凡事上居首位。|zh
35|1|18|18|And he is the head of the body, the church: the starting point of all things, the first to come again from the dead; so that in all things he might have the chief place.|en
36|1|19|19|因為父喜歡叫一切的豐盛在他裡面居住。|zh
37|1|19|19|For God in full measure was pleased to be in him;|en
38|1|20|20|既然藉著他在十字架上所流的血成就了和平，便藉著他叫萬有─無論是地上的、天上的─都與自己和好了。|zh
39|1|20|20|Through him uniting all things with himself, having made peace through the blood of his cross; through him, I say, uniting all things which are on earth or in heaven.|en
40|1|21|21|你們從前與神隔絕，因著惡行，心裡與他為敵。|zh
41|1|21|21|And you, who in the past were cut off and at war with God in your minds through evil works, he has now made one|en
42|1|22|22|但如今他藉著基督的肉身受死，叫你們與自己和好，都成了聖潔，沒有瑕疵，無可責備，把你們引到自己面前。|zh
43|1|22|22|In the body of his flesh through death, so that you might be holy and without sin and free from all evil before him:|en
44|1|23|23|只要你們在所信的道上恆心，根基穩固，堅定不移，不至被引動失去（原文是離開）福音的盼望。這福音就是你們所聽過的，也是傳與普天下萬人聽的（原文是凡受造的），我保羅也作了這福音的執事。|zh
45|1|23|23|If you keep yourselves safely based in the faith, not moved from the hope of the good news which came to you, and which was given to every living being under heaven; of which I, Paul, was made a servant.|en
46|1|24|24|現在我為你們受苦，倒覺歡樂；並且為基督的身體，就是為教會，要在我肉身上補滿基督患難的缺欠。|zh
47|1|24|24|Now I have joy in my pain because of you, and in my flesh I undergo whatever is still needed to make the sorrows of Christ complete, for the salvation of his body, the church;|en
48|1|25|25|我照神為你們所賜我的職分作了教會的執事，要把神的道理傳得全備，|zh
49|1|25|25|Of which I became a servant by the purpose of God which was given to me for you, to give effect to the word of God,|en
50|1|26|26|這道理就是歷世歷代所隱藏的奧祕；但如今向他的聖徒顯明了。|zh
51|1|26|26|The secret which has been kept from all times and generations, but has now been made clear to his saints,|en
52|1|27|27|神願意叫他們知道，這奧祕在外邦人中有何等豐盛的榮耀，就是基督在你們心裡成了有榮耀的盼望。|zh
53|1|27|27|To whom God was pleased to give knowledge of the wealth of the glory of this secret among the Gentiles, which is Christ in you, the hope of glory:|en
54|1|28|28|我們傳揚他，是用諸般的智慧，勸戒各人，教導各人，要把各人在基督裡完完全全的引到神面前。|zh
55|1|28|28|Whom we are preaching; guiding and teaching every man in all wisdom, so that every man may be complete in Christ;|en
56|1|29|29|我也為此勞苦，照著他在我�面運用的大能盡心竭力。|zh
57|1|29|29|And for this purpose I am working, using all my strength by the help of his power which is working in me strongly.|en
58|2|1|1|我願意你們曉得，我為你們和老底嘉人，並一切沒有與我親自見面的人，是何等的盡心竭力；|zh
59|2|1|1|For it is my desire to give you news of the great fight I am making for you and for those at Laodicea, and for all who have not seen my face in the flesh;|en
60|2|2|2|要叫他們的心得安慰，因愛心互相聯絡，以致豐豐足足在悟性中有充足的信心，使他們真知神的奧祕，就是基督；|zh
61|2|2|2|So that their hearts may be comforted, and that being joined together in love, they may come to the full wealth of the certain knowledge of the secret of God, even Christ,|en
62|2|3|3|所積蓄的一切智慧知識，都在他裡面藏著。|zh
63|2|3|3|In whom are all the secret stores of wisdom and knowledge.|en
64|2|4|4|我說這話，免得有人用花言巧語迷惑你們。|zh
65|2|4|4|I say this so that you may not be turned away by any deceit of words.|en
66|2|5|5|我身子雖與你們相離，心卻與你們同在，見你們循規蹈矩，信基督的心也堅固，我就歡喜了。|zh
67|2|5|5|For though I am not present in the flesh, still I am with you in the spirit, seeing with joy your order, and your unchanging faith in Christ.|en
68|2|6|6|你們既然接受了主基督耶穌，就當遵他而行，|zh
