|chapter|sec|no|content|lang
0|1|1|1|不從惡人的計謀，不站罪人的道路，不坐褻慢人的座位，|zh
1|1|1|1|Happy is the man who does not go in the company of sinners, or take his place in the way of evil-doers, or in the seat of those who do not give honour to the Lord.|en
2|1|2|2|惟喜愛耶和華的律法，晝夜思想，這人便為有福！|zh
3|1|2|2|But whose delight is in the law of the Lord, and whose mind is on his law day and night.|en
4|1|3|3|他要像一棵樹栽在溪水旁，按時候結果子，葉子也不枯乾。凡他所做的盡都順利。|zh
5|1|3|3|He will be like a tree planted by the rivers of water, which gives its fruit at the right time, whose leaves will ever be green; and he will do well in all his undertakings.|en
6|1|4|4|惡人並不是這樣，乃像糠秕被風吹散。|zh
7|1|4|4|The evil-doers are not so; but are like the dust from the grain, which the wind takes away.|en
8|1|5|5|因此，當審判的時候惡人必站立不住；罪人在義人的會中也是如此。|zh
9|1|5|5|For this cause there will be no mercy for sinners when they are judged, and the evil-doers will have no place among the upright,|en
10|1|6|6|因為耶和華知道義人的道路；惡人的道路卻必滅亡。|zh
11|1|6|6|Because the Lord sees the way of the upright, but the end of the sinner is destruction.|en
12|2|1|1|外邦為甚麼爭鬧？萬民為甚麼謀算虛妄的事？|zh
13|2|1|1|Why are the nations so violently moved, and why are the thoughts of the people so foolish?|en
14|2|2|2|世上的君王一齊起來，臣宰一同商議，要敵擋耶和華並他的受膏者，|zh
15|2|2|2|The kings of the earth have taken their place, and the rulers are fixed in their purpose, against the Lord, and against the king of his selection, saying,|en
16|2|3|3|說：我們要掙開他們的捆綁，脫去他們的繩索。|zh
17|2|3|3|Let their chains be broken, and their cords taken from off us.|en
18|2|4|4|那坐在天上的必發笑；主必嗤笑他們。|zh
19|2|4|4|Then he whose seat is in the heavens will be laughing: the Lord will make sport of them.|en
20|2|5|5|那時，他要在怒中責備他們，在烈怒中驚嚇他們，|zh
21|2|5|5|Then will his angry words come to their ears, and by his wrath they will be troubled:|en
22|2|6|6|說：我已經立我的君在錫安─我的聖山上了。|zh
23|2|6|6|But I have put my king on my holy hill of Zion.|en
24|2|7|7|受膏者說：我要傳聖旨。耶和華曾對我說：你是我的兒子，我今日生你。|zh
25|2|7|7|I will make clear the Lord's decision: he has said to me, You are my son, this day have I given you being.|en
26|2|8|8|你求我，我就將列國賜你為基業，將地極賜你為田產。|zh
27|2|8|8|Make your request to me, and I will give you the nations for your heritage, and the farthest limits of the earth will be under your hand.|en
28|2|9|9|你必用鐵杖打破他們；你必將他們如同窯匠的瓦器摔碎。|zh
29|2|9|9|They will be ruled by you with a rod of iron; they will be broken like a potter's vessel.|en
30|2|10|10|現在，你們君王應當省悟！你們世上的審判官該受管教！|zh
31|2|10|10|So now be wise, you kings: take his teaching, you judges of the earth.|en
32|2|11|11|當存畏懼事奉耶和華，又當存戰兢而快樂。|zh
33|2|11|11|Give worship to the Lord with fear, kissing his feet and giving him honour,|en
34|2|12|12|當以嘴親子，恐怕他發怒，你們便在道中滅亡，因為他的怒氣快要發作。凡投靠他的，都是有福的。|zh
35|2|12|12|For fear that he may be angry, causing destruction to come on you, because he is quickly moved to wrath. Happy are all those who put their faith in him.|en
36|3|1|1|（大衛逃避他兒子押沙龍的時候作的詩。）耶和華啊，我的敵人何其加增；有許多人起來攻擊我。|zh
37|3|1|1|- A Psalm. Of David. When he went in flight from Absalom his son. - Lord, how greatly are they increased who make attacks on me! in great numbers they come against me.|en
38|3|2|2|有許多人議論我說：他得不著神的幫助。（細拉）|zh
39|3|2|2|Unnumbered are those who say of my soul, There is no help for him in God. (Selah.)|en
40|3|3|3|但你─耶和華是我四圍的盾牌，是我的榮耀，又是叫我抬起頭來的。|zh
41|3|3|3|But your strength, O Lord, is round me, you are my glory and the lifter up of my head.|en
42|3|4|4|我用我的聲音求告耶和華，他就從他的聖山上應允我。（細拉）|zh
