|chapter|sec|no|content|lang
0|1|1|1,2 |提阿非羅大人哪，有好些人提筆作書，述說在我們中間所成就的事，是照傳道的人從起初親眼看見又傳給我們的。|zh
1|1|1|1|As a number of attempts have been made to put together in order an account of those events which took place among us,|en
2|1|2|2|As they were handed down to us by those who saw them from the first and were preachers of the word,|en
3|1|3|3|這些事我既從起頭都詳細考察了，就定意要按著次序寫給你，|zh
4|1|3|3|It seemed good to me, having made observation, with great care, of the direction of events in their order, to put the facts in writing for you, most noble Theophilus;|en
5|1|4|4|使你知道所學之道都是確實的。|zh
6|1|4|4|So that you might have certain knowledge of those things about which you were given teaching.|en
7|1|5|5|當猶太王希律的時候，亞比雅班裡有一個祭司，名叫撒迦利亞；他妻子是亞倫的後人，名叫以利沙伯。|zh
8|1|5|5|In the days of Herod, king of Judaea, there was a certain priest, by name Zacharias, of the order of Abijah; and he had a wife of the family of Aaron, and her name was Elisabeth.|en
9|1|6|6|他們二人在神面前都是義人，遵行主的一切誡命禮儀，沒有可指摘的，|zh
10|1|6|6|They were upright in the eyes of God, keeping all the rules and orders of God, and doing no wrong.|en
11|1|7|7|只是沒有孩子；因為以利沙伯不生育，兩個人又年紀老邁了。|zh
12|1|7|7|And they were without children, because Elisabeth had never given birth, and they were at that time very old.|en
13|1|8|8|撒迦利亞按班次在神面前供祭司的職分，|zh
14|1|8|8|Now it came about that in his turn he was acting as priest before God,|en
15|1|9|9|照祭司的規矩掣籤，得進主殿燒香。|zh
16|1|9|9|And as was the way of the priests, he had to go into the Temple to see to the burning of perfumes.|en
17|1|10|10|燒香的時候，眾百姓在外面禱告。|zh
18|1|10|10|And all the people were offering prayers outside, at the time of the burning of perfumes.|en
19|1|11|11|有主的使者站在香壇的右邊，向他顯現。|zh
20|1|11|11|And he saw an angel of the Lord in his place on the right side of the altar.|en
21|1|12|12|撒迦利亞看見，就驚慌害怕。|zh
22|1|12|12|And Zacharias was troubled when he saw him, and fear came on him.|en
23|1|13|13|天使對他說：撒迦利亞，不要害怕，因為你的祈禱已經被聽見了。你的妻子以利沙伯要給你生一個兒子，你要給他起名叫約翰。|zh
24|1|13|13|But the angel said, Have no fear, Zacharias, for your prayer has come to the ears of God, and your wife Elisabeth will have a son, and his name will be John.|en
25|1|14|14|你必歡喜快樂；有許多人因他出世，也必喜樂。|zh
26|1|14|14|And you will be glad and have great delight; and numbers of people will have joy at his birth.|en
27|1|15|15|他在主面前將要為大，淡酒濃酒都不喝，從母腹裡就被聖靈充滿了。|zh
28|1|15|15|For he will be great in the eyes of the Lord; he will not take wine or strong drink; and he will be full of the Spirit of God from his birth.|en
29|1|16|16|他要使許多以色列人回轉，歸於主─他們的神。|zh
30|1|16|16|And through him great numbers of the children of Israel will be turned to the Lord their God.|en
31|1|17|17|他必有以利亞的心志能力，行在主的前面，叫為父的心轉向兒女，叫悖逆的人轉從義人的智慧，又為主預備合用的百姓。|zh
32|1|17|17|And he will go before his face in the spirit and power of Elijah, turning the hearts of fathers to their children, and wrongdoers to the way of righteousness; to make ready a people whose hearts have been turned to the Lord.|en
33|1|18|18|撒迦利亞對天使說：我憑著甚麼可知道這事呢？我已經老了，我的妻子也年紀老邁了。|zh
34|1|18|18|And Zacharias said to the angel, How may I be certain of this? For I am an old man, and my wife is far on in years.|en
35|1|19|19|天使回答說：我是站在神面前的加百列，奉差而來對你說話，將這好信息報給你。|zh
36|1|19|19|And the angel, answering, said, I am Gabriel, whose place is before God; I have been sent to say these words to you and to give you this good news.|en
37|1|20|20|到了時候，這話必然應驗；只因你不信，你必啞吧，不能說話，直到這事成就的日子。|zh
38|1|20|20|Now, see, you will be without voice or language till the day when these things come about, because you had not faith in my words, which will have effect at the right time.|en
39|1|21|21|百姓等候撒迦利亞，詫異他許久在殿裡。|zh
40|1|21|21|And the people were waiting for Zacharias and were surprised because he was in the Temple for such a long time.|en
41|1|22|22|及至他出來，不能和他們說話，他們就知道他在殿裡見了異象；因為他直向他們打手式，竟成了啞吧。|zh
42|1|22|22|And when he came out he was not able to say anything, and they saw that he had seen a vision in the Temple; and he was making signs to them without words.|en
43|1|23|23|他供職的日子已滿，就回家去了。|zh
44|1|23|23|And when the days of his work in the Temple were ended, he went back to his house.|en
